frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,216186,60:03:06
60,000:00:02,216185,60:03:05
90,000:00:03,216184,60:03:04
120,000:00:04,216183,60:03:03
150,000:00:05,216182,60:03:02
180,000:00:06,216181,60:03:01
210,000:00:07,216190,60:03:10
240,000:00:08,216189,60:03:09
270,000:00:09,216188,60:03:08
300,000:00:10,216187,60:03:07
330,000:00:11,216186,60:03:06
360,000:00:12,216185,60:03:05
390,000:00:13,216184,60:03:04
420,000:00:14,216183,60:03:03
450,000:00:15,216182,60:03:02
480,000:00:16,216181,60:03:01
510,000:00:17,216180,60:03:00
540,000:00:18,216188,60:03:08
570,000:00:19,216188,60:03:08
600,000:00:20,216187,60:03:07
630,000:00:21,216186,60:03:06
660,000:00:22,216185,60:03:05
690,000:00:23,216184,60:03:04
720,000:00:24,216192,60:03:12
750,000:00:25,216192,60:03:12
780,000:00:26,216191,60:03:11
810,000:00:27,216190,60:03:10
840,000:00:28,216189,60:03:09
870,000:00:29,216188,60:03:08
900,000:00:30,216187,60:03:07
930,000:00:31,216186,60:03:06
960,000:00:32,216185,60:03:05
990,000:00:33,216184,60:03:04
1020,000:00:34,216183,60:03:03
1050,000:00:35,216182,60:03:02
1080,000:00:36,216181,60:03:01
1110,000:00:37,216180,60:03:00
1140,000:00:38,216179,60:02:59
1170,000:00:39,216178,60:02:58
1200,000:00:40,216177,60:02:57
1230,000:00:41,216176,60:02:56
1260,000:00:42,216175,60:02:55
1290,000:00:43,216184,60:03:04
1320,000:00:44,216183,60:03:03
1350,000:00:45,216182,60:03:02
1380,000:00:46,216181,60:03:01
1410,000:00:47,216180,60:03:00
1440,000:00:48,216179,60:02:59
1470,000:00:49,216178,60:02:58
1500,000:00:50,216177,60:02:57
1530,000:00:51,216176,60:02:56
1590,000:00:53,216174,60:02:54
1620,000:00:54,216173,60:02:53
1650,000:00:55,216172,60:02:52
1680,000:00:56,216171,60:02:51
1710,000:00:57,216170,60:02:50
1740,000:00:58,216169,60:02:49
1770,000:00:59,216168,60:02:48
1800,000:01:00,216167,60:02:47
