frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,248973.0,69:09:33
60,000:00:02,248972.0,69:09:32
90,000:00:03,248971.0,69:09:31
120,000:00:04,248970.0,69:09:30
150,000:00:05,248969.0,69:09:29
180,000:00:06,248978.0,69:09:38
210,000:00:07,248977.0,69:09:37
240,000:00:08,248976.0,69:09:36
270,000:00:09,248975.0,69:09:35
300,000:00:10,248974.0,69:09:34
330,000:00:11,248973.0,69:09:33
360,000:00:12,248972.0,69:09:32
390,000:00:13,248971.0,69:09:31
420,000:00:14,248970.0,69:09:30
450,000:00:15,248969.0,69:09:29
480,000:00:16,248971.0,69:09:31
510,000:00:17,249240.0,69:14:00
540,000:00:18,249516.0,69:18:36
570,000:00:19,249515.0,69:18:35
600,000:00:20,249514.0,69:18:34
630,000:00:21,249513.0,69:18:33
660,000:00:22,249512.0,69:18:32
690,000:00:23,249511.0,69:18:31
720,000:00:24,249510.0,69:18:30
750,000:00:25,249509.0,69:18:29
780,000:00:26,249508.0,69:18:28
810,000:00:27,249507.0,69:18:27
840,000:00:28,249506.0,69:18:26
870,000:00:29,249505.0,69:18:25
900,000:00:30,249514.0,69:18:34
930,000:00:31,249513.0,69:18:33
960,000:00:32,249512.0,69:18:32
990,000:00:33,249511.0,69:18:31
1020,000:00:34,249510.0,69:18:30
1050,000:00:35,249519.0,69:18:39
1080,000:00:36,249518.0,69:18:38
1110,000:00:37,249517.0,69:18:37
1140,000:00:38,249516.0,69:18:36
1170,000:00:39,249515.0,69:18:35
1200,000:00:40,249514.0,69:18:34
1230,000:00:41,249513.0,69:18:33
1260,000:00:42,249512.0,69:18:32
1290,000:00:43,249511.0,69:18:31
1320,000:00:44,249510.0,69:18:30
1350,000:00:45,249509.0,69:18:29
1380,000:00:46,249508.0,69:18:28
1410,000:00:47,249507.0,69:18:27
1440,000:00:48,249506.0,69:18:26
1470,000:00:49,249505.0,69:18:25
1500,000:00:50,249504.0,69:18:24
1530,000:00:51,249503.0,69:18:23
1560,000:00:52,249502.0,69:18:22
1590,000:00:53,249501.0,69:18:21
1620,000:00:54,249500.0,69:18:20
1650,000:00:55,249499.0,69:18:19
1680,000:00:56,249498.0,69:18:18
1710,000:00:57,249497.0,69:18:17
1740,000:00:58,249496.0,69:18:16
1770,000:00:59,249495.0,69:18:15
1800,000:01:00,249494.0,69:18:14
1830,000:01:01,249493.0,69:18:13
1860,000:01:02,249502.0,69:18:22
1890,000:01:03,249501.0,69:18:21
1920,000:01:04,249500.0,69:18:20
1950,000:01:05,249499.0,69:18:19
1980,000:01:06,249498.0,69:18:18
2010,000:01:07,249497.0,69:18:17
2040,000:01:08,249496.0,69:18:16
2070,000:01:09,249495.0,69:18:15
2100,000:01:10,249494.0,69:18:14
2130,000:01:11,249493.0,69:18:13
2160,000:01:12,249492.0,69:18:12
2190,000:01:13,249491.0,69:18:11
2220,000:01:14,249490.0,69:18:10
2250,000:01:15,249489.0,69:18:09
2280,000:01:16,249488.0,69:18:08
2310,000:01:17,249487.0,69:18:07
2340,000:01:18,249486.0,69:18:06
2370,000:01:19,249485.0,69:18:05
2400,000:01:20,249484.0,69:18:04
2430,000:01:21,249483.0,69:18:03
2460,000:01:22,249482.0,69:18:02
2490,000:01:23,249496.0,69:18:16
2520,000:01:24,249500.0,69:18:20
2550,000:01:25,249499.0,69:18:19
2580,000:01:26,249508.0,69:18:28
2610,000:01:27,249507.0,69:18:27
2640,000:01:28,249506.0,69:18:26
2670,000:01:29,249505.0,69:18:25
2700,000:01:30,249504.0,69:18:24
2730,000:01:31,249503.0,69:18:23
2760,000:01:32,249502.0,69:18:22
2790,000:01:33,249501.0,69:18:21
2820,000:01:34,249500.0,69:18:20
