frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,259263,72:01:03
60,000:00:02,259262,72:01:02
90,000:00:03,259261,72:01:01
120,000:00:04,259260,72:01:00
210,000:00:07,259277,72:01:17
240,000:00:08,259276,72:01:16
270,000:00:09,259275,72:01:15
300,000:00:10,259274,72:01:14
330,000:00:11,259273,72:01:13
360,000:00:12,259272,72:01:12
390,000:00:13,259271,72:01:11
420,000:00:14,259270,72:01:10
450,000:00:15,259269,72:01:09
480,000:00:16,259268,72:01:08
510,000:00:17,259267,72:01:07
540,000:00:18,259266,72:01:06
570,000:00:19,259265,72:01:05
600,000:00:20,259266,72:01:06
630,000:00:21,259273,72:01:13
660,000:00:22,259272,72:01:12
690,000:00:23,259271,72:01:11
720,000:00:24,259270,72:01:10
750,000:00:25,259269,72:01:09
780,000:00:26,259268,72:01:08
810,000:00:27,259267,72:01:07
840,000:00:28,259266,72:01:06
870,000:00:29,259265,72:01:05
900,000:00:30,259264,72:01:04
930,000:00:31,259263,72:01:03
960,000:00:32,259262,72:01:02
990,000:00:33,259261,72:01:01
1020,000:00:34,259260,72:01:00
2730,000:01:31,259273,72:01:13
2760,000:01:32,259272,72:01:12
2790,000:01:33,259271,72:01:11
2820,000:01:34,259270,72:01:10
2850,000:01:35,259269,72:01:09
2880,000:01:36,259268,72:01:08
2910,000:01:37,259277,72:01:17
2940,000:01:38,259276,72:01:16
2970,000:01:39,259275,72:01:15
3000,000:01:40,259274,72:01:14
3030,000:01:41,259273,72:01:13
3060,000:01:42,259272,72:01:12
3090,000:01:43,259271,72:01:11
3120,000:01:44,259270,72:01:10
3150,000:01:45,259269,72:01:09
3180,000:01:46,259268,72:01:08
3210,000:01:47,259267,72:01:07
3240,000:01:48,259266,72:01:06
3270,000:01:49,259265,72:01:05
3300,000:01:50,259271,72:01:11
3330,000:01:51,259313,72:01:53
3360,000:01:52,259312,72:01:52
3390,000:01:53,259311,72:01:51
3420,000:01:54,259310,72:01:50
3450,000:01:55,259309,72:01:49
3480,000:01:56,259308,72:01:48
3510,000:01:57,259317,72:01:57
3540,000:01:58,259316,72:01:56
3570,000:01:59,259315,72:01:55
3600,000:02:00,259314,72:01:54
3630,000:02:01,259313,72:01:53
3660,000:02:02,259312,72:01:52
3690,000:02:03,259311,72:01:51
3720,000:02:04,259310,72:01:50
3750,000:02:05,259309,72:01:49
3780,000:02:06,259308,72:01:48
3810,000:02:07,259317,72:01:57
3840,000:02:08,259316,72:01:56
3870,000:02:09,259315,72:01:55
3900,000:02:10,259314,72:01:54
3930,000:02:11,259313,72:01:53
3960,000:02:12,259312,72:01:52
3990,000:02:13,259311,72:01:51
4020,000:02:14,259310,72:01:50
4050,000:02:15,259309,72:01:49
4080,000:02:16,259308,72:01:48
4110,000:02:17,259307,72:01:47
4140,000:02:18,259306,72:01:46
4170,000:02:19,259305,72:01:45
4200,000:02:20,259304,72:01:44
4230,000:02:21,259303,72:01:43
4260,000:02:22,259302,72:01:42
4290,000:02:23,259301,72:01:41
4320,000:02:24,259300,72:01:40
4350,000:02:25,259299,72:01:39
4380,000:02:26,259298,72:01:38
4410,000:02:27,259297,72:01:37
4440,000:02:28,259296,72:01:36
4470,000:02:29,259295,72:01:35
4500,000:02:30,259294,72:01:34
4530,000:02:31,259293,72:01:33
4560,000:02:32,259292,72:01:32
4590,000:02:33,259291,72:01:31
4620,000:02:34,259290,72:01:30
4650,000:02:35,259289,72:01:29
4680,000:02:36,259288,72:01:28
4710,000:02:37,259287,72:01:27
4740,000:02:38,259286,72:01:26
4770,000:02:39,259285,72:01:25
4800,000:02:40,259284,72:01:24
4830,000:02:41,259283,72:01:23
4860,000:02:42,259282,72:01:22
4890,000:02:43,259281,72:01:21
4920,000:02:44,259280,72:01:20
4950,000:02:45,259279,72:01:19
4980,000:02:46,259278,72:01:18
5010,000:02:47,259277,72:01:17
5040,000:02:48,259276,72:01:16
5070,000:02:49,259275,72:01:15
5100,000:02:50,259274,72:01:14
5130,000:02:51,259273,72:01:13
5160,000:02:52,259272,72:01:12
5190,000:02:53,259271,72:01:11
5220,000:02:54,259270,72:01:10
5250,000:02:55,259269,72:01:09
5280,000:02:56,259268,72:01:08
5340,000:02:58,259266,72:01:06
5370,000:02:59,259265,72:01:05
5400,000:03:00,259264,72:01:04
5430,000:03:01,259263,72:01:03
5460,000:03:02,259262,72:01:02
5490,000:03:03,259261,72:01:01
5520,000:03:04,259260,72:01:00
7230,000:04:01,259263,72:01:03
7260,000:04:02,259262,72:01:02
7320,000:04:04,259260,72:01:00
7470,000:04:09,259304,72:01:44
7500,000:04:10,259304,72:01:44
7560,000:04:12,259312,72:01:52
7620,000:04:14,259310,72:01:50
7650,000:04:15,259309,72:01:49
7770,000:04:19,259315,72:01:55
7800,000:04:20,259314,72:01:54
7830,000:04:21,259313,72:01:53
7890,000:04:23,259311,72:01:51
7920,000:04:24,259310,72:01:50
7950,000:04:25,259309,72:01:49
8010,000:04:27,259307,72:01:47
8040,000:04:28,259306,72:01:46
8100,000:04:30,259304,72:01:44
8130,000:04:31,259303,72:01:43
8160,000:04:32,259302,72:01:42
8190,000:04:33,259311,72:01:51
8220,000:04:34,259320,72:02:00
8250,000:04:35,259319,72:01:59
8340,000:04:38,259316,72:01:56
8370,000:04:39,259315,72:01:55
8460,000:04:42,259312,72:01:52
8490,000:04:43,259311,72:01:51
8520,000:04:44,259310,72:01:50
8580,000:04:46,259318,72:01:58
8610,000:04:47,259317,72:01:57
8700,000:04:50,259314,72:01:54
8730,000:04:51,259313,72:01:53
8760,000:04:52,259312,72:01:52
8790,000:04:53,259311,72:01:51
8970,000:04:59,259305,72:01:45
9000,000:05:00,259304,72:01:44
9150,000:05:05,259309,72:01:49
9180,000:05:06,259308,72:01:48
9240,000:05:08,259306,72:01:46
9270,000:05:09,259305,72:01:45
9300,000:05:10,259304,72:01:44
9330,000:05:11,259303,72:01:43
9360,000:05:12,259302,72:01:42
9390,000:05:13,259301,72:01:41
9420,000:05:14,259300,72:01:40
9450,000:05:15,259299,72:01:39
9480,000:05:16,259298,72:01:38
9540,000:05:18,259296,72:01:36
9570,000:05:19,259295,72:01:35
9630,000:05:21,259293,72:01:33
9660,000:05:22,259292,72:01:32
9690,000:05:23,259291,72:01:31
9720,000:05:24,259290,72:01:30
9750,000:05:25,259301,72:01:41
9780,000:05:26,259338,72:02:18
9810,000:05:27,259337,72:02:17
9870,000:05:29,259335,72:02:15
9900,000:05:30,259334,72:02:14
9930,000:05:31,259333,72:02:13
9990,000:05:33,259331,72:02:11
10020,000:05:34,259330,72:02:10
10050,000:05:35,259329,72:02:09
10080,000:05:36,259328,72:02:08
10110,000:05:37,259327,72:02:07
10170,000:05:39,259325,72:02:05
10200,000:05:40,259324,72:02:04
10230,000:05:41,259323,72:02:03
10260,000:05:42,259322,72:02:02
10320,000:05:44,259320,72:02:00
10350,000:05:45,259319,72:01:59
10380,000:05:46,259318,72:01:58
10410,000:05:47,259317,72:01:57
