frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,242516,67:21:56
60,000:00:02,242515,67:21:55
90,000:00:03,242514,67:21:54
120,000:00:04,242513,67:21:53
150,000:00:05,242512,67:21:52
180,000:00:06,242511,67:21:51
210,000:00:07,242510,67:21:50
240,000:00:08,242509,67:21:49
270,000:00:09,242508,67:21:48
300,000:00:10,242507,67:21:47
330,000:00:11,242506,67:21:46
360,000:00:12,242505,67:21:45
390,000:00:13,242504,67:21:44
420,000:00:14,242503,67:21:43
450,000:00:15,242502,67:21:42
480,000:00:16,242501,67:21:41
510,000:00:17,242500,67:21:40
540,000:00:18,242499,67:21:39
570,000:00:19,242498,67:21:38
600,000:00:20,242497,67:21:37
630,000:00:21,242496,67:21:36
660,000:00:22,242495,67:21:35
690,000:00:23,242494,67:21:34
720,000:00:24,242493,67:21:33
750,000:00:25,242492,67:21:32
780,000:00:26,242491,67:21:31
810,000:00:27,242490,67:21:30
840,000:00:28,242489,67:21:29
870,000:00:29,242488,67:21:28
900,000:00:30,242487,67:21:27
930,000:00:31,242486,67:21:26
960,000:00:32,242485,67:21:25
990,000:00:33,242484,67:21:24
1020,000:00:34,242483,67:21:23
1050,000:00:35,242482,67:21:22
1080,000:00:36,242481,67:21:21
1110,000:00:37,242480,67:21:20
1140,000:00:38,242479,67:21:19
1170,000:00:39,242478,67:21:18
1200,000:00:40,242477,67:21:17
1230,000:00:41,242476,67:21:16
1260,000:00:42,242475,67:21:15
1350,000:00:45,242472,67:21:12
1380,000:00:46,242471,67:21:11
1410,000:00:47,242470,67:21:10
1440,000:00:48,242469,67:21:09
1470,000:00:49,242468,67:21:08
1500,000:00:50,242467,67:21:07
1530,000:00:51,242476,67:21:16
1560,000:00:52,242475,67:21:15
1590,000:00:53,242474,67:21:14
1620,000:00:54,242473,67:21:13
1650,000:00:55,242472,67:21:12
1680,000:00:56,242471,67:21:11
1770,000:00:59,242468,67:21:08
1800,000:01:00,242467,67:21:07
1830,000:01:01,242466,67:21:06
1860,000:01:02,242465,67:21:05
1890,000:01:03,242464,67:21:04
1920,000:01:04,242463,67:21:03
1950,000:01:05,242462,67:21:02
1980,000:01:06,242461,67:21:01
2070,000:01:09,242458,67:20:58
2100,000:01:10,242457,67:20:57
2130,000:01:11,242456,67:20:56
2160,000:01:12,242455,67:20:55
2190,000:01:13,242454,67:20:54
2220,000:01:14,242453,67:20:53
2250,000:01:15,242452,67:20:52
2280,000:01:16,242451,67:20:51
2310,000:01:17,242450,67:20:50
2340,000:01:18,242449,67:20:49
2370,000:01:19,242448,67:20:48
2400,000:01:20,242447,67:20:47
2430,000:01:21,242446,67:20:46
2460,000:01:22,242445,67:20:45
2490,000:01:23,242444,67:20:44
2580,000:01:26,242441,67:20:41
2610,000:01:27,242440,67:20:40
