frame,video_timestamp,timer_value,timer_timestamp
25050,000:13:55,227648,63:14:08
25080,000:13:56,227657,63:14:17
25110,000:13:57,227656,63:14:16
25170,000:13:59,227654,63:14:14
25200,000:14:00,227663,63:14:23
25230,000:14:01,227662,63:14:22
25260,000:14:02,227661,63:14:21
25290,000:14:03,227674,63:14:34
25320,000:14:04,227679,63:14:39
25350,000:14:05,227678,63:14:38
25380,000:14:06,227677,63:14:37
25410,000:14:07,227676,63:14:36
25440,000:14:08,227675,63:14:35
25470,000:14:09,227674,63:14:34
25500,000:14:10,227673,63:14:33
25530,000:14:11,227680,63:14:40
25560,000:14:12,227681,63:14:41
25590,000:14:13,227680,63:14:40
25620,000:14:14,227679,63:14:39
25650,000:14:15,227688,63:14:48
25680,000:14:16,227694,63:14:54
25710,000:14:17,227696,63:14:56
25740,000:14:18,227695,63:14:55
25770,000:14:19,227694,63:14:54
25860,000:14:22,227691,63:14:51
25890,000:14:23,227690,63:14:50
25920,000:14:24,227689,63:14:49
25980,000:14:26,227687,63:14:47
26010,000:14:27,227705,63:15:05
26100,000:14:30,227703,63:15:03
26190,000:14:33,227700,63:15:00
26220,000:14:34,227709,63:15:09
26310,000:14:37,227706,63:15:06
26340,000:14:38,227705,63:15:05
26550,000:14:45,227698,63:14:58
26610,000:14:47,227706,63:15:06
26700,000:14:50,227703,63:15:03
26760,000:14:52,227701,63:15:01
26790,000:14:53,227700,63:15:00
26820,000:14:54,227699,63:14:59
26850,000:14:55,227698,63:14:58
27000,000:15:00,227703,63:15:03
27090,000:15:03,227700,63:15:00
27180,000:15:06,227697,63:14:57
27210,000:15:07,227696,63:14:56
27240,000:15:08,227695,63:14:55
27300,000:15:10,227693,63:14:53
27330,000:15:11,227692,63:14:52
27420,000:15:14,227699,63:14:59
27450,000:15:15,227698,63:14:58
27510,000:15:17,227696,63:14:56
27600,000:15:20,227693,63:14:53
27780,000:15:26,227717,63:15:17
27810,000:15:27,227716,63:15:16
27840,000:15:28,227715,63:15:15
27870,000:15:29,227714,63:15:14
27900,000:15:30,227713,63:15:13
27930,000:15:31,227712,63:15:12
28350,000:15:45,227698,63:14:58
28410,000:15:47,227696,63:14:56
28440,000:15:48,227695,63:14:55
28470,000:15:49,227694,63:14:54
28590,000:15:53,227710,63:15:10
28680,000:15:56,227707,63:15:07
28710,000:15:57,227706,63:15:06
28740,000:15:58,227705,63:15:05
28830,000:16:01,227712,63:15:12
28920,000:16:04,227709,63:15:09
29010,000:16:07,227706,63:15:06
29100,000:16:10,227703,63:15:03
29160,000:16:12,227711,63:15:11
29190,000:16:13,227710,63:15:10
29220,000:16:14,227709,63:15:09
29550,000:16:25,227718,63:15:18
29580,000:16:26,227717,63:15:17
29700,000:16:30,227723,63:15:23
29730,000:16:31,227722,63:15:22
29760,000:16:32,227737,63:15:37
29820,000:16:34,227739,63:15:39
29850,000:16:35,227738,63:15:38
29880,000:16:36,227737,63:15:37
29970,000:16:39,227744,63:15:44
30000,000:16:40,227753,63:15:53
30090,000:16:43,227750,63:15:50
30120,000:16:44,227749,63:15:49
30150,000:16:45,227748,63:15:48
30210,000:16:47,227746,63:15:46
30240,000:16:48,227745,63:15:45
30390,000:16:53,227770,63:16:10
30420,000:16:54,227769,63:16:09
30660,000:17:02,227761,63:16:01
30750,000:17:05,227758,63:15:58
30870,000:17:09,227754,63:15:54
30930,000:17:11,227752,63:15:52
31050,000:17:15,227748,63:15:48
31080,000:17:16,227747,63:15:47
31350,000:17:25,227738,63:15:38
31500,000:17:30,227763,63:16:03
31530,000:17:31,227762,63:16:02
31560,000:17:32,227768,63:16:08
31650,000:17:35,227778,63:16:18
31680,000:17:36,227777,63:16:17
31710,000:17:37,227776,63:16:16
31740,000:17:38,227775,63:16:15
31770,000:17:39,227774,63:16:14
31830,000:17:41,227782,63:16:22
31860,000:17:42,227781,63:16:21
31950,000:17:45,227778,63:16:18
31980,000:17:46,227777,63:16:17
32010,000:17:47,227776,63:16:16
32040,000:17:48,227775,63:16:15
32070,000:17:49,227774,63:16:14
32100,000:17:50,227773,63:16:13
32130,000:17:51,227772,63:16:12
32310,000:17:57,227786,63:16:26
32340,000:17:58,227785,63:16:25
32580,000:18:06,227777,63:16:17
32640,000:18:08,227775,63:16:15
32700,000:18:10,227773,63:16:13
32730,000:18:11,227772,63:16:12
32760,000:18:12,227771,63:16:11
32790,000:18:13,227770,63:16:10
32820,000:18:14,227769,63:16:09
