frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,199502.0,55:25:02
60,000:00:02,199501.0,55:25:01
90,000:00:03,199500.0,55:25:00
120,000:00:04,199499.0,55:24:59
150,000:00:05,199498.0,55:24:58
180,000:00:06,199497.0,55:24:57
210,000:00:07,199496.0,55:24:56
240,000:00:08,199495.0,55:24:55
270,000:00:09,199494.0,55:24:54
300,000:00:10,199493.0,55:24:53
330,000:00:11,199492.0,55:24:52
360,000:00:12,199491.0,55:24:51
390,000:00:13,199490.0,55:24:50
420,000:00:14,199489.0,55:24:49
450,000:00:15,199488.0,55:24:48
480,000:00:16,199487.0,55:24:47
510,000:00:17,199486.0,55:24:46
540,000:00:18,199485.0,55:24:45
570,000:00:19,199484.0,55:24:44
600,000:00:20,199483.0,55:24:43
630,000:00:21,199482.0,55:24:42
660,000:00:22,199481.0,55:24:41
690,000:00:23,199480.0,55:24:40
720,000:00:24,199479.0,55:24:39
750,000:00:25,199478.0,55:24:38
780,000:00:26,199477.0,55:24:37
810,000:00:27,199476.0,55:24:36
840,000:00:28,199475.0,55:24:35
870,000:00:29,199474.0,55:24:34
900,000:00:30,199473.0,55:24:33
930,000:00:31,199472.0,55:24:32
960,000:00:32,199471.0,55:24:31
990,000:00:33,199470.0,55:24:30
1020,000:00:34,199469.0,55:24:29
1050,000:00:35,199468.0,55:24:28
1080,000:00:36,199467.0,55:24:27
1110,000:00:37,199466.0,55:24:26
1140,000:00:38,199465.0,55:24:25
1170,000:00:39,199464.0,55:24:24
1200,000:00:40,199463.0,55:24:23
1230,000:00:41,199462.0,55:24:22
1260,000:00:42,199461.0,55:24:21
1290,000:00:43,199460.0,55:24:20
1320,000:00:44,199459.0,55:24:19
1350,000:00:45,199458.0,55:24:18
1380,000:00:46,199457.0,55:24:17
1410,000:00:47,199456.0,55:24:16
1440,000:00:48,199455.0,55:24:15
1470,000:00:49,199454.0,55:24:14
1500,000:00:50,199453.0,55:24:13
1530,000:00:51,199452.0,55:24:12
1560,000:00:52,199451.0,55:24:11
1590,000:00:53,199450.0,55:24:10
1620,000:00:54,199449.0,55:24:09
1650,000:00:55,199448.0,55:24:08
1680,000:00:56,199447.0,55:24:07
1710,000:00:57,199446.0,55:24:06
1740,000:00:58,199445.0,55:24:05
1770,000:00:59,199444.0,55:24:04
1800,000:01:00,199443.0,55:24:03
1860,000:01:02,199441.0,55:24:01
1890,000:01:03,199440.0,55:24:00
1920,000:01:04,199439.0,55:23:59
1950,000:01:05,199438.0,55:23:58
1980,000:01:06,199437.0,55:23:57
2010,000:01:07,199436.0,55:23:56
2040,000:01:08,199435.0,55:23:55
2130,000:01:11,199432.0,55:23:52
2160,000:01:12,199431.0,55:23:51
2250,000:01:15,199428.0,55:23:48
2280,000:01:16,199427.0,55:23:47
2310,000:01:17,199426.0,55:23:46
2340,000:01:18,199425.0,55:23:45
2370,000:01:19,199424.0,55:23:44
2400,000:01:20,199423.0,55:23:43
2430,000:01:21,199422.0,55:23:42
2460,000:01:22,199421.0,55:23:41
2490,000:01:23,199420.0,55:23:40
2520,000:01:24,199419.0,55:23:39
2550,000:01:25,199418.0,55:23:38
2580,000:01:26,199417.0,55:23:37
2610,000:01:27,199416.0,55:23:36
2640,000:01:28,199415.0,55:23:35
2670,000:01:29,199414.0,55:23:34
2700,000:01:30,199413.0,55:23:33
2730,000:01:31,199412.0,55:23:32
2760,000:01:32,199411.0,55:23:31
2790,000:01:33,199410.0,55:23:30
2820,000:01:34,199409.0,55:23:29
2850,000:01:35,199408.0,55:23:28
2880,000:01:36,199407.0,55:23:27
2910,000:01:37,199406.0,55:23:26
2940,000:01:38,199405.0,55:23:25
2970,000:01:39,199404.0,55:23:24
3000,000:01:40,199403.0,55:23:23
