frame,video_timestamp,timer_value,timer_timestamp
330,000:00:11,212829,59:07:09
53370,000:29:39,213127,59:12:07
53400,000:29:40,213126,59:12:06
53430,000:29:41,213125,59:12:05
53460,000:29:42,213124,59:12:04
53490,000:29:43,213123,59:12:03
53520,000:29:44,213122,59:12:02
53550,000:29:45,213121,59:12:01
53580,000:29:46,213120,59:12:00
53610,000:29:47,213119,59:11:59
53640,000:29:48,213118,59:11:58
53670,000:29:49,213117,59:11:57
53700,000:29:50,213116,59:11:56
53730,000:29:51,213115,59:11:55
53760,000:29:52,213114,59:11:54
53790,000:29:53,213113,59:11:53
53820,000:29:54,213112,59:11:52
53850,000:29:55,213111,59:11:51
53880,000:29:56,213110,59:11:50
53910,000:29:57,213109,59:11:49
53940,000:29:58,213118,59:11:58
53970,000:29:59,213117,59:11:57
54000,000:30:00,213116,59:11:56
54030,000:30:01,213115,59:11:55
54060,000:30:02,213114,59:11:54
54090,000:30:03,213113,59:11:53
54120,000:30:04,213119,59:11:59
54150,000:30:05,213121,59:12:01
54180,000:30:06,213120,59:12:00
54210,000:30:07,213119,59:11:59
54240,000:30:08,213118,59:11:58
54270,000:30:09,213117,59:11:57
54300,000:30:10,213116,59:11:56
54330,000:30:11,213115,59:11:55
54360,000:30:12,213114,59:11:54
54390,000:30:13,213123,59:12:03
54420,000:30:14,213122,59:12:02
54450,000:30:15,213121,59:12:01
54480,000:30:16,213120,59:12:00
54510,000:30:17,213127,59:12:07
54540,000:30:18,213138,59:12:18
54570,000:30:19,213137,59:12:17
54600,000:30:20,213136,59:12:16
54630,000:30:21,213135,59:12:15
54660,000:30:22,213134,59:12:14
54690,000:30:23,213133,59:12:13
54720,000:30:24,213132,59:12:12
54750,000:30:25,213131,59:12:11
54780,000:30:26,213130,59:12:10
54810,000:30:27,213129,59:12:09
54840,000:30:28,213128,59:12:08
54870,000:30:29,213127,59:12:07
54900,000:30:30,213126,59:12:06
54930,000:30:31,213135,59:12:15
54960,000:30:32,213134,59:12:14
54990,000:30:33,213133,59:12:13
55020,000:30:34,213132,59:12:12
55050,000:30:35,213131,59:12:11
55080,000:30:36,213130,59:12:10
55110,000:30:37,213129,59:12:09
55140,000:30:38,213128,59:12:08
55170,000:30:39,213135,59:12:15
55200,000:30:40,213136,59:12:16
55230,000:30:41,213135,59:12:15
55260,000:30:42,213134,59:12:14
55290,000:30:43,213133,59:12:13
55320,000:30:44,213132,59:12:12
55350,000:30:45,213131,59:12:11
55380,000:30:46,213130,59:12:10
55410,000:30:47,213129,59:12:09
55440,000:30:48,213128,59:12:08
55470,000:30:49,213127,59:12:07
55500,000:30:50,213136,59:12:16
55530,000:30:51,213135,59:12:15
55560,000:30:52,213134,59:12:14
55590,000:30:53,213133,59:12:13
55620,000:30:54,213132,59:12:12
55650,000:30:55,213131,59:12:11
55680,000:30:56,213130,59:12:10
55710,000:30:57,213129,59:12:09
55740,000:30:58,213128,59:12:08
55770,000:30:59,213127,59:12:07
55800,000:31:00,213126,59:12:06
55830,000:31:01,213125,59:12:05
55860,000:31:02,213134,59:12:14
55890,000:31:03,213133,59:12:13
55920,000:31:04,213132,59:12:12
55950,000:31:05,213131,59:12:11
55980,000:31:06,213130,59:12:10
56010,000:31:07,213129,59:12:09
56040,000:31:08,213128,59:12:08
56070,000:31:09,213127,59:12:07
56100,000:31:10,213126,59:12:06
56130,000:31:11,213125,59:12:05
56160,000:31:12,213134,59:12:14
56190,000:31:13,213133,59:12:13
56220,000:31:14,213132,59:12:12
56250,000:31:15,213131,59:12:11
56280,000:31:16,213130,59:12:10
56310,000:31:17,213129,59:12:09
56340,000:31:18,213128,59:12:08
56370,000:31:19,213127,59:12:07
56400,000:31:20,213126,59:12:06
56430,000:31:21,213135,59:12:15
56460,000:31:22,213134,59:12:14
56490,000:31:23,213133,59:12:13
56520,000:31:24,213132,59:12:12
56550,000:31:25,213131,59:12:11
56580,000:31:26,213130,59:12:10
56610,000:31:27,213129,59:12:09
56640,000:31:28,213128,59:12:08
56670,000:31:29,213127,59:12:07
56700,000:31:30,213126,59:12:06
56730,000:31:31,213125,59:12:05
56760,000:31:32,213124,59:12:04
56790,000:31:33,213123,59:12:03
56820,000:31:34,213122,59:12:02
56850,000:31:35,213121,59:12:01
56880,000:31:36,213120,59:12:00
56910,000:31:37,213119,59:11:59
56940,000:31:38,213118,59:11:58
56970,000:31:39,213117,59:11:57
57000,000:31:40,213116,59:11:56
57090,000:31:43,213113,59:11:53
57120,000:31:44,213112,59:11:52
57150,000:31:45,213111,59:11:51
57180,000:31:46,213110,59:11:50
57210,000:31:47,213109,59:11:49
57240,000:31:48,213108,59:11:48
57270,000:31:49,213107,59:11:47
57300,000:31:50,213106,59:11:46
57330,000:31:51,213115,59:11:55
57360,000:31:52,213114,59:11:54
57390,000:31:53,213113,59:11:53
57420,000:31:54,213112,59:11:52
57450,000:31:55,213111,59:11:51
57480,000:31:56,213114,59:11:54
57510,000:31:57,213119,59:11:59
57540,000:31:58,213118,59:11:58
57570,000:31:59,213137,59:12:17
57600,000:32:00,213136,59:12:16
57630,000:32:01,213144,59:12:24
57660,000:32:02,213144,59:12:24
57690,000:32:03,213143,59:12:23
57720,000:32:04,213142,59:12:22
57750,000:32:05,213141,59:12:21
57780,000:32:06,213140,59:12:20
57810,000:32:07,213139,59:12:19
57840,000:32:08,213138,59:12:18
57870,000:32:09,213137,59:12:17
57900,000:32:10,213136,59:12:16
57930,000:32:11,213135,59:12:15
57960,000:32:12,213134,59:12:14
57990,000:32:13,213133,59:12:13
58020,000:32:14,213132,59:12:12
58050,000:32:15,213131,59:12:11
58080,000:32:16,213130,59:12:10
58110,000:32:17,213133,59:12:13
58140,000:32:18,213138,59:12:18
58170,000:32:19,213137,59:12:17
58200,000:32:20,213136,59:12:16
58230,000:32:21,213135,59:12:15
58260,000:32:22,213134,59:12:14
58290,000:32:23,213133,59:12:13
58320,000:32:24,213132,59:12:12
58350,000:32:25,213131,59:12:11
58380,000:32:26,213130,59:12:10
58410,000:32:27,213129,59:12:09
