frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,203967,56:39:27
60,000:00:02,203966,56:39:26
90,000:00:03,203965,56:39:25
120,000:00:04,203964,56:39:24
150,000:00:05,203963,56:39:23
180,000:00:06,203962,56:39:22
210,000:00:07,203961,56:39:21
240,000:00:08,203960,56:39:20
270,000:00:09,203959,56:39:19
300,000:00:10,203958,56:39:18
330,000:00:11,203957,56:39:17
360,000:00:12,203956,56:39:16
390,000:00:13,203965,56:39:25
420,000:00:14,203964,56:39:24
450,000:00:15,203963,56:39:23
480,000:00:16,203962,56:39:22
510,000:00:17,203961,56:39:21
540,000:00:18,203960,56:39:20
570,000:00:19,203959,56:39:19
600,000:00:20,203958,56:39:18
630,000:00:21,203957,56:39:17
660,000:00:22,203956,56:39:16
690,000:00:23,203955,56:39:15
720,000:00:24,203954,56:39:14
750,000:00:25,203953,56:39:13
780,000:00:26,203952,56:39:12
810,000:00:27,203951,56:39:11
840,000:00:28,203950,56:39:10
870,000:00:29,203949,56:39:09
900,000:00:30,203948,56:39:08
930,000:00:31,203947,56:39:07
960,000:00:32,203946,56:39:06
990,000:00:33,203945,56:39:05
1020,000:00:34,203944,56:39:04
1050,000:00:35,203943,56:39:03
1080,000:00:36,203942,56:39:02
1110,000:00:37,203941,56:39:01
1140,000:00:38,203940,56:39:00
1170,000:00:39,203939,56:38:59
1200,000:00:40,203938,56:38:58
1230,000:00:41,203937,56:38:57
1260,000:00:42,203936,56:38:56
1290,000:00:43,203935,56:38:55
1320,000:00:44,203934,56:38:54
1350,000:00:45,203933,56:38:53
1380,000:00:46,203932,56:38:52
1410,000:00:47,203931,56:38:51
1440,000:00:48,203930,56:38:50
1530,000:00:51,203937,56:38:57
1560,000:00:52,203936,56:38:56
1590,000:00:53,203935,56:38:55
1620,000:00:54,203944,56:39:04
1650,000:00:55,203943,56:39:03
1680,000:00:56,203942,56:39:02
1710,000:00:57,203941,56:39:01
1740,000:00:58,203940,56:39:00
1770,000:00:59,203939,56:38:59
1800,000:01:00,203938,56:38:58
1830,000:01:01,203937,56:38:57
1860,000:01:02,203942,56:39:02
1890,000:01:03,203951,56:39:11
1920,000:01:04,203954,56:39:14
1950,000:01:05,203953,56:39:13
1980,000:01:06,203952,56:39:12
2010,000:01:07,203951,56:39:11
2040,000:01:08,203950,56:39:10
2070,000:01:09,203949,56:39:09
2100,000:01:10,203948,56:39:08
2130,000:01:11,203947,56:39:07
2160,000:01:12,203946,56:39:06
2190,000:01:13,203945,56:39:05
2220,000:01:14,203944,56:39:04
2250,000:01:15,203943,56:39:03
2280,000:01:16,203942,56:39:02
2310,000:01:17,203941,56:39:01
2340,000:01:18,203940,56:39:00
2370,000:01:19,203939,56:38:59
2400,000:01:20,203938,56:38:58
2430,000:01:21,203937,56:38:57
2460,000:01:22,203936,56:38:56
2490,000:01:23,203935,56:38:55
2520,000:01:24,203934,56:38:54
2550,000:01:25,203933,56:38:53
2580,000:01:26,203932,56:38:52
2610,000:01:27,203931,56:38:51
2640,000:01:28,203930,56:38:50
2670,000:01:29,203929,56:38:49
2700,000:01:30,203928,56:38:48
2730,000:01:31,203927,56:38:47
2760,000:01:32,203926,56:38:46
2790,000:01:33,203925,56:38:45
2820,000:01:34,203924,56:38:44
2850,000:01:35,203923,56:38:43
2880,000:01:36,203922,56:38:42
2910,000:01:37,203921,56:38:41
3000,000:01:40,203918,56:38:38
3030,000:01:41,203917,56:38:37
3060,000:01:42,203916,56:38:36
3090,000:01:43,203915,56:38:35
3120,000:01:44,203914,56:38:34
3150,000:01:45,203913,56:38:33
3180,000:01:46,203912,56:38:32
3210,000:01:47,203911,56:38:31
3240,000:01:48,203910,56:38:30
3270,000:01:49,203909,56:38:29
3300,000:01:50,203908,56:38:28
3330,000:01:51,203907,56:38:27
3360,000:01:52,203906,56:38:26
3390,000:01:53,203905,56:38:25
3420,000:01:54,203904,56:38:24
3450,000:01:55,203903,56:38:23
3480,000:01:56,203902,56:38:22
3510,000:01:57,203901,56:38:21
3540,000:01:58,203900,56:38:20
3570,000:01:59,203899,56:38:19
3600,000:02:00,203898,56:38:18
3630,000:02:01,203897,56:38:17
3660,000:02:02,203896,56:38:16
3690,000:02:03,203895,56:38:15
3720,000:02:04,203894,56:38:14
3750,000:02:05,203893,56:38:13
3780,000:02:06,203892,56:38:12
3810,000:02:07,203891,56:38:11
3840,000:02:08,203890,56:38:10
3870,000:02:09,203889,56:38:09
3900,000:02:10,203888,56:38:08
3930,000:02:11,203887,56:38:07
3960,000:02:12,203886,56:38:06
3990,000:02:13,203885,56:38:05
4020,000:02:14,203884,56:38:04
4050,000:02:15,203883,56:38:03
4080,000:02:16,203882,56:38:02
4110,000:02:17,203881,56:38:01
4140,000:02:18,203880,56:38:00
4170,000:02:19,203879,56:37:59
4200,000:02:20,203878,56:37:58
4230,000:02:21,203877,56:37:57
4260,000:02:22,203876,56:37:56
4290,000:02:23,203875,56:37:55
4320,000:02:24,203874,56:37:54
4350,000:02:25,203873,56:37:53
4380,000:02:26,203872,56:37:52
4410,000:02:27,203871,56:37:51
4440,000:02:28,203870,56:37:50
4470,000:02:29,203869,56:37:49
4500,000:02:30,203868,56:37:48
4530,000:02:31,203867,56:37:47
4560,000:02:32,203866,56:37:46
4590,000:02:33,203865,56:37:45
4620,000:02:34,203864,56:37:44
4650,000:02:35,203863,56:37:43
4680,000:02:36,203862,56:37:42
4710,000:02:37,203861,56:37:41
4800,000:02:40,203868,56:37:48
4830,000:02:41,203867,56:37:47
4860,000:02:42,203866,56:37:46
4890,000:02:43,203865,56:37:45
4920,000:02:44,203864,56:37:44
4950,000:02:45,203863,56:37:43
4980,000:02:46,203862,56:37:42
5010,000:02:47,203861,56:37:41
5040,000:02:48,203860,56:37:40
5070,000:02:49,203859,56:37:39
5100,000:02:50,203858,56:37:38
5130,000:02:51,203857,56:37:37
5160,000:02:52,203856,56:37:36
5190,000:02:53,203855,56:37:35
5220,000:02:54,203854,56:37:34
5250,000:02:55,203853,56:37:33
5280,000:02:56,203852,56:37:32
5310,000:02:57,203851,56:37:31
5340,000:02:58,203850,56:37:30
5370,000:02:59,203849,56:37:29
5400,000:03:00,203848,56:37:28
5430,000:03:01,203847,56:37:27
5520,000:03:04,203844,56:37:24
5550,000:03:05,203843,56:37:23
5580,000:03:06,203842,56:37:22
5610,000:03:07,203841,56:37:21
5640,000:03:08,203840,56:37:20
5670,000:03:09,203839,56:37:19
5700,000:03:10,203838,56:37:18
5730,000:03:11,203837,56:37:17
5760,000:03:12,203836,56:37:16
5790,000:03:13,203835,56:37:15
5820,000:03:14,203834,56:37:14
5850,000:03:15,203833,56:37:13
5880,000:03:16,203832,56:37:12
5910,000:03:17,203836,56:37:16
5940,000:03:18,203840,56:37:20
5970,000:03:19,203839,56:37:19
6120,000:03:24,203854,56:37:34
6150,000:03:25,203853,56:37:33
6180,000:03:26,203852,56:37:32
6210,000:03:27,203851,56:37:31
6240,000:03:28,203850,56:37:30
6270,000:03:29,203849,56:37:29
6300,000:03:30,203848,56:37:28
6330,000:03:31,203847,56:37:27
6360,000:03:32,203846,56:37:26
6390,000:03:33,203845,56:37:25
6420,000:03:34,203844,56:37:24
6450,000:03:35,203843,56:37:23
6480,000:03:36,203842,56:37:22
6510,000:03:37,203841,56:37:21
6540,000:03:38,203840,56:37:20
6570,000:03:39,203839,56:37:19
6600,000:03:40,203838,56:37:18
6630,000:03:41,203837,56:37:17
6660,000:03:42,203836,56:37:16
6690,000:03:43,203835,56:37:15
6720,000:03:44,203834,56:37:14
6750,000:03:45,203833,56:37:13
6780,000:03:46,203832,56:37:12
6810,000:03:47,203831,56:37:11
6840,000:03:48,203830,56:37:10
6870,000:03:49,203829,56:37:09
6900,000:03:50,203828,56:37:08
6930,000:03:51,203827,56:37:07
6960,000:03:52,203826,56:37:06
6990,000:03:53,203825,56:37:05
7020,000:03:54,203824,56:37:04
7050,000:03:55,203823,56:37:03
7080,000:03:56,203822,56:37:02
7110,000:03:57,203821,56:37:01
7140,000:03:58,203820,56:37:00
7170,000:03:59,203819,56:36:59
7200,000:04:00,203818,56:36:58
7230,000:04:01,203817,56:36:57
7260,000:04:02,203816,56:36:56
7290,000:04:03,203815,56:36:55
7320,000:04:04,203814,56:36:54
7350,000:04:05,203813,56:36:53
7380,000:04:06,203812,56:36:52
7410,000:04:07,203811,56:36:51
7440,000:04:08,203810,56:36:50
7470,000:04:09,203809,56:36:49
7500,000:04:10,203808,56:36:48
7530,000:04:11,203807,56:36:47
7560,000:04:12,203806,56:36:46
7590,000:04:13,203805,56:36:45
7620,000:04:14,203804,56:36:44
7650,000:04:15,203803,56:36:43
7680,000:04:16,203802,56:36:42
7710,000:04:17,203801,56:36:41
7740,000:04:18,203800,56:36:40
7770,000:04:19,203799,56:36:39
7800,000:04:20,203798,56:36:38
7830,000:04:21,203797,56:36:37
7860,000:04:22,203796,56:36:36
7890,000:04:23,203795,56:36:35
7920,000:04:24,203794,56:36:34
7950,000:04:25,203793,56:36:33
7980,000:04:26,203792,56:36:32
8010,000:04:27,203791,56:36:31
8040,000:04:28,203790,56:36:30
8070,000:04:29,203789,56:36:29
8100,000:04:30,203788,56:36:28
8130,000:04:31,203787,56:36:27
8160,000:04:32,203786,56:36:26
8190,000:04:33,203785,56:36:25
8220,000:04:34,203784,56:36:24
8250,000:04:35,203783,56:36:23
8280,000:04:36,203782,56:36:22
8310,000:04:37,203781,56:36:21
8340,000:04:38,203780,56:36:20
8370,000:04:39,203779,56:36:19
8400,000:04:40,203778,56:36:18
8430,000:04:41,203777,56:36:17
8460,000:04:42,203776,56:36:16
8490,000:04:43,203775,56:36:15
8520,000:04:44,203774,56:36:14
8550,000:04:45,203773,56:36:13
8580,000:04:46,203772,56:36:12
8610,000:04:47,203771,56:36:11
8640,000:04:48,203770,56:36:10
8670,000:04:49,203769,56:36:09
8700,000:04:50,203768,56:36:08
8730,000:04:51,203767,56:36:07
8760,000:04:52,203766,56:36:06
8790,000:04:53,203765,56:36:05
8820,000:04:54,203764,56:36:04
8850,000:04:55,203763,56:36:03
8880,000:04:56,203762,56:36:02
8910,000:04:57,203761,56:36:01
8940,000:04:58,203770,56:36:10
8970,000:04:59,203769,56:36:09
9000,000:05:00,203768,56:36:08
9030,000:05:01,203767,56:36:07
9060,000:05:02,203766,56:36:06
9090,000:05:03,203765,56:36:05
9120,000:05:04,203764,56:36:04
9150,000:05:05,203763,56:36:03
9180,000:05:06,203762,56:36:02
9210,000:05:07,203761,56:36:01
9240,000:05:08,203760,56:36:00
9270,000:05:09,203759,56:35:59
9300,000:05:10,203758,56:35:58
9330,000:05:11,203757,56:35:57
9360,000:05:12,203756,56:35:56
9390,000:05:13,203755,56:35:55
9420,000:05:14,203754,56:35:54
9450,000:05:15,203753,56:35:53
9480,000:05:16,203752,56:35:52
9510,000:05:17,203751,56:35:51
9540,000:05:18,203750,56:35:50
9570,000:05:19,203749,56:35:49
9600,000:05:20,203748,56:35:48
9630,000:05:21,203747,56:35:47
9660,000:05:22,203746,56:35:46
9690,000:05:23,203755,56:35:55
9720,000:05:24,203754,56:35:54
9750,000:05:25,203753,56:35:53
9780,000:05:26,203752,56:35:52
9810,000:05:27,203751,56:35:51
9840,000:05:28,203750,56:35:50
9870,000:05:29,203749,56:35:49
9900,000:05:30,203748,56:35:48
9930,000:05:31,203747,56:35:47
9960,000:05:32,203746,56:35:46
9990,000:05:33,203745,56:35:45
10020,000:05:34,203744,56:35:44
10050,000:05:35,203743,56:35:43
10080,000:05:36,203742,56:35:42
10110,000:05:37,203741,56:35:41
10140,000:05:38,203740,56:35:40
10170,000:05:39,203739,56:35:39
10200,000:05:40,203748,56:35:48
10230,000:05:41,203747,56:35:47
10260,000:05:42,203746,56:35:46
10290,000:05:43,203745,56:35:45
10320,000:05:44,203744,56:35:44
10350,000:05:45,203743,56:35:43
10380,000:05:46,203742,56:35:42
10410,000:05:47,203741,56:35:41
10440,000:05:48,203740,56:35:40
10470,000:05:49,203739,56:35:39
10500,000:05:50,203738,56:35:38
10530,000:05:51,203737,56:35:37
10560,000:05:52,203736,56:35:36
10590,000:05:53,203735,56:35:35
10620,000:05:54,203734,56:35:34
10650,000:05:55,203733,56:35:33
10680,000:05:56,203732,56:35:32
10710,000:05:57,203731,56:35:31
10740,000:05:58,203730,56:35:30
10770,000:05:59,203729,56:35:29
10800,000:06:00,203728,56:35:28
10890,000:06:03,203735,56:35:35
10920,000:06:04,203734,56:35:34
10950,000:06:05,203733,56:35:33
10980,000:06:06,203732,56:35:32
11010,000:06:07,203731,56:35:31
11040,000:06:08,203730,56:35:30
11070,000:06:09,203729,56:35:29
11100,000:06:10,203728,56:35:28
11130,000:06:11,203727,56:35:27
11160,000:06:12,203726,56:35:26
11190,000:06:13,203725,56:35:25
11220,000:06:14,203724,56:35:24
11250,000:06:15,203723,56:35:23
11280,000:06:16,203722,56:35:22
11310,000:06:17,203721,56:35:21
11340,000:06:18,203720,56:35:20
