frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,195711,54:21:51
60,000:00:02,195710,54:21:50
90,000:00:03,195709,54:21:49
120,000:00:04,195708,54:21:48
150,000:00:05,195707,54:21:47
180,000:00:06,195706,54:21:46
210,000:00:07,195705,54:21:45
240,000:00:08,195704,54:21:44
270,000:00:09,195703,54:21:43
300,000:00:10,195702,54:21:42
330,000:00:11,195701,54:21:41
360,000:00:12,195700,54:21:40
390,000:00:13,195699,54:21:39
420,000:00:14,195698,54:21:38
450,000:00:15,195697,54:21:37
480,000:00:16,195696,54:21:36
510,000:00:17,195695,54:21:35
540,000:00:18,195694,54:21:34
630,000:00:21,195691,54:21:31
660,000:00:22,195690,54:21:30
690,000:00:23,195689,54:21:29
720,000:00:24,195688,54:21:28
750,000:00:25,195687,54:21:27
780,000:00:26,195686,54:21:26
810,000:00:27,195685,54:21:25
840,000:00:28,195684,54:21:24
870,000:00:29,195683,54:21:23
900,000:00:30,195682,54:21:22
990,000:00:33,195679,54:21:19
1020,000:00:34,195678,54:21:18
1050,000:00:35,195677,54:21:17
1260,000:00:42,195690,54:21:30
1290,000:00:43,195689,54:21:29
1320,000:00:44,195688,54:21:28
1350,000:00:45,195687,54:21:27
1380,000:00:46,195686,54:21:26
1410,000:00:47,195685,54:21:25
1440,000:00:48,195684,54:21:24
1470,000:00:49,195683,54:21:23
1500,000:00:50,195682,54:21:22
1590,000:00:53,195686,54:21:26
1620,000:00:54,195688,54:21:28
1650,000:00:55,195687,54:21:27
1680,000:00:56,195686,54:21:26
1710,000:00:57,195685,54:21:25
1740,000:00:58,195684,54:21:24
1770,000:00:59,195683,54:21:23
1800,000:01:00,195682,54:21:22
1830,000:01:01,195681,54:21:21
1860,000:01:02,195680,54:21:20
1890,000:01:03,195679,54:21:19
1920,000:01:04,195678,54:21:18
1950,000:01:05,195677,54:21:17
2040,000:01:08,195674,54:21:14
2070,000:01:09,195673,54:21:13
2100,000:01:10,195672,54:21:12
2130,000:01:11,195671,54:21:11
2160,000:01:12,195670,54:21:10
2190,000:01:13,195669,54:21:09
2220,000:01:14,195668,54:21:08
2250,000:01:15,195667,54:21:07
2280,000:01:16,195666,54:21:06
2310,000:01:17,195665,54:21:05
2340,000:01:18,195664,54:21:04
2370,000:01:19,195663,54:21:03
2430,000:01:21,195661,54:21:01
2460,000:01:22,195660,54:21:00
2490,000:01:23,195659,54:20:59
2520,000:01:24,195658,54:20:58
2550,000:01:25,195657,54:20:57
2580,000:01:26,195656,54:20:56
2610,000:01:27,195655,54:20:55
2640,000:01:28,195654,54:20:54
2670,000:01:29,195653,54:20:53
2700,000:01:30,195652,54:20:52
2730,000:01:31,195651,54:20:51
2760,000:01:32,195650,54:20:50
2790,000:01:33,195649,54:20:49
2820,000:01:34,195648,54:20:48
2850,000:01:35,195647,54:20:47
2880,000:01:36,195646,54:20:46
2910,000:01:37,195645,54:20:45
2940,000:01:38,195644,54:20:44
2970,000:01:39,195643,54:20:43
3000,000:01:40,195642,54:20:42
3030,000:01:41,195641,54:20:41
3060,000:01:42,195640,54:20:40
3090,000:01:43,195639,54:20:39
3120,000:01:44,195638,54:20:38
3150,000:01:45,195637,54:20:37
3180,000:01:46,195636,54:20:36
3210,000:01:47,195635,54:20:35
3240,000:01:48,195634,54:20:34
3270,000:01:49,195633,54:20:33
3300,000:01:50,195632,54:20:32
3330,000:01:51,195631,54:20:31
3360,000:01:52,195630,54:20:30
3390,000:01:53,195629,54:20:29
3420,000:01:54,195628,54:20:28
3450,000:01:55,195627,54:20:27
3510,000:01:57,195625,54:20:25
3540,000:01:58,195624,54:20:24
3570,000:01:59,195623,54:20:23
3600,000:02:00,195622,54:20:22
3630,000:02:01,195621,54:20:21
3660,000:02:02,195620,54:20:20
3690,000:02:03,195619,54:20:19
3720,000:02:04,195618,54:20:18
3750,000:02:05,195617,54:20:17
3780,000:02:06,195616,54:20:16
3810,000:02:07,195615,54:20:15
3840,000:02:08,195614,54:20:14
3870,000:02:09,195613,54:20:13
3900,000:02:10,195612,54:20:12
3930,000:02:11,195611,54:20:11
3960,000:02:12,195610,54:20:10
3990,000:02:13,195609,54:20:09
4020,000:02:14,195608,54:20:08
4050,000:02:15,195607,54:20:07
4080,000:02:16,195606,54:20:06
4110,000:02:17,195605,54:20:05
4140,000:02:18,195604,54:20:04
4170,000:02:19,195603,54:20:03
4200,000:02:20,195602,54:20:02
4230,000:02:21,195601,54:20:01
4260,000:02:22,195600,54:20:00
4290,000:02:23,195599,54:19:59
4320,000:02:24,195598,54:19:58
4350,000:02:25,195597,54:19:57
4380,000:02:26,195596,54:19:56
4410,000:02:27,195595,54:19:55
4440,000:02:28,195594,54:19:54
4470,000:02:29,195593,54:19:53
4500,000:02:30,195592,54:19:52
4530,000:02:31,195591,54:19:51
4560,000:02:32,195590,54:19:50
4650,000:02:35,195587,54:19:47
4680,000:02:36,195586,54:19:46
4710,000:02:37,195585,54:19:45
4740,000:02:38,195584,54:19:44
4770,000:02:39,195583,54:19:43
4800,000:02:40,195582,54:19:42
4830,000:02:41,195581,54:19:41
4860,000:02:42,195580,54:19:40
4890,000:02:43,195579,54:19:39
4920,000:02:44,195578,54:19:38
4950,000:02:45,195577,54:19:37
4980,000:02:46,195576,54:19:36
5010,000:02:47,195575,54:19:35
5040,000:02:48,195574,54:19:34
5070,000:02:49,195573,54:19:33
5100,000:02:50,195572,54:19:32
5130,000:02:51,195571,54:19:31
5160,000:02:52,195570,54:19:30
5190,000:02:53,195569,54:19:29
5220,000:02:54,195568,54:19:28
5250,000:02:55,195567,54:19:27
5280,000:02:56,195566,54:19:26
5310,000:02:57,195565,54:19:25
5340,000:02:58,195574,54:19:34
5370,000:02:59,195573,54:19:33
5400,000:03:00,195572,54:19:32
5430,000:03:01,195571,54:19:31
5460,000:03:02,195570,54:19:30
5490,000:03:03,195569,54:19:29
5520,000:03:04,195568,54:19:28
5550,000:03:05,195567,54:19:27
5580,000:03:06,195566,54:19:26
5610,000:03:07,195565,54:19:25
5640,000:03:08,195564,54:19:24
5670,000:03:09,195563,54:19:23
5700,000:03:10,195562,54:19:22
5730,000:03:11,195561,54:19:21
5760,000:03:12,195560,54:19:20
5790,000:03:13,195559,54:19:19
5820,000:03:14,195558,54:19:18
5850,000:03:15,195557,54:19:17
5880,000:03:16,195556,54:19:16
5910,000:03:17,195555,54:19:15
5940,000:03:18,195554,54:19:14
5970,000:03:19,195553,54:19:13
6000,000:03:20,195552,54:19:12
6030,000:03:21,195551,54:19:11
6060,000:03:22,195550,54:19:10
6090,000:03:23,195549,54:19:09
6120,000:03:24,195548,54:19:08
6150,000:03:25,195547,54:19:07
6180,000:03:26,195546,54:19:06
6210,000:03:27,195545,54:19:05
6270,000:03:29,195553,54:19:13
6300,000:03:30,195552,54:19:12
6330,000:03:31,195551,54:19:11
6360,000:03:32,195550,54:19:10
6390,000:03:33,195549,54:19:09
6420,000:03:34,195548,54:19:08
6450,000:03:35,195547,54:19:07
6480,000:03:36,195556,54:19:16
6510,000:03:37,195555,54:19:15
6540,000:03:38,195554,54:19:14
6570,000:03:39,195553,54:19:13
6600,000:03:40,195552,54:19:12
6630,000:03:41,195551,54:19:11
6660,000:03:42,195550,54:19:10
6690,000:03:43,195549,54:19:09
6720,000:03:44,195558,54:19:18
6750,000:03:45,195557,54:19:17
6780,000:03:46,195556,54:19:16
6810,000:03:47,195555,54:19:15
6840,000:03:48,195554,54:19:14
6870,000:03:49,195553,54:19:13
6900,000:03:50,195552,54:19:12
6930,000:03:51,195551,54:19:11
6960,000:03:52,195550,54:19:10
6990,000:03:53,195549,54:19:09
7020,000:03:54,195558,54:19:18
7050,000:03:55,195557,54:19:17
7080,000:03:56,195556,54:19:16
7110,000:03:57,195555,54:19:15
7140,000:03:58,195554,54:19:14
7170,000:03:59,195553,54:19:13
7200,000:04:00,195552,54:19:12
7230,000:04:01,195551,54:19:11
7260,000:04:02,195550,54:19:10
7290,000:04:03,195549,54:19:09
7320,000:04:04,195548,54:19:08
7350,000:04:05,195547,54:19:07
7380,000:04:06,195546,54:19:06
7410,000:04:07,195545,54:19:05
7440,000:04:08,195544,54:19:04
7470,000:04:09,195543,54:19:03
7500,000:04:10,195542,54:19:02
7590,000:04:13,195539,54:18:59
7620,000:04:14,195538,54:18:58
7650,000:04:15,195537,54:18:57
7680,000:04:16,195536,54:18:56
7710,000:04:17,195535,54:18:55
7740,000:04:18,195534,54:18:54
7770,000:04:19,195533,54:18:53
7800,000:04:20,195532,54:18:52
7830,000:04:21,195531,54:18:51
7860,000:04:22,195530,54:18:50
7890,000:04:23,195529,54:18:49
7920,000:04:24,195528,54:18:48
7950,000:04:25,195527,54:18:47
7980,000:04:26,195526,54:18:46
8010,000:04:27,195525,54:18:45
8040,000:04:28,195524,54:18:44
8070,000:04:29,195523,54:18:43
8100,000:04:30,195522,54:18:42
8130,000:04:31,195521,54:18:41
8160,000:04:32,195520,54:18:40
