frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,191623,53:13:43
60,000:00:02,191622,53:13:42
90,000:00:03,191621,53:13:41
120,000:00:04,191620,53:13:40
150,000:00:05,191619,53:13:39
180,000:00:06,191618,53:13:38
210,000:00:07,191617,53:13:37
240,000:00:08,191616,53:13:36
270,000:00:09,191615,53:13:35
300,000:00:10,191614,53:13:34
330,000:00:11,191613,53:13:33
360,000:00:12,191612,53:13:32
390,000:00:13,191611,53:13:31
420,000:00:14,191610,53:13:30
450,000:00:15,191609,53:13:29
480,000:00:16,191608,53:13:28
510,000:00:17,191607,53:13:27
540,000:00:18,191606,53:13:26
570,000:00:19,191605,53:13:25
600,000:00:20,191604,53:13:24
630,000:00:21,191603,53:13:23
660,000:00:22,191602,53:13:22
690,000:00:23,191601,53:13:21
720,000:00:24,191600,53:13:20
750,000:00:25,191599,53:13:19
780,000:00:26,191598,53:13:18
810,000:00:27,191597,53:13:17
840,000:00:28,191596,53:13:16
870,000:00:29,191605,53:13:25
900,000:00:30,191604,53:13:24
930,000:00:31,191603,53:13:23
960,000:00:32,191602,53:13:22
990,000:00:33,191601,53:13:21
1020,000:00:34,191600,53:13:20
1080,000:00:36,191608,53:13:28
1110,000:00:37,191607,53:13:27
1140,000:00:38,191606,53:13:26
1170,000:00:39,191605,53:13:25
1200,000:00:40,191604,53:13:24
1230,000:00:41,191603,53:13:23
1260,000:00:42,191602,53:13:22
1290,000:00:43,191601,53:13:21
1320,000:00:44,191600,53:13:20
1350,000:00:45,191599,53:13:19
1380,000:00:46,191598,53:13:18
1410,000:00:47,191597,53:13:17
1440,000:00:48,191596,53:13:16
1470,000:00:49,191595,53:13:15
1500,000:00:50,191594,53:13:14
1530,000:00:51,191593,53:13:13
1620,000:00:54,191590,53:13:10
1650,000:00:55,191589,53:13:09
1680,000:00:56,191588,53:13:08
1710,000:00:57,191587,53:13:07
1740,000:00:58,191586,53:13:06
1770,000:00:59,191585,53:13:05
1800,000:01:00,191584,53:13:04
1830,000:01:01,191583,53:13:03
1860,000:01:02,191582,53:13:02
1890,000:01:03,191581,53:13:01
1920,000:01:04,191580,53:13:00
1950,000:01:05,191579,53:12:59
1980,000:01:06,191578,53:12:58
2010,000:01:07,191577,53:12:57
2040,000:01:08,191576,53:12:56
2070,000:01:09,191575,53:12:55
2100,000:01:10,191574,53:12:54
2130,000:01:11,191573,53:12:53
2160,000:01:12,191572,53:12:52
2190,000:01:13,191571,53:12:51
2220,000:01:14,191570,53:12:50
2250,000:01:15,191576,53:12:56
2280,000:01:16,191578,53:12:58
2310,000:01:17,191577,53:12:57
2340,000:01:18,191576,53:12:56
2370,000:01:19,191575,53:12:55
2400,000:01:20,191574,53:12:54
2430,000:01:21,191573,53:12:53
2460,000:01:22,191572,53:12:52
2490,000:01:23,191571,53:12:51
2520,000:01:24,191570,53:12:50
2550,000:01:25,191569,53:12:49
2580,000:01:26,191568,53:12:48
2610,000:01:27,191567,53:12:47
2640,000:01:28,191566,53:12:46
2670,000:01:29,191575,53:12:55
2700,000:01:30,191574,53:12:54
2730,000:01:31,191573,53:12:53
2760,000:01:32,191572,53:12:52
2790,000:01:33,191571,53:12:51
2820,000:01:34,191570,53:12:50
2850,000:01:35,191569,53:12:49
2880,000:01:36,191568,53:12:48
2910,000:01:37,191567,53:12:47
2940,000:01:38,191566,53:12:46
2970,000:01:39,191565,53:12:45
3000,000:01:40,191564,53:12:44
3030,000:01:41,191563,53:12:43
3060,000:01:42,191562,53:12:42
3090,000:01:43,191561,53:12:41
3120,000:01:44,191560,53:12:40
3150,000:01:45,191559,53:12:39
3180,000:01:46,191558,53:12:38
3210,000:01:47,191557,53:12:37
3240,000:01:48,191556,53:12:36
3270,000:01:49,191565,53:12:45
3300,000:01:50,191564,53:12:44
3330,000:01:51,191563,53:12:43
3360,000:01:52,191572,53:12:52
3390,000:01:53,191571,53:12:51
3420,000:01:54,191570,53:12:50
3450,000:01:55,191569,53:12:49
3480,000:01:56,191568,53:12:48
3510,000:01:57,191567,53:12:47
3540,000:01:58,191566,53:12:46
3570,000:01:59,191565,53:12:45
3600,000:02:00,191564,53:12:44
3630,000:02:01,191563,53:12:43
3660,000:02:02,191562,53:12:42
3690,000:02:03,191561,53:12:41
3720,000:02:04,191560,53:12:40
3750,000:02:05,191559,53:12:39
3780,000:02:06,191558,53:12:38
3810,000:02:07,191557,53:12:37
3840,000:02:08,191556,53:12:36
3870,000:02:09,191555,53:12:35
3900,000:02:10,191554,53:12:34
3930,000:02:11,191553,53:12:33
3960,000:02:12,191552,53:12:32
3990,000:02:13,191551,53:12:31
4020,000:02:14,191550,53:12:30
4050,000:02:15,191549,53:12:29
4080,000:02:16,191548,53:12:28
4110,000:02:17,191547,53:12:27
4140,000:02:18,191546,53:12:26
4170,000:02:19,191553,53:12:33
4200,000:02:20,191554,53:12:34
4230,000:02:21,191553,53:12:33
4260,000:02:22,191552,53:12:32
4290,000:02:23,191551,53:12:31
4320,000:02:24,191550,53:12:30
4350,000:02:25,191549,53:12:29
4380,000:02:26,191548,53:12:28
4410,000:02:27,191547,53:12:27
4440,000:02:28,191546,53:12:26
4470,000:02:29,191545,53:12:25
4500,000:02:30,191544,53:12:24
4530,000:02:31,191543,53:12:23
4560,000:02:32,191542,53:12:22
4590,000:02:33,191541,53:12:21
4620,000:02:34,191540,53:12:20
4650,000:02:35,191539,53:12:19
4680,000:02:36,191538,53:12:18
4710,000:02:37,191537,53:12:17
4740,000:02:38,191536,53:12:16
4770,000:02:39,191535,53:12:15
4800,000:02:40,191534,53:12:14
4830,000:02:41,191533,53:12:13
4860,000:02:42,191532,53:12:12
4890,000:02:43,191531,53:12:11
4920,000:02:44,191530,53:12:10
4950,000:02:45,191529,53:12:09
4980,000:02:46,191528,53:12:08
5010,000:02:47,191527,53:12:07
5040,000:02:48,191526,53:12:06
5070,000:02:49,191525,53:12:05
5100,000:02:50,191524,53:12:04
5130,000:02:51,191523,53:12:03
5160,000:02:52,191522,53:12:02
5190,000:02:53,191521,53:12:01
5220,000:02:54,191520,53:12:00
5250,000:02:55,191519,53:11:59
5280,000:02:56,191518,53:11:58
5310,000:02:57,191517,53:11:57
5340,000:02:58,191516,53:11:56
5430,000:03:01,191513,53:11:53
5460,000:03:02,191512,53:11:52
5490,000:03:03,191511,53:11:51
5520,000:03:04,191510,53:11:50
5550,000:03:05,191509,53:11:49
5580,000:03:06,191508,53:11:48
5610,000:03:07,191507,53:11:47
5640,000:03:08,191506,53:11:46
5670,000:03:09,191505,53:11:45
5700,000:03:10,191504,53:11:44
5730,000:03:11,191503,53:11:43
5760,000:03:12,191502,53:11:42
5790,000:03:13,191501,53:11:41
5820,000:03:14,191500,53:11:40
5850,000:03:15,191499,53:11:39
5880,000:03:16,191498,53:11:38
5910,000:03:17,191497,53:11:37
5940,000:03:18,191496,53:11:36
5970,000:03:19,191495,53:11:35
6000,000:03:20,191494,53:11:34
6030,000:03:21,191493,53:11:33
