frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,173486.0,48:11:26
60,000:00:02,173485.0,48:11:25
90,000:00:03,173484.0,48:11:24
120,000:00:04,173483.0,48:11:23
150,000:00:05,173482.0,48:11:22
180,000:00:06,173481.0,48:11:21
210,000:00:07,173480.0,48:11:20
240,000:00:08,173479.0,48:11:19
270,000:00:09,173478.0,48:11:18
300,000:00:10,173477.0,48:11:17
330,000:00:11,173476.0,48:11:16
360,000:00:12,173475.0,48:11:15
390,000:00:13,173474.0,48:11:14
420,000:00:14,173482.0,48:11:22
450,000:00:15,173482.0,48:11:22
480,000:00:16,173481.0,48:11:21
510,000:00:17,173480.0,48:11:20
540,000:00:18,173479.0,48:11:19
570,000:00:19,173478.0,48:11:18
600,000:00:20,173477.0,48:11:17
630,000:00:21,173476.0,48:11:16
660,000:00:22,173475.0,48:11:15
690,000:00:23,173474.0,48:11:14
720,000:00:24,173473.0,48:11:13
750,000:00:25,173472.0,48:11:12
780,000:00:26,173471.0,48:11:11
810,000:00:27,173470.0,48:11:10
840,000:00:28,173469.0,48:11:09
870,000:00:29,173468.0,48:11:08
900,000:00:30,173467.0,48:11:07
930,000:00:31,173466.0,48:11:06
960,000:00:32,173465.0,48:11:05
990,000:00:33,173464.0,48:11:04
1020,000:00:34,173463.0,48:11:03
1050,000:00:35,173462.0,48:11:02
1080,000:00:36,173461.0,48:11:01
1110,000:00:37,173460.0,48:11:00
1140,000:00:38,173459.0,48:10:59
1170,000:00:39,173458.0,48:10:58
1200,000:00:40,173457.0,48:10:57
1230,000:00:41,173456.0,48:10:56
1260,000:00:42,173455.0,48:10:55
1290,000:00:43,173454.0,48:10:54
1320,000:00:44,173453.0,48:10:53
1350,000:00:45,173452.0,48:10:52
1380,000:00:46,173451.0,48:10:51
1410,000:00:47,173450.0,48:10:50
1440,000:00:48,173449.0,48:10:49
1470,000:00:49,173448.0,48:10:48
1500,000:00:50,173447.0,48:10:47
1530,000:00:51,173446.0,48:10:46
1560,000:00:52,173445.0,48:10:45
1590,000:00:53,173444.0,48:10:44
1620,000:00:54,173443.0,48:10:43
1650,000:00:55,173452.0,48:10:52
1680,000:00:56,173451.0,48:10:51
1710,000:00:57,173450.0,48:10:50
1740,000:00:58,173449.0,48:10:49
1770,000:00:59,173448.0,48:10:48
1800,000:01:00,173447.0,48:10:47
1830,000:01:01,173446.0,48:10:46
1860,000:01:02,173445.0,48:10:45
1890,000:01:03,173444.0,48:10:44
1920,000:01:04,173443.0,48:10:43
1950,000:01:05,173442.0,48:10:42
1980,000:01:06,173441.0,48:10:41
2010,000:01:07,173440.0,48:10:40
2040,000:01:08,173439.0,48:10:39
2070,000:01:09,173438.0,48:10:38
2100,000:01:10,173437.0,48:10:37
2130,000:01:11,173436.0,48:10:36
2160,000:01:12,173435.0,48:10:35
2190,000:01:13,173434.0,48:10:34
2220,000:01:14,173433.0,48:10:33
2250,000:01:15,173432.0,48:10:32
2280,000:01:16,173431.0,48:10:31
2310,000:01:17,173430.0,48:10:30
2340,000:01:18,173429.0,48:10:29
2370,000:01:19,173428.0,48:10:28
2400,000:01:20,173427.0,48:10:27
2430,000:01:21,173426.0,48:10:26
2460,000:01:22,173425.0,48:10:25
2490,000:01:23,173424.0,48:10:24
2520,000:01:24,173423.0,48:10:23
2550,000:01:25,173422.0,48:10:22
2580,000:01:26,173421.0,48:10:21
2610,000:01:27,173420.0,48:10:20
2640,000:01:28,173419.0,48:10:19
2670,000:01:29,173418.0,48:10:18
2700,000:01:30,173417.0,48:10:17
2730,000:01:31,173416.0,48:10:16
2760,000:01:32,173415.0,48:10:15
2790,000:01:33,173414.0,48:10:14
2820,000:01:34,173413.0,48:10:13
2850,000:01:35,173412.0,48:10:12
2880,000:01:36,173411.0,48:10:11
2910,000:01:37,173410.0,48:10:10
2940,000:01:38,173409.0,48:10:09
2970,000:01:39,173408.0,48:10:08
3000,000:01:40,173407.0,48:10:07
3030,000:01:41,173406.0,48:10:06
3060,000:01:42,173405.0,48:10:05
3090,000:01:43,173404.0,48:10:04
3120,000:01:44,173403.0,48:10:03
3150,000:01:45,173402.0,48:10:02
3180,000:01:46,173401.0,48:10:01
3210,000:01:47,173400.0,48:10:00
3240,000:01:48,173399.0,48:09:59
3270,000:01:49,173398.0,48:09:58
3300,000:01:50,173397.0,48:09:57
3330,000:01:51,173396.0,48:09:56
3360,000:01:52,173395.0,48:09:55
3390,000:01:53,173394.0,48:09:54
3420,000:01:54,173393.0,48:09:53
3450,000:01:55,173392.0,48:09:52
3480,000:01:56,173391.0,48:09:51
3510,000:01:57,173390.0,48:09:50
3540,000:01:58,173389.0,48:09:49
3570,000:01:59,173388.0,48:09:48
3600,000:02:00,173387.0,48:09:47
3630,000:02:01,173386.0,48:09:46
3660,000:02:02,173385.0,48:09:45
3690,000:02:03,173384.0,48:09:44
3720,000:02:04,173383.0,48:09:43
3750,000:02:05,173382.0,48:09:42
3780,000:02:06,173381.0,48:09:41
3810,000:02:07,173380.0,48:09:40
3840,000:02:08,173379.0,48:09:39
3870,000:02:09,173378.0,48:09:38
3900,000:02:10,173377.0,48:09:37
3930,000:02:11,173376.0,48:09:36
3960,000:02:12,173375.0,48:09:35
3990,000:02:13,173374.0,48:09:34
4020,000:02:14,173373.0,48:09:33
4050,000:02:15,173372.0,48:09:32
4080,000:02:16,173371.0,48:09:31
4110,000:02:17,173370.0,48:09:30
4140,000:02:18,173369.0,48:09:29
4170,000:02:19,173368.0,48:09:28
4200,000:02:20,173367.0,48:09:27
4230,000:02:21,173366.0,48:09:26
4260,000:02:22,173365.0,48:09:25
4290,000:02:23,173364.0,48:09:24
4320,000:02:24,173363.0,48:09:23
4350,000:02:25,173362.0,48:09:22
4410,000:02:27,173360.0,48:09:20
4440,000:02:28,173359.0,48:09:19
4470,000:02:29,173358.0,48:09:18
4500,000:02:30,173357.0,48:09:17
4530,000:02:31,173356.0,48:09:16
4560,000:02:32,173355.0,48:09:15
4590,000:02:33,173354.0,48:09:14
4620,000:02:34,173353.0,48:09:13
4650,000:02:35,173352.0,48:09:12
4680,000:02:36,173351.0,48:09:11
4710,000:02:37,173350.0,48:09:10
