frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,160650,44:37:30
60,000:00:02,160649,44:37:29
90,000:00:03,160648,44:37:28
120,000:00:04,160647,44:37:27
150,000:00:05,160646,44:37:26
180,000:00:06,160645,44:37:25
210,000:00:07,160644,44:37:24
240,000:00:08,160643,44:37:23
270,000:00:09,160642,44:37:22
300,000:00:10,160641,44:37:21
330,000:00:11,160640,44:37:20
360,000:00:12,160649,44:37:29
390,000:00:13,160648,44:37:28
420,000:00:14,160647,44:37:27
450,000:00:15,160646,44:37:26
480,000:00:16,160652,44:37:32
510,000:00:17,160654,44:37:34
540,000:00:18,160653,44:37:33
570,000:00:19,160652,44:37:32
600,000:00:20,160651,44:37:31
630,000:00:21,160650,44:37:30
660,000:00:22,160649,44:37:29
690,000:00:23,160648,44:37:28
720,000:00:24,160655,44:37:35
750,000:00:25,160666,44:37:46
780,000:00:26,160665,44:37:45
810,000:00:27,160664,44:37:44
840,000:00:28,160663,44:37:43
870,000:00:29,160662,44:37:42
900,000:00:30,160661,44:37:41
930,000:00:31,160660,44:37:40
960,000:00:32,160659,44:37:39
990,000:00:33,160658,44:37:38
1020,000:00:34,160657,44:37:37
1050,000:00:35,160656,44:37:36
1110,000:00:37,160654,44:37:34
1140,000:00:38,160653,44:37:33
1170,000:00:39,160652,44:37:32
1200,000:00:40,160651,44:37:31
1230,000:00:41,160650,44:37:30
1260,000:00:42,160649,44:37:29
1290,000:00:43,160648,44:37:28
1320,000:00:44,160647,44:37:27
1350,000:00:45,160646,44:37:26
1380,000:00:46,160645,44:37:25
1410,000:00:47,160644,44:37:24
1440,000:00:48,160643,44:37:23
1470,000:00:49,160642,44:37:22
1500,000:00:50,160641,44:37:21
1530,000:00:51,160640,44:37:20
1560,000:00:52,160639,44:37:19
1590,000:00:53,160638,44:37:18
1620,000:00:54,160637,44:37:17
1650,000:00:55,160636,44:37:16
1680,000:00:56,160635,44:37:15
1710,000:00:57,160634,44:37:14
1740,000:00:58,160633,44:37:13
1770,000:00:59,160632,44:37:12
1800,000:01:00,160631,44:37:11
1830,000:01:01,160630,44:37:10
1860,000:01:02,160629,44:37:09
1890,000:01:03,160628,44:37:08
1920,000:01:04,160627,44:37:07
1950,000:01:05,160626,44:37:06
1980,000:01:06,160635,44:37:15
2010,000:01:07,160644,44:37:24
2040,000:01:08,160649,44:37:29
2070,000:01:09,160652,44:37:32
2100,000:01:10,160651,44:37:31
2130,000:01:11,160650,44:37:30
2160,000:01:12,160649,44:37:29
2190,000:01:13,160648,44:37:28
2220,000:01:14,160647,44:37:27
2250,000:01:15,160646,44:37:26
2280,000:01:16,160645,44:37:25
2310,000:01:17,160644,44:37:24
2340,000:01:18,160643,44:37:23
2370,000:01:19,160642,44:37:22
2400,000:01:20,160641,44:37:21
2430,000:01:21,160640,44:37:20
2460,000:01:22,160639,44:37:19
2490,000:01:23,160638,44:37:18
2520,000:01:24,160637,44:37:17
2550,000:01:25,160636,44:37:16
2580,000:01:26,160635,44:37:15
2610,000:01:27,160634,44:37:14
2640,000:01:28,160633,44:37:13
2670,000:01:29,160632,44:37:12
2700,000:01:30,160631,44:37:11
2730,000:01:31,160630,44:37:10
2760,000:01:32,160629,44:37:09
2790,000:01:33,160628,44:37:08
2820,000:01:34,160627,44:37:07
2850,000:01:35,160626,44:37:06
2880,000:01:36,160625,44:37:05
2910,000:01:37,160624,44:37:04
2940,000:01:38,160623,44:37:03
2970,000:01:39,160622,44:37:02
