frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,144814.0,40:13:34
60,000:00:02,144814.0,40:13:34
90,000:00:03,144813.0,40:13:33
120,000:00:04,144812.0,40:13:32
150,000:00:05,144811.0,40:13:31
180,000:00:06,144810.0,40:13:30
210,000:00:07,144809.0,40:13:29
240,000:00:08,144808.0,40:13:28
270,000:00:09,144807.0,40:13:27
300,000:00:10,144806.0,40:13:26
330,000:00:11,144805.0,40:13:25
360,000:00:12,144804.0,40:13:24
390,000:00:13,144803.0,40:13:23
420,000:00:14,144802.0,40:13:22
450,000:00:15,144801.0,40:13:21
480,000:00:16,144800.0,40:13:20
510,000:00:17,144799.0,40:13:19
540,000:00:18,144798.0,40:13:18
570,000:00:19,144797.0,40:13:17
600,000:00:20,144796.0,40:13:16
630,000:00:21,144795.0,40:13:15
660,000:00:22,144794.0,40:13:14
690,000:00:23,144793.0,40:13:13
720,000:00:24,144792.0,40:13:12
750,000:00:25,144791.0,40:13:11
780,000:00:26,144790.0,40:13:10
810,000:00:27,144789.0,40:13:09
840,000:00:28,144798.0,40:13:18
870,000:00:29,144797.0,40:13:17
900,000:00:30,144796.0,40:13:16
930,000:00:31,144795.0,40:13:15
960,000:00:32,144794.0,40:13:14
990,000:00:33,144793.0,40:13:13
1020,000:00:34,144792.0,40:13:12
1050,000:00:35,144791.0,40:13:11
1080,000:00:36,144790.0,40:13:10
1110,000:00:37,144789.0,40:13:09
1140,000:00:38,144788.0,40:13:08
1170,000:00:39,144797.0,40:13:17
1200,000:00:40,144796.0,40:13:16
1230,000:00:41,144795.0,40:13:15
1260,000:00:42,144794.0,40:13:14
1290,000:00:43,144793.0,40:13:13
1320,000:00:44,144792.0,40:13:12
1350,000:00:45,144791.0,40:13:11
1380,000:00:46,144790.0,40:13:10
1410,000:00:47,144789.0,40:13:09
1440,000:00:48,144788.0,40:13:08
1470,000:00:49,144797.0,40:13:17
1500,000:00:50,144796.0,40:13:16
1530,000:00:51,144795.0,40:13:15
1560,000:00:52,144794.0,40:13:14
1590,000:00:53,144793.0,40:13:13
1620,000:00:54,144792.0,40:13:12
1650,000:00:55,144791.0,40:13:11
1680,000:00:56,144800.0,40:13:20
1710,000:00:57,144799.0,40:13:19
1740,000:00:58,144798.0,40:13:18
1770,000:00:59,144797.0,40:13:17
1800,000:01:00,144796.0,40:13:16
1830,000:01:01,144795.0,40:13:15
1860,000:01:02,144794.0,40:13:14
1890,000:01:03,144793.0,40:13:13
1920,000:01:04,144824.0,40:13:44
1950,000:01:05,144891.0,40:14:51
2040,000:01:08,144888.0,40:14:48
2070,000:01:09,144887.0,40:14:47
2100,000:01:10,144886.0,40:14:46
2130,000:01:11,144885.0,40:14:45
2160,000:01:12,144884.0,40:14:44
2190,000:01:13,144883.0,40:14:43
2220,000:01:14,144882.0,40:14:42
2250,000:01:15,144881.0,40:14:41
2370,000:01:19,144877.0,40:14:37
2400,000:01:20,144876.0,40:14:36
2430,000:01:21,144875.0,40:14:35
2460,000:01:22,144874.0,40:14:34
2490,000:01:23,144873.0,40:14:33
2520,000:01:24,144872.0,40:14:32
2550,000:01:25,144871.0,40:14:31
2580,000:01:26,144870.0,40:14:30
2610,000:01:27,144869.0,40:14:29
2640,000:01:28,144868.0,40:14:28
2670,000:01:29,144877.0,40:14:37
2730,000:01:31,144875.0,40:14:35
2760,000:01:32,144874.0,40:14:34
2790,000:01:33,144873.0,40:14:33
2820,000:01:34,144872.0,40:14:32
2850,000:01:35,144871.0,40:14:31
2880,000:01:36,144870.0,40:14:30
2970,000:01:39,144867.0,40:14:27
3000,000:01:40,144866.0,40:14:26
3030,000:01:41,144865.0,40:14:25
3060,000:01:42,144864.0,40:14:24
3090,000:01:43,144863.0,40:14:23
3120,000:01:44,144862.0,40:14:22
3150,000:01:45,144861.0,40:14:21
3180,000:01:46,144860.0,40:14:20
3210,000:01:47,144859.0,40:14:19
3240,000:01:48,144858.0,40:14:18
3300,000:01:50,144856.0,40:14:16
3330,000:01:51,144855.0,40:14:15
3360,000:01:52,144854.0,40:14:14
