frame,video_timestamp,timer_value,timer_timestamp
240,000:00:08,111303.0,30:55:03
540,000:00:18,111293.0,30:54:53
570,000:00:19,111292.0,30:54:52
720,000:00:24,111297.0,30:54:57
960,000:00:32,111299.0,30:54:59
1050,000:00:35,111296.0,30:54:56
1110,000:00:37,111304.0,30:55:04
1350,000:00:45,111296.0,30:54:56
1410,000:00:47,111294.0,30:54:54
1680,000:00:56,111295.0,30:54:55
2670,000:01:29,111292.0,30:54:52
2700,000:01:30,111291.0,30:54:51
2730,000:01:31,111290.0,30:54:50
2880,000:01:36,111285.0,30:54:45
3570,000:01:59,111262.0,30:54:22
3690,000:02:03,111258.0,30:54:18
3720,000:02:04,111257.0,30:54:17
3750,000:02:05,111256.0,30:54:16
3780,000:02:06,111255.0,30:54:15
3810,000:02:07,111254.0,30:54:14
3870,000:02:09,111252.0,30:54:12
3900,000:02:10,111251.0,30:54:11
4080,000:02:16,111255.0,30:54:15
4110,000:02:17,111254.0,30:54:14
4140,000:02:18,111253.0,30:54:13
4170,000:02:19,111252.0,30:54:12
4200,000:02:20,111251.0,30:54:11
4230,000:02:21,111250.0,30:54:10
4260,000:02:22,111249.0,30:54:09
4470,000:02:29,111252.0,30:54:12
4530,000:02:31,111250.0,30:54:10
4770,000:02:39,111252.0,30:54:12
5100,000:02:50,111241.0,30:54:01
5160,000:02:52,111239.0,30:53:59
5280,000:02:56,111235.0,30:53:55
5310,000:02:57,111234.0,30:53:54
5340,000:02:58,111233.0,30:53:53
5370,000:02:59,111232.0,30:53:52
5400,000:03:00,111231.0,30:53:51
5430,000:03:01,111230.0,30:53:50
5640,000:03:08,111230.0,30:53:50
5730,000:03:11,111240.0,30:54:00
5790,000:03:13,111238.0,30:53:58
5970,000:03:19,111232.0,30:53:52
6030,000:03:21,111230.0,30:53:50
6090,000:03:23,111228.0,30:53:48
6210,000:03:27,111301.0,30:55:01
6270,000:03:29,111312.0,30:55:12
6510,000:03:37,111314.0,30:55:14
6750,000:03:45,111306.0,30:55:06
6840,000:03:48,111303.0,30:55:03
6900,000:03:50,111301.0,30:55:01
6960,000:03:52,111299.0,30:54:59
7110,000:03:57,111294.0,30:54:54
7140,000:03:58,111293.0,30:54:53
7320,000:04:04,111287.0,30:54:47
7380,000:04:06,111285.0,30:54:45
7410,000:04:07,111284.0,30:54:44
7440,000:04:08,111293.0,30:54:53
7650,000:04:15,111286.0,30:54:46
7770,000:04:19,111282.0,30:54:42
7800,000:04:20,111281.0,30:54:41
7890,000:04:23,111278.0,30:54:38
8040,000:04:28,111283.0,30:54:43
8070,000:04:29,111282.0,30:54:42
8160,000:04:32,111289.0,30:54:49
8250,000:04:35,111286.0,30:54:46
8310,000:04:37,111294.0,30:54:54
8400,000:04:40,111291.0,30:54:51
8460,000:04:42,111289.0,30:54:49
8490,000:04:43,111288.0,30:54:48
8520,000:04:44,111287.0,30:54:47
8550,000:04:45,111286.0,30:54:46
8580,000:04:46,111285.0,30:54:45
8730,000:04:51,111280.0,30:54:40
8790,000:04:53,111278.0,30:54:38
8880,000:04:56,111275.0,30:54:35
8940,000:04:58,111273.0,30:54:33
9030,000:05:01,111270.0,30:54:30
9060,000:05:02,111269.0,30:54:29
9120,000:05:04,111267.0,30:54:27
9210,000:05:07,111264.0,30:54:24
9240,000:05:08,111263.0,30:54:23
9270,000:05:09,111262.0,30:54:22
9300,000:05:10,111261.0,30:54:21
9420,000:05:14,111257.0,30:54:17
9450,000:05:15,111256.0,30:54:16
9540,000:05:18,111253.0,30:54:13
9600,000:05:20,111251.0,30:54:11
9750,000:05:25,111246.0,30:54:06
9900,000:05:30,111241.0,30:54:01
9960,000:05:32,111239.0,30:53:59
9990,000:05:33,111238.0,30:53:58
10020,000:05:34,111237.0,30:53:57
10110,000:05:37,111234.0,30:53:54
10170,000:05:39,111232.0,30:53:52
10230,000:05:41,111230.0,30:53:50
10260,000:05:42,111229.0,30:53:49
10290,000:05:43,111228.0,30:53:48
10440,000:05:48,111223.0,30:53:43
10530,000:05:51,111220.0,30:53:40
10560,000:05:52,111219.0,30:53:39
10590,000:05:53,111218.0,30:53:38
10620,000:05:54,111217.0,30:53:37
10680,000:05:56,111215.0,30:53:35
10740,000:05:58,111223.0,30:53:43
10800,000:06:00,111221.0,30:53:41
10830,000:06:01,111230.0,30:53:50
10890,000:06:03,111228.0,30:53:48
10920,000:06:04,111227.0,30:53:47
10950,000:06:05,111226.0,30:53:46
11130,000:06:11,111220.0,30:53:40
11160,000:06:12,111219.0,30:53:39
11190,000:06:13,111218.0,30:53:38
11220,000:06:14,111217.0,30:53:37
11310,000:06:17,111214.0,30:53:34
11670,000:06:29,111212.0,30:53:32
11700,000:06:30,111211.0,30:53:31
11880,000:06:36,111215.0,30:53:35
11910,000:06:37,111214.0,30:53:34
11940,000:06:38,111213.0,30:53:33
12180,000:06:46,111215.0,30:53:35
12480,000:06:56,111215.0,30:53:35
12510,000:06:57,111214.0,30:53:34
12780,000:07:06,111205.0,30:53:25
13560,000:07:32,111189.0,30:53:09
13620,000:07:34,111187.0,30:53:07
13650,000:07:35,111186.0,30:53:06
14550,000:08:05,111166.0,30:52:46
14640,000:08:08,111163.0,30:52:43
14670,000:08:09,111162.0,30:52:42
14880,000:08:16,111155.0,30:52:35
15270,000:08:29,111152.0,30:52:32
15300,000:08:30,111151.0,30:52:31
15630,000:08:41,111150.0,30:52:30
15690,000:08:43,111148.0,30:52:28
15750,000:08:45,111146.0,30:52:26
15810,000:08:47,111144.0,30:52:24
15960,000:08:52,111149.0,30:52:29
15990,000:08:53,111148.0,30:52:28
16230,000:09:01,111150.0,30:52:30
16800,000:09:20,111141.0,30:52:21
16860,000:09:22,111149.0,30:52:29
16890,000:09:23,111148.0,30:52:28
16920,000:09:24,111147.0,30:52:27
16980,000:09:26,111145.0,30:52:25
17190,000:09:33,111148.0,30:52:28
17250,000:09:35,111146.0,30:52:26
17340,000:09:38,111143.0,30:52:23
17430,000:09:41,111140.0,30:52:20
17490,000:09:43,111138.0,30:52:18
17520,000:09:44,111137.0,30:52:17
17610,000:09:47,111134.0,30:52:14
17700,000:09:50,111141.0,30:52:21
17850,000:09:55,111136.0,30:52:16
17910,000:09:57,111134.0,30:52:14
17970,000:09:59,111142.0,30:52:22
18000,000:10:00,111141.0,30:52:21
18060,000:10:02,111149.0,30:52:29
18150,000:10:05,111146.0,30:52:26
18210,000:10:07,111144.0,30:52:24
18240,000:10:08,111143.0,30:52:23
18300,000:10:10,111141.0,30:52:21
18330,000:10:11,111140.0,30:52:20
18420,000:10:14,111137.0,30:52:17
18480,000:10:16,111135.0,30:52:15
18540,000:10:18,111133.0,30:52:13
18600,000:10:20,111131.0,30:52:11
18660,000:10:22,111129.0,30:52:09
18750,000:10:25,111136.0,30:52:16
18780,000:10:26,111135.0,30:52:15
18840,000:10:28,111133.0,30:52:13
18930,000:10:31,111140.0,30:52:20
18960,000:10:32,111139.0,30:52:19
18990,000:10:33,111138.0,30:52:18
19080,000:10:36,111135.0,30:52:15
19170,000:10:39,111132.0,30:52:12
19440,000:10:48,111123.0,30:52:03
19530,000:10:51,111130.0,30:52:10
19560,000:10:52,111129.0,30:52:09
19590,000:10:53,111135.0,30:52:15
19650,000:10:55,111136.0,30:52:16
19710,000:10:57,111134.0,30:52:14
19860,000:11:02,111129.0,30:52:09
19890,000:11:03,111128.0,30:52:08
19920,000:11:04,111127.0,30:52:07
20010,000:11:07,111128.0,30:52:08
20130,000:11:11,111170.0,30:52:50
20220,000:11:14,111167.0,30:52:47
20250,000:11:15,111166.0,30:52:46
20400,000:11:20,111161.0,30:52:41
20430,000:11:21,111160.0,30:52:40
20460,000:11:22,111159.0,30:52:39
20520,000:11:24,111157.0,30:52:37
20550,000:11:25,111156.0,30:52:36
20610,000:11:27,111154.0,30:52:34
20790,000:11:33,111148.0,30:52:28
21090,000:11:43,111138.0,30:52:18
21150,000:11:45,111136.0,30:52:16
21300,000:11:50,111141.0,30:52:21
21690,000:12:03,111178.0,30:52:58
21720,000:12:04,111187.0,30:53:07
22200,000:12:20,111181.0,30:53:01
