frame,video_timestamp,timer_value,timer_timestamp
2338,000:01:18,122498,34:01:38
2368,000:01:19,122519,34:01:59
2398,000:01:20,122518,34:01:58
2428,000:01:21,122517,34:01:57
2458,000:01:22,122516,34:01:56
2488,000:01:23,122515,34:01:55
2518,000:01:24,122514,34:01:54
2548,000:01:25,122513,34:01:53
2578,000:01:26,122512,34:01:52
2608,000:01:27,122511,34:01:51
2638,000:01:28,122510,34:01:50
2668,000:01:29,122509,34:01:49
2698,000:01:30,122534,34:02:14
2728,000:01:31,122638,34:03:58
2758,000:01:32,122656,34:04:16
2788,000:01:33,122655,34:04:15
2818,000:01:34,122654,34:04:14
2848,000:01:35,122653,34:04:13
2878,000:01:36,122652,34:04:12
2908,000:01:37,122651,34:04:11
3027,000:01:41,122647,34:04:07
3057,000:01:42,122646,34:04:06
3087,000:01:43,122645,34:04:05
3147,000:01:45,122643,34:04:03
3177,000:01:46,122642,34:04:02
3207,000:01:47,122641,34:04:01
3237,000:01:48,122640,34:04:00
3267,000:01:49,122639,34:03:59
3297,000:01:50,122638,34:03:58
3327,000:01:51,122637,34:03:57
3357,000:01:52,122636,34:03:56
3387,000:01:53,122635,34:03:55
3417,000:01:54,122634,34:03:54
3447,000:01:55,122633,34:03:53
3477,000:01:56,122632,34:03:52
3507,000:01:57,122631,34:03:51
3537,000:01:58,122630,34:03:50
3567,000:01:59,122629,34:03:49
3597,000:02:00,122628,34:03:48
3627,000:02:01,122640,34:04:00
3657,000:02:02,122676,34:04:36
3687,000:02:03,122675,34:04:35
3717,000:02:04,122674,34:04:34
3747,000:02:05,122673,34:04:33
3777,000:02:06,122672,34:04:32
3807,000:02:07,122671,34:04:31
3837,000:02:08,122670,34:04:30
3867,000:02:09,122669,34:04:29
3897,000:02:10,122668,34:04:28
3927,000:02:11,122667,34:04:27
3957,000:02:12,122666,34:04:26
3987,000:02:13,122665,34:04:25
4016,000:02:14,122664,34:04:24
4046,000:02:15,122663,34:04:23
4076,000:02:16,122662,34:04:22
4106,000:02:17,122661,34:04:21
4136,000:02:18,122660,34:04:20
4166,000:02:19,122659,34:04:19
4196,000:02:20,122658,34:04:18
4226,000:02:21,122657,34:04:17
4256,000:02:22,122656,34:04:16
4286,000:02:23,122655,34:04:15
4316,000:02:24,122654,34:04:14
4346,000:02:25,122653,34:04:13
4376,000:02:26,122652,34:04:12
4436,000:02:28,122650,34:04:10
4466,000:02:29,122649,34:04:09
4496,000:02:30,122648,34:04:08
4526,000:02:31,122647,34:04:07
4556,000:02:32,122646,34:04:06
4586,000:02:33,122645,34:04:05
4646,000:02:35,122643,34:04:03
4676,000:02:36,122642,34:04:02
4706,000:02:37,122641,34:04:01
4736,000:02:38,122640,34:04:00
4766,000:02:39,122639,34:03:59
4796,000:02:40,122638,34:03:58
4826,000:02:41,122637,34:03:57
4856,000:02:42,122636,34:03:56
4886,000:02:43,122635,34:03:55
4916,000:02:44,122634,34:03:54
4946,000:02:45,122633,34:03:53
4976,000:02:46,122632,34:03:52
5005,000:02:47,122631,34:03:51
5035,000:02:48,122630,34:03:50
5065,000:02:49,122629,34:03:49
5095,000:02:50,122628,34:03:48
5125,000:02:51,122627,34:03:47
5155,000:02:52,122626,34:03:46
5185,000:02:53,122625,34:03:45
5245,000:02:55,122623,34:03:43
5425,000:03:01,122617,34:03:37
5455,000:03:02,122616,34:03:36
5485,000:03:03,122615,34:03:35
5515,000:03:04,122614,34:03:34
5545,000:03:05,122613,34:03:33
5575,000:03:06,122612,34:03:32
5605,000:03:07,122611,34:03:31
5635,000:03:08,122610,34:03:30
5665,000:03:09,122609,34:03:29
5695,000:03:10,122608,34:03:28
5725,000:03:11,122607,34:03:27
5755,000:03:12,122606,34:03:26
5785,000:03:13,122605,34:03:25
5815,000:03:14,122604,34:03:24
5845,000:03:15,122603,34:03:23
5875,000:03:16,122602,34:03:22
5905,000:03:17,122601,34:03:21
5935,000:03:18,122600,34:03:20
5965,000:03:19,122599,34:03:19
5994,000:03:20,122598,34:03:18
6024,000:03:21,122597,34:03:17
6054,000:03:22,122596,34:03:16
6084,000:03:23,122595,34:03:15
6114,000:03:24,122594,34:03:14
6144,000:03:25,122593,34:03:13
6174,000:03:26,122592,34:03:12
6204,000:03:27,122591,34:03:11
6234,000:03:28,122590,34:03:10
6264,000:03:29,122589,34:03:09
6294,000:03:30,122588,34:03:08
6324,000:03:31,122587,34:03:07
6354,000:03:32,122586,34:03:06
6384,000:03:33,122585,34:03:05
6414,000:03:34,122584,34:03:04
6444,000:03:35,122583,34:03:03
6474,000:03:36,122582,34:03:02
6504,000:03:37,122581,34:03:01
6534,000:03:38,122580,34:03:00
6564,000:03:39,122579,34:02:59
6594,000:03:40,122578,34:02:58
6624,000:03:41,122577,34:02:57
6654,000:03:42,122576,34:02:56
6684,000:03:43,122575,34:02:55
6714,000:03:44,122574,34:02:54
6744,000:03:45,122573,34:02:53
6774,000:03:46,122572,34:02:52
6804,000:03:47,122571,34:02:51
6834,000:03:48,122570,34:02:50
6864,000:03:49,122569,34:02:49
6894,000:03:50,122568,34:02:48
6924,000:03:51,122567,34:02:47
6954,000:03:52,122566,34:02:46
6984,000:03:53,122565,34:02:45
7043,000:03:55,122563,34:02:43
7073,000:03:56,122562,34:02:42
7103,000:03:57,122561,34:02:41
7133,000:03:58,122560,34:02:40
7163,000:03:59,122559,34:02:39
7193,000:04:00,122558,34:02:38
7223,000:04:01,122557,34:02:37
7253,000:04:02,122556,34:02:36
7283,000:04:03,122555,34:02:35
7313,000:04:04,122554,34:02:34
7343,000:04:05,122553,34:02:33
7373,000:04:06,122552,34:02:32
7403,000:04:07,122551,34:02:31
7433,000:04:08,122550,34:02:30
7463,000:04:09,122549,34:02:29
7493,000:04:10,122548,34:02:28
7523,000:04:11,122547,34:02:27
7553,000:04:12,122546,34:02:26
7583,000:04:13,122545,34:02:25
7613,000:04:14,122544,34:02:24
7643,000:04:15,122543,34:02:23
7672,000:04:15,122542,34:02:22
7703,000:04:17,122541,34:02:21
7733,000:04:18,122540,34:02:20
7763,000:04:19,122539,34:02:19
7792,000:04:19,122538,34:02:18
7823,000:04:21,122537,34:02:17
7853,000:04:22,122536,34:02:16
7883,000:04:23,122535,34:02:15
7912,000:04:23,122534,34:02:14
7943,000:04:25,122533,34:02:13
7973,000:04:26,122532,34:02:12
8002,000:04:27,122531,34:02:11
8032,000:04:28,122530,34:02:10
8061,000:04:28,122529,34:02:09
8092,000:04:30,122528,34:02:08
8122,000:04:31,122536,34:02:16
8152,000:04:32,122536,34:02:16
8182,000:04:33,122535,34:02:15
8212,000:04:34,122534,34:02:14
8242,000:04:35,122533,34:02:13
8272,000:04:36,122532,34:02:12
8302,000:04:37,122531,34:02:11
8332,000:04:38,122530,34:02:10
8362,000:04:39,122529,34:02:09
8392,000:04:40,122528,34:02:08
8422,000:04:41,122527,34:02:07
8452,000:04:42,122526,34:02:06
8482,000:04:43,122525,34:02:05
8512,000:04:44,122524,34:02:04
8542,000:04:45,122523,34:02:03
