frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,65623,18:13:43
60,000:00:02,65622,18:13:42
90,000:00:03,65621,18:13:41
120,000:00:04,65620,18:13:40
150,000:00:05,65619,18:13:39
180,000:00:06,65618,18:13:38
210,000:00:07,65617,18:13:37
240,000:00:08,65616,18:13:36
270,000:00:09,65615,18:13:35
300,000:00:10,65614,18:13:34
330,000:00:11,65613,18:13:33
360,000:00:12,65612,18:13:32
390,000:00:13,65611,18:13:31
420,000:00:14,65610,18:13:30
450,000:00:15,65609,18:13:29
480,000:00:16,65608,18:13:28
510,000:00:17,65607,18:13:27
540,000:00:18,65606,18:13:26
570,000:00:19,65605,18:13:25
600,000:00:20,65604,18:13:24
630,000:00:21,65603,18:13:23
660,000:00:22,65602,18:13:22
690,000:00:23,65601,18:13:21
720,000:00:24,65600,18:13:20
750,000:00:25,65609,18:13:29
780,000:00:26,65608,18:13:28
810,000:00:27,65617,18:13:37
840,000:00:28,65616,18:13:36
870,000:00:29,65615,18:13:35
900,000:00:30,65614,18:13:34
930,000:00:31,65623,18:13:43
960,000:00:32,65622,18:13:42
990,000:00:33,65621,18:13:41
1020,000:00:34,65620,18:13:40
1050,000:00:35,65619,18:13:39
1080,000:00:36,65618,18:13:38
1110,000:00:37,65617,18:13:37
1140,000:00:38,65616,18:13:36
1170,000:00:39,65615,18:13:35
1200,000:00:40,65614,18:13:34
1230,000:00:41,65613,18:13:33
1260,000:00:42,65612,18:13:32
1290,000:00:43,65611,18:13:31
1320,000:00:44,65610,18:13:30
1350,000:00:45,65609,18:13:29
1380,000:00:46,65608,18:13:28
1410,000:00:47,65607,18:13:27
1440,000:00:48,65606,18:13:26
1470,000:00:49,65605,18:13:25
1500,000:00:50,65613,18:13:33
1530,000:00:51,65613,18:13:33
1560,000:00:52,65612,18:13:32
1590,000:00:53,65611,18:13:31
1620,000:00:54,65610,18:13:30
1650,000:00:55,65609,18:13:29
1680,000:00:56,65608,18:13:28
1710,000:00:57,65607,18:13:27
1740,000:00:58,65606,18:13:26
1770,000:00:59,65605,18:13:25
1800,000:01:00,65604,18:13:24
1830,000:01:01,65603,18:13:23
1860,000:01:02,65602,18:13:22
1890,000:01:03,65601,18:13:21
1920,000:01:04,65600,18:13:20
1950,000:01:05,65599,18:13:19
1980,000:01:06,65598,18:13:18
2010,000:01:07,65597,18:13:17
2040,000:01:08,65596,18:13:16
2070,000:01:09,65595,18:13:15
2100,000:01:10,65594,18:13:14
2130,000:01:11,65593,18:13:13
2160,000:01:12,65592,18:13:12
2190,000:01:13,65591,18:13:11
2220,000:01:14,65590,18:13:10
2250,000:01:15,65589,18:13:09
2280,000:01:16,65588,18:13:08
2310,000:01:17,65587,18:13:07
2340,000:01:18,65586,18:13:06
2430,000:01:21,65590,18:13:10
2460,000:01:22,65592,18:13:12
2490,000:01:23,65591,18:13:11
2520,000:01:24,65590,18:13:10
2550,000:01:25,65589,18:13:09
2580,000:01:26,65588,18:13:08
2610,000:01:27,65587,18:13:07
2640,000:01:28,65586,18:13:06
2670,000:01:29,65585,18:13:05
2700,000:01:30,65584,18:13:04
2730,000:01:31,65583,18:13:03
2760,000:01:32,65582,18:13:02
2790,000:01:33,65581,18:13:01
2820,000:01:34,65580,18:13:00
2850,000:01:35,65579,18:12:59
2880,000:01:36,65578,18:12:58
2910,000:01:37,65577,18:12:57
2940,000:01:38,65576,18:12:56
2970,000:01:39,65575,18:12:55
3000,000:01:40,65574,18:12:54
3030,000:01:41,65573,18:12:53
3060,000:01:42,65572,18:12:52
3090,000:01:43,65571,18:12:51
3120,000:01:44,65570,18:12:50
3150,000:01:45,65569,18:12:49
3180,000:01:46,65568,18:12:48
3210,000:01:47,65567,18:12:47
3240,000:01:48,65566,18:12:46
3270,000:01:49,65565,18:12:45
3300,000:01:50,65564,18:12:44
3330,000:01:51,65563,18:12:43
3360,000:01:52,65562,18:12:42
3390,000:01:53,65561,18:12:41
3420,000:01:54,65560,18:12:40
3450,000:01:55,65559,18:12:39
3480,000:01:56,65558,18:12:38
3510,000:01:57,65557,18:12:37
3540,000:01:58,65556,18:12:36
3570,000:01:59,65555,18:12:35
3600,000:02:00,65554,18:12:34
3630,000:02:01,65553,18:12:33
3660,000:02:02,65552,18:12:32
3690,000:02:03,65551,18:12:31
3720,000:02:04,65550,18:12:30
3750,000:02:05,65549,18:12:29
3780,000:02:06,65548,18:12:28
3810,000:02:07,65547,18:12:27
3840,000:02:08,65546,18:12:26
3870,000:02:09,65545,18:12:25
3900,000:02:10,65544,18:12:24
3930,000:02:11,65543,18:12:23
4020,000:02:14,65540,18:12:20
4050,000:02:15,65539,18:12:19
4080,000:02:16,65538,18:12:18
4110,000:02:17,65537,18:12:17
4140,000:02:18,65536,18:12:16
4170,000:02:19,65535,18:12:15
4200,000:02:20,65534,18:12:14
4230,000:02:21,65533,18:12:13
4260,000:02:22,65532,18:12:12
4290,000:02:23,65531,18:12:11
4320,000:02:24,65530,18:12:10
4350,000:02:25,65529,18:12:09
4380,000:02:26,65528,18:12:08
4410,000:02:27,65527,18:12:07
4440,000:02:28,65526,18:12:06
4470,000:02:29,65525,18:12:05
4500,000:02:30,65524,18:12:04
4530,000:02:31,65523,18:12:03
4560,000:02:32,65522,18:12:02
4590,000:02:33,65521,18:12:01
4620,000:02:34,65520,18:12:00
4650,000:02:35,65519,18:11:59
4680,000:02:36,65518,18:11:58
4710,000:02:37,65517,18:11:57
4740,000:02:38,65516,18:11:56
4770,000:02:39,65515,18:11:55
4800,000:02:40,65514,18:11:54
4830,000:02:41,65513,18:11:53
4860,000:02:42,65512,18:11:52
4890,000:02:43,65511,18:11:51
4920,000:02:44,65510,18:11:50
4950,000:02:45,65521,18:12:01
4980,000:02:46,65528,18:12:08
5010,000:02:47,65527,18:12:07
5040,000:02:48,65526,18:12:06
5070,000:02:49,65525,18:12:05
5100,000:02:50,65524,18:12:04
5130,000:02:51,65523,18:12:03
5160,000:02:52,65522,18:12:02
5190,000:02:53,65521,18:12:01
5220,000:02:54,65520,18:12:00
5250,000:02:55,65519,18:11:59
5280,000:02:56,65518,18:11:58
5310,000:02:57,65517,18:11:57
5340,000:02:58,65516,18:11:56
5370,000:02:59,65515,18:11:55
5400,000:03:00,65514,18:11:54
5430,000:03:01,65513,18:11:53
5460,000:03:02,65512,18:11:52
5490,000:03:03,65511,18:11:51
5520,000:03:04,65510,18:11:50
5550,000:03:05,65509,18:11:49
5580,000:03:06,65508,18:11:48
5610,000:03:07,65507,18:11:47
5640,000:03:08,65506,18:11:46
5670,000:03:09,65505,18:11:45
5700,000:03:10,65504,18:11:44
5730,000:03:11,65503,18:11:43
5760,000:03:12,65502,18:11:42
5790,000:03:13,65501,18:11:41
5820,000:03:14,65500,18:11:40
5850,000:03:15,65499,18:11:39
5880,000:03:16,65498,18:11:38
5910,000:03:17,65497,18:11:37
5940,000:03:18,65496,18:11:36
5970,000:03:19,65505,18:11:45
6000,000:03:20,65504,18:11:44
6030,000:03:21,65503,18:11:43
6060,000:03:22,65502,18:11:42
6090,000:03:23,65501,18:11:41
6120,000:03:24,65500,18:11:40
6150,000:03:25,65499,18:11:39
6180,000:03:26,65498,18:11:38
6210,000:03:27,65497,18:11:37
6240,000:03:28,65496,18:11:36
6270,000:03:29,65495,18:11:35
6300,000:03:30,65494,18:11:34
6330,000:03:31,65493,18:11:33
6360,000:03:32,65492,18:11:32
6390,000:03:33,65491,18:11:31
6420,000:03:34,65490,18:11:30
6450,000:03:35,65489,18:11:29
6480,000:03:36,65488,18:11:28
6510,000:03:37,65487,18:11:27
6540,000:03:38,65486,18:11:26
6570,000:03:39,65485,18:11:25
6600,000:03:40,65484,18:11:24
6630,000:03:41,65483,18:11:23
6660,000:03:42,65482,18:11:22
6690,000:03:43,65481,18:11:21
6720,000:03:44,65480,18:11:20
6750,000:03:45,65479,18:11:19
6780,000:03:46,65478,18:11:18
6810,000:03:47,65477,18:11:17
6840,000:03:48,65476,18:11:16
6870,000:03:49,65475,18:11:15
6990,000:03:53,65471,18:11:11
7020,000:03:54,65470,18:11:10
7050,000:03:55,65469,18:11:09
7080,000:03:56,65468,18:11:08
7110,000:03:57,65477,18:11:17
7140,000:03:58,65476,18:11:16
7170,000:03:59,65475,18:11:15
7200,000:04:00,65474,18:11:14
7230,000:04:01,65473,18:11:13
7260,000:04:02,65472,18:11:12
7290,000:04:03,65471,18:11:11
7320,000:04:04,65470,18:11:10
7350,000:04:05,65469,18:11:09
7380,000:04:06,65468,18:11:08
7410,000:04:07,65467,18:11:07
7440,000:04:08,65466,18:11:06
7530,000:04:11,65463,18:11:03
7560,000:04:12,65462,18:11:02
7590,000:04:13,65461,18:11:01
7620,000:04:14,65460,18:11:00
7650,000:04:15,65459,18:10:59
7680,000:04:16,65458,18:10:58
7710,000:04:17,65457,18:10:57
7740,000:04:18,65456,18:10:56
7770,000:04:19,65455,18:10:55
7800,000:04:20,65454,18:10:54
7830,000:04:21,65453,18:10:53
7860,000:04:22,65452,18:10:52
7890,000:04:23,65451,18:10:51
7920,000:04:24,65450,18:10:50
7950,000:04:25,65449,18:10:49
7980,000:04:26,65448,18:10:48
8010,000:04:27,65447,18:10:47
8040,000:04:28,65446,18:10:46
8070,000:04:29,65445,18:10:45
8100,000:04:30,65444,18:10:44
8130,000:04:31,65443,18:10:43
8160,000:04:32,65442,18:10:42
8190,000:04:33,65441,18:10:41
8220,000:04:34,65440,18:10:40
8250,000:04:35,65439,18:10:39
8280,000:04:36,65438,18:10:38
8310,000:04:37,65437,18:10:37
8340,000:04:38,65436,18:10:36
8370,000:04:39,65435,18:10:35
8400,000:04:40,65434,18:10:34
8430,000:04:41,65433,18:10:33
8460,000:04:42,65432,18:10:32
8490,000:04:43,65431,18:10:31
8520,000:04:44,65430,18:10:30
8550,000:04:45,65429,18:10:29
8580,000:04:46,65428,18:10:28
8610,000:04:47,65427,18:10:27
8640,000:04:48,65426,18:10:26
8670,000:04:49,65425,18:10:25
8700,000:04:50,65424,18:10:24
8730,000:04:51,65423,18:10:23
8760,000:04:52,65422,18:10:22
8790,000:04:53,65421,18:10:21
8820,000:04:54,65420,18:10:20
8850,000:04:55,65419,18:10:19
8880,000:04:56,65418,18:10:18
8910,000:04:57,65417,18:10:17
8940,000:04:58,65416,18:10:16
8970,000:04:59,65415,18:10:15
9000,000:05:00,65414,18:10:14
9030,000:05:01,65418,18:10:18
9060,000:05:02,65422,18:10:22
9090,000:05:03,65421,18:10:21
9120,000:05:04,65420,18:10:20
9150,000:05:05,65424,18:10:24
9180,000:05:06,65428,18:10:28
9210,000:05:07,65427,18:10:27
9240,000:05:08,65426,18:10:26
9270,000:05:09,65425,18:10:25
9300,000:05:10,65424,18:10:24
9330,000:05:11,65423,18:10:23
9360,000:05:12,65422,18:10:22
9390,000:05:13,65421,18:10:21
9420,000:05:14,65420,18:10:20
9450,000:05:15,65419,18:10:19
9480,000:05:16,65418,18:10:18
9510,000:05:17,65417,18:10:17
9540,000:05:18,65416,18:10:16
9570,000:05:19,65415,18:10:15
9600,000:05:20,65414,18:10:14
9630,000:05:21,65413,18:10:13
9660,000:05:22,65412,18:10:12
9690,000:05:23,65411,18:10:11
9720,000:05:24,65410,18:10:10
9750,000:05:25,65409,18:10:09
9780,000:05:26,65408,18:10:08
9810,000:05:27,65407,18:10:07
9840,000:05:28,65406,18:10:06
9870,000:05:29,65405,18:10:05
9900,000:05:30,65412,18:10:12
9930,000:05:31,65413,18:10:13
9960,000:05:32,65422,18:10:22
9990,000:05:33,65421,18:10:21
10020,000:05:34,65420,18:10:20
10050,000:05:35,65419,18:10:19
10080,000:05:36,65418,18:10:18
10110,000:05:37,65417,18:10:17
10140,000:05:38,65416,18:10:16
10170,000:05:39,65415,18:10:15
10200,000:05:40,65414,18:10:14
10230,000:05:41,65413,18:10:13
10260,000:05:42,65412,18:10:12
10290,000:05:43,65411,18:10:11
10320,000:05:44,65410,18:10:10
10350,000:05:45,65409,18:10:09
10380,000:05:46,65411,18:10:11
10410,000:05:47,65417,18:10:17
10440,000:05:48,65416,18:10:16
10470,000:05:49,65415,18:10:15
10500,000:05:50,65414,18:10:14
10530,000:05:51,65413,18:10:13
10560,000:05:52,65412,18:10:12
10590,000:05:53,65411,18:10:11
10620,000:05:54,65410,18:10:10
10650,000:05:55,65409,18:10:09
10680,000:05:56,65408,18:10:08
10710,000:05:57,65407,18:10:07
10740,000:05:58,65406,18:10:06
10770,000:05:59,65405,18:10:05
10800,000:06:00,65404,18:10:04
10830,000:06:01,65403,18:10:03
10860,000:06:02,65402,18:10:02
10890,000:06:03,65401,18:10:01
10920,000:06:04,65400,18:10:00
10950,000:06:05,65399,18:09:59
10980,000:06:06,65398,18:09:58
11010,000:06:07,65397,18:09:57
11040,000:06:08,65396,18:09:56
11070,000:06:09,65395,18:09:55
11100,000:06:10,65394,18:09:54
11130,000:06:11,65393,18:09:53
11160,000:06:12,65392,18:09:52
11190,000:06:13,65391,18:09:51
11220,000:06:14,65390,18:09:50
11250,000:06:15,65389,18:09:49
11280,000:06:16,65388,18:09:48
11310,000:06:17,65387,18:09:47
11340,000:06:18,65386,18:09:46
11370,000:06:19,65385,18:09:45
11400,000:06:20,65384,18:09:44
11430,000:06:21,65383,18:09:43
11460,000:06:22,65382,18:09:42
11490,000:06:23,65381,18:09:41
11520,000:06:24,65380,18:09:40
11550,000:06:25,65379,18:09:39
11580,000:06:26,65378,18:09:38
11610,000:06:27,65377,18:09:37
11640,000:06:28,65376,18:09:36
11670,000:06:29,65375,18:09:35
11700,000:06:30,65374,18:09:34
11730,000:06:31,65373,18:09:33
11760,000:06:32,65372,18:09:32
11790,000:06:33,65371,18:09:31
11820,000:06:34,65370,18:09:30
11850,000:06:35,65369,18:09:29
11880,000:06:36,65378,18:09:38
11910,000:06:37,65377,18:09:37
11940,000:06:38,65376,18:09:36
11970,000:06:39,65375,18:09:35
12000,000:06:40,65374,18:09:34
12030,000:06:41,65373,18:09:33
12060,000:06:42,65372,18:09:32
12090,000:06:43,65371,18:09:31
12120,000:06:44,65370,18:09:30
12150,000:06:45,65369,18:09:29
12180,000:06:46,65368,18:09:28
12210,000:06:47,65367,18:09:27
12240,000:06:48,65366,18:09:26
12270,000:06:49,65365,18:09:25
12300,000:06:50,65364,18:09:24
