frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,72946,20:15:46
60,000:00:02,72945,20:15:45
90,000:00:03,72944,20:15:44
120,000:00:04,72943,20:15:43
150,000:00:05,72942,20:15:42
180,000:00:06,72941,20:15:41
210,000:00:07,72940,20:15:40
240,000:00:08,72939,20:15:39
270,000:00:09,72938,20:15:38
300,000:00:10,72937,20:15:37
330,000:00:11,72936,20:15:36
360,000:00:12,72935,20:15:35
389,000:00:12,72934,20:15:34
420,000:00:14,72933,20:15:33
450,000:00:15,72932,20:15:32
480,000:00:16,72931,20:15:31
510,000:00:17,72930,20:15:30
540,000:00:18,72929,20:15:29
570,000:00:19,72928,20:15:28
600,000:00:20,72927,20:15:27
630,000:00:21,72926,20:15:26
660,000:00:22,72925,20:15:25
690,000:00:23,72924,20:15:24
720,000:00:24,72923,20:15:23
779,000:00:25,72921,20:15:21
810,000:00:27,72920,20:15:20
900,000:00:30,72917,20:15:17
930,000:00:31,72916,20:15:16
960,000:00:32,72915,20:15:15
990,000:00:33,72914,20:15:14
1019,000:00:34,72913,20:15:13
1049,000:00:35,72912,20:15:12
1139,000:00:38,72909,20:15:09
1199,000:00:40,72907,20:15:07
1229,000:00:41,72906,20:15:06
1259,000:00:42,72905,20:15:05
1319,000:00:44,72903,20:15:03
1349,000:00:45,72902,20:15:02
1379,000:00:46,72901,20:15:01
1409,000:00:47,72900,20:15:00
1439,000:00:48,72899,20:14:59
1499,000:00:50,72897,20:14:57
1529,000:00:51,72896,20:14:56
1559,000:00:52,72895,20:14:55
1589,000:00:53,72894,20:14:54
1679,000:00:56,72891,20:14:51
1709,000:00:57,72890,20:14:50
1739,000:00:58,72889,20:14:49
1769,000:00:59,72888,20:14:48
1799,000:01:00,72887,20:14:47
1829,000:01:01,72886,20:14:46
1859,000:01:02,72885,20:14:45
1889,000:01:03,72884,20:14:44
1919,000:01:04,72883,20:14:43
1949,000:01:05,72882,20:14:42
1979,000:01:06,72881,20:14:41
2008,000:01:07,72880,20:14:40
2038,000:01:08,72879,20:14:39
