frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,63422,17:37:02
60,000:00:02,63430,17:37:10
90,000:00:03,63430,17:37:10
120,000:00:04,63429,17:37:09
150,000:00:05,63428,17:37:08
180,000:00:06,63427,17:37:07
210,000:00:07,63426,17:37:06
240,000:00:08,63425,17:37:05
270,000:00:09,63424,17:37:04
300,000:00:10,63432,17:37:12
330,000:00:11,63432,17:37:12
420,000:00:14,63429,17:37:09
450,000:00:15,63428,17:37:08
480,000:00:16,63427,17:37:07
630,000:00:21,63422,17:37:02
660,000:00:22,63421,17:37:01
690,000:00:23,63420,17:37:00
720,000:00:24,63419,17:36:59
750,000:00:25,63418,17:36:58
780,000:00:26,63417,17:36:57
810,000:00:27,63416,17:36:56
840,000:00:28,63415,17:36:55
870,000:00:29,63414,17:36:54
900,000:00:30,63413,17:36:53
930,000:00:31,63412,17:36:52
960,000:00:32,63411,17:36:51
990,000:00:33,63410,17:36:50
1020,000:00:34,63409,17:36:49
1050,000:00:35,63408,17:36:48
1080,000:00:36,63407,17:36:47
1140,000:00:38,63405,17:36:45
1200,000:00:40,63403,17:36:43
1260,000:00:42,63401,17:36:41
1320,000:00:44,63399,17:36:39
1350,000:00:45,63398,17:36:38
1380,000:00:46,63397,17:36:37
1410,000:00:47,63396,17:36:36
1440,000:00:48,63395,17:36:35
1470,000:00:49,63394,17:36:34
1500,000:00:50,63393,17:36:33
1530,000:00:51,63392,17:36:32
1560,000:00:52,63391,17:36:31
1590,000:00:53,63390,17:36:30
1680,000:00:56,63387,17:36:27
1710,000:00:57,63386,17:36:26
1740,000:00:58,63395,17:36:35
1770,000:00:59,63394,17:36:34
1800,000:01:00,63393,17:36:33
1920,000:01:04,63389,17:36:29
1950,000:01:05,63388,17:36:28
1980,000:01:06,63387,17:36:27
2010,000:01:07,63386,17:36:26
2040,000:01:08,63385,17:36:25
2070,000:01:09,63384,17:36:24
2100,000:01:10,63383,17:36:23
2130,000:01:11,63382,17:36:22
2160,000:01:12,63381,17:36:21
2190,000:01:13,63380,17:36:20
2220,000:01:14,63379,17:36:19
2250,000:01:15,63378,17:36:18
2280,000:01:16,63377,17:36:17
2400,000:01:20,63381,17:36:21
2430,000:01:21,63382,17:36:22
2460,000:01:22,63381,17:36:21
2580,000:01:26,63377,17:36:17
2640,000:01:28,63375,17:36:15
2760,000:01:32,63371,17:36:11
2820,000:01:34,63369,17:36:09
2850,000:01:35,63368,17:36:08
2880,000:01:36,63367,17:36:07
2940,000:01:38,63365,17:36:05
2970,000:01:39,63364,17:36:04
3000,000:01:40,63363,17:36:03
3090,000:01:43,63369,17:36:09
3120,000:01:44,63369,17:36:09
3150,000:01:45,63368,17:36:08
3180,000:01:46,63367,17:36:07
3240,000:01:48,63365,17:36:05
3270,000:01:49,63364,17:36:04
3300,000:01:50,63363,17:36:03
3330,000:01:51,63362,17:36:02
3360,000:01:52,63361,17:36:01
3480,000:01:56,63357,17:35:57
3510,000:01:57,63356,17:35:56
3600,000:02:00,63353,17:35:53
3630,000:02:01,63352,17:35:52
3660,000:02:02,63351,17:35:51
3690,000:02:03,63350,17:35:50
3720,000:02:04,63349,17:35:49
3750,000:02:05,63348,17:35:48
3780,000:02:06,63347,17:35:47
3810,000:02:07,63346,17:35:46
3840,000:02:08,63345,17:35:45
3870,000:02:09,63344,17:35:44
3900,000:02:10,63343,17:35:43
3930,000:02:11,63342,17:35:42
3960,000:02:12,63341,17:35:41
4050,000:02:15,63338,17:35:38
4200,000:02:20,63333,17:35:33
4320,000:02:24,63329,17:35:29
4350,000:02:25,63328,17:35:28
4380,000:02:26,63327,17:35:27
4440,000:02:28,63325,17:35:25
4470,000:02:29,63324,17:35:24
4500,000:02:30,63323,17:35:23
4530,000:02:31,63322,17:35:22
4620,000:02:34,63319,17:35:19
4650,000:02:35,63318,17:35:18
4680,000:02:36,63317,17:35:17
4920,000:02:44,63309,17:35:09
4950,000:02:45,63308,17:35:08
5040,000:02:48,63305,17:35:05
5100,000:02:50,63303,17:35:03
5130,000:02:51,63302,17:35:02
5160,000:02:52,63301,17:35:01
5190,000:02:53,63303,17:35:03
5220,000:02:54,63309,17:35:09
5280,000:02:56,63307,17:35:07
5310,000:02:57,63306,17:35:06
5340,000:02:58,63305,17:35:05
5370,000:02:59,63304,17:35:04
5400,000:03:00,63303,17:35:03
5430,000:03:01,63302,17:35:02
5460,000:03:02,63301,17:35:01
5490,000:03:03,63300,17:35:00
5520,000:03:04,63299,17:34:59
5550,000:03:05,63298,17:34:58
5580,000:03:06,63297,17:34:57
5610,000:03:07,63296,17:34:56
5670,000:03:09,63294,17:34:54
5700,000:03:10,63293,17:34:53
5730,000:03:11,63292,17:34:52
5760,000:03:12,63291,17:34:51
5790,000:03:13,63290,17:34:50
5820,000:03:14,63289,17:34:49
5850,000:03:15,63288,17:34:48
5880,000:03:16,63287,17:34:47
5910,000:03:17,63286,17:34:46
5940,000:03:18,63285,17:34:45
5970,000:03:19,63284,17:34:44
6000,000:03:20,63283,17:34:43
6030,000:03:21,63282,17:34:42
6060,000:03:22,63281,17:34:41
6090,000:03:23,63280,17:34:40
6120,000:03:24,63279,17:34:39
6150,000:03:25,63278,17:34:38
6180,000:03:26,63277,17:34:37
6210,000:03:27,63276,17:34:36
6270,000:03:29,63274,17:34:34
6300,000:03:30,63273,17:34:33
6330,000:03:31,63272,17:34:32
6420,000:03:34,63269,17:34:29
6450,000:03:35,63268,17:34:28
6600,000:03:40,63263,17:34:23
6660,000:03:42,63261,17:34:21
6690,000:03:43,63260,17:34:20
6720,000:03:44,63259,17:34:19
6750,000:03:45,63258,17:34:18
6780,000:03:46,63257,17:34:17
6810,000:03:47,63256,17:34:16
6840,000:03:48,63255,17:34:15
6870,000:03:49,63254,17:34:14
6900,000:03:50,63253,17:34:13
6930,000:03:51,63252,17:34:12
6960,000:03:52,63251,17:34:11
6990,000:03:53,63250,17:34:10
7020,000:03:54,63249,17:34:09
7050,000:03:55,63248,17:34:08
7080,000:03:56,63247,17:34:07
7110,000:03:57,63246,17:34:06
7140,000:03:58,63245,17:34:05
7170,000:03:59,63244,17:34:04
7200,000:04:00,63243,17:34:03
7230,000:04:01,63242,17:34:02
7260,000:04:02,63241,17:34:01
7350,000:04:05,63238,17:33:58
7380,000:04:06,63237,17:33:57
7410,000:04:07,63236,17:33:56
7440,000:04:08,63235,17:33:55
7470,000:04:09,63234,17:33:54
7500,000:04:10,63233,17:33:53
7530,000:04:11,63232,17:33:52
7560,000:04:12,63231,17:33:51
7590,000:04:13,63230,17:33:50
7620,000:04:14,63229,17:33:49
7650,000:04:15,63228,17:33:48
7680,000:04:16,63227,17:33:47
7710,000:04:17,63226,17:33:46
7740,000:04:18,63225,17:33:45
