frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,39017.0,10:50:17
180,000:00:06,39012.0,10:50:12
5400,000:03:00,38842.0,10:47:22
5430,000:03:01,38847.0,10:47:27
5460,000:03:02,38846.0,10:47:26
5490,000:03:03,38845.0,10:47:25
6060,000:03:22,38836.0,10:47:16
6240,000:03:28,38830.0,10:47:10
6630,000:03:41,38817.0,10:46:57
7260,000:04:02,38786.0,10:46:26
7290,000:04:03,38785.0,10:46:25
7380,000:04:06,38782.0,10:46:22
7410,000:04:07,38781.0,10:46:21
7830,000:04:21,38777.0,10:46:17
39420,000:21:54,37284.0,10:21:24
40500,000:22:30,37265.0,10:20:65
40740,000:22:38,37257.0,10:20:57
43140,000:23:58,38224.0,10:37:04
47070,000:26:09,38279.0,10:37:59
82260,000:45:42,36606.0,10:10:06
96330,000:53:31,36137.0,10:02:17
96360,000:53:32,36136.0,10:02:16
96390,000:53:33,36135.0,10:02:15
96810,000:53:47,36121.0,10:02:01
96840,000:53:48,36120.0,10:02:00
96870,000:53:49,36179.0,10:02:59
96930,000:53:51,36177.0,10:02:57
99570,000:55:19,36100.0,10:01:40
101070,000:56:09,36069.0,10:01:09
101280,000:56:16,36072.0,10:01:12
101310,000:56:17,36071.0,10:01:11
101340,000:56:18,36070.0,10:01:10
107850,000:59:55,35923.0,9:58:43
107880,000:59:56,35922.0,9:58:42
107910,000:59:57,35921.0,9:58:41
107940,000:59:58,35920.0,9:58:40
107970,000:59:59,35919.0,9:58:39
108000,001:00:00,35918.0,9:58:38
108030,001:00:01,35917.0,9:58:37
108060,001:00:02,35948.0,9:59:08
108090,001:00:03,35955.0,9:59:15
108150,001:00:05,35953.0,9:59:13
108180,001:00:06,35952.0,9:59:12
108210,001:00:07,35951.0,9:59:11
108300,001:00:10,35948.0,9:59:08
108330,001:00:11,35947.0,9:59:07
108390,001:00:13,35945.0,9:59:05
108420,001:00:14,35944.0,9:59:04
108450,001:00:15,35952.0,9:59:12
108480,001:00:16,35952.0,9:59:12
108510,001:00:17,35951.0,9:59:11
