frame,video_timestamp,timer_value,timer_timestamp
66030,000:36:41,47628.0,13:13:48
66060,000:36:42,48007.0,13:20:07
66090,000:36:43,48006.0,13:20:06
66120,000:36:44,48005.0,13:20:05
66150,000:36:45,48004.0,13:20:04
66180,000:36:46,48003.0,13:20:03
66210,000:36:47,48002.0,13:20:02
66240,000:36:48,48001.0,13:20:01
66270,000:36:49,48000.0,13:20:00
66300,000:36:50,47999.0,13:19:59
66330,000:36:51,47998.0,13:19:58
66360,000:36:52,48007.0,13:20:07
66390,000:36:53,48006.0,13:20:06
66420,000:36:54,48005.0,13:20:05
66450,000:36:55,48014.0,13:20:14
66480,000:36:56,48023.0,13:20:23
66510,000:36:57,48022.0,13:20:22
66540,000:36:58,48021.0,13:20:21
66570,000:36:59,48020.0,13:20:20
66600,000:37:00,48019.0,13:20:19
66630,000:37:01,48018.0,13:20:18
66660,000:37:02,48017.0,13:20:17
66690,000:37:03,48016.0,13:20:16
66720,000:37:04,48015.0,13:20:15
66750,000:37:05,48014.0,13:20:14
66780,000:37:06,48013.0,13:20:13
66810,000:37:07,48012.0,13:20:12
66840,000:37:08,48011.0,13:20:11
66870,000:37:09,48010.0,13:20:10
66900,000:37:10,48019.0,13:20:19
66930,000:37:11,48018.0,13:20:18
66960,000:37:12,48017.0,13:20:17
66990,000:37:13,48016.0,13:20:16
67020,000:37:14,48025.0,13:20:25
67050,000:37:15,48029.0,13:20:29
67110,000:37:17,48042.0,13:20:42
67170,000:37:19,48050.0,13:20:50
67200,000:37:20,48059.0,13:20:59
67230,000:37:21,48058.0,13:20:58
67260,000:37:22,48057.0,13:20:57
67290,000:37:23,48056.0,13:20:56
67350,000:37:25,48064.0,13:21:04
67440,000:37:28,48081.0,13:21:21
67470,000:37:29,48080.0,13:21:20
67500,000:37:30,48079.0,13:21:19
67530,000:37:31,48078.0,13:21:18
67560,000:37:32,48077.0,13:21:17
67590,000:37:33,48096.0,13:21:36
67620,000:37:34,48095.0,13:21:35
67650,000:37:35,48094.0,13:21:34
67680,000:37:36,48113.0,13:21:53
67710,000:37:37,48112.0,13:21:52
67740,000:37:38,48121.0,13:22:01
67770,000:37:39,48120.0,13:22:00
67800,000:37:40,48119.0,13:21:59
67830,000:37:41,48118.0,13:21:58
67860,000:37:42,48124.0,13:22:04
67890,000:37:43,48126.0,13:22:06
67920,000:37:44,48125.0,13:22:05
67950,000:37:45,48124.0,13:22:04
67980,000:37:46,48123.0,13:22:03
68010,000:37:47,48122.0,13:22:02
68040,000:37:48,48131.0,13:22:11
68070,000:37:49,48130.0,13:22:10
68100,000:37:50,48129.0,13:22:09
68130,000:37:51,48128.0,13:22:08
68160,000:37:52,48137.0,13:22:17
68220,000:37:54,48184.0,13:23:04
68250,000:37:55,48194.0,13:23:14
68280,000:37:56,48193.0,13:23:13
68310,000:37:57,48192.0,13:23:12
68340,000:37:58,48191.0,13:23:11
68370,000:37:59,48190.0,13:23:10
68400,000:38:00,48209.0,13:23:29
68430,000:38:01,48208.0,13:23:28
68460,000:38:02,48207.0,13:23:27
68490,000:38:03,48206.0,13:23:26
68520,000:38:04,48205.0,13:23:25
68550,000:38:05,48204.0,13:23:24
68580,000:38:06,48203.0,13:23:23
68610,000:38:07,48202.0,13:23:22
68640,000:38:08,48201.0,13:23:21
68700,000:38:10,48199.0,13:23:19
68730,000:38:11,48198.0,13:23:18
68760,000:38:12,48197.0,13:23:17
68790,000:38:13,48201.0,13:23:21
68820,000:38:14,48215.0,13:23:35
68850,000:38:15,48214.0,13:23:34
68880,000:38:16,48213.0,13:23:33
68910,000:38:17,48222.0,13:23:42
68940,000:38:18,48231.0,13:23:51
68970,000:38:19,48237.0,13:23:57
69000,000:38:20,48239.0,13:23:59
69030,000:38:21,48248.0,13:24:08
69060,000:38:22,48247.0,13:24:07
69090,000:38:23,48246.0,13:24:06
69120,000:38:24,48255.0,13:24:15
69150,000:38:25,48264.0,13:24:24
69180,000:38:26,48263.0,13:24:23
69210,000:38:27,48262.0,13:24:22
69240,000:38:28,48261.0,13:24:21
69270,000:38:29,48260.0,13:24:20
69300,000:38:30,48259.0,13:24:19
69330,000:38:31,48258.0,13:24:18
69360,000:38:32,48270.0,13:24:30
69390,000:38:33,48276.0,13:24:36
69420,000:38:34,48275.0,13:24:35
