frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,25329,7:02:09
120,000:00:04,25326,7:02:06
270,000:00:09,25321,7:02:01
330,000:00:11,25329,7:02:09
390,000:00:13,25327,7:02:07
420,000:00:14,25326,7:02:06
450,000:00:15,25325,7:02:05
510,000:00:17,25323,7:02:03
540,000:00:18,25322,7:02:02
570,000:00:19,25321,7:02:01
600,000:00:20,25320,7:02:00
630,000:00:21,25319,7:01:59
660,000:00:22,25318,7:01:58
750,000:00:25,25315,7:01:55
780,000:00:26,25314,7:01:54
810,000:00:27,25313,7:01:53
840,000:00:28,25312,7:01:52
870,000:00:29,25311,7:01:51
900,000:00:30,25310,7:01:50
930,000:00:31,25309,7:01:49
960,000:00:32,25308,7:01:48
990,000:00:33,25307,7:01:47
1020,000:00:34,25306,7:01:46
1050,000:00:35,25305,7:01:45
1080,000:00:36,25304,7:01:44
1170,000:00:39,25301,7:01:41
1200,000:00:40,25300,7:01:40
1230,000:00:41,25299,7:01:39
1320,000:00:44,25296,7:01:36
1440,000:00:48,25292,7:01:32
1470,000:00:49,25291,7:01:31
1500,000:00:50,25290,7:01:30
1530,000:00:51,25289,7:01:29
1560,000:00:52,25288,7:01:28
1590,000:00:53,25287,7:01:27
1620,000:00:54,25286,7:01:26
1650,000:00:55,25285,7:01:25
1680,000:00:56,25284,7:01:24
1710,000:00:57,25283,7:01:23
1740,000:00:58,25282,7:01:22
1770,000:00:59,25281,7:01:21
1800,000:01:00,25280,7:01:20
1830,000:01:01,25279,7:01:19
1860,000:01:02,25278,7:01:18
1890,000:01:03,25277,7:01:17
1920,000:01:04,25276,7:01:16
1980,000:01:06,25274,7:01:14
2010,000:01:07,25273,7:01:13
2040,000:01:08,25272,7:01:12
2070,000:01:09,25271,7:01:11
2100,000:01:10,25270,7:01:10
2130,000:01:11,25269,7:01:09
2160,000:01:12,25268,7:01:08
2190,000:01:13,25277,7:01:17
2220,000:01:14,25276,7:01:16
2250,000:01:15,25275,7:01:15
2280,000:01:16,25274,7:01:14
2310,000:01:17,25273,7:01:13
2340,000:01:18,25272,7:01:12
2400,000:01:20,25270,7:01:10
2430,000:01:21,25269,7:01:09
2460,000:01:22,25268,7:01:08
2490,000:01:23,25267,7:01:07
2580,000:01:26,25274,7:01:14
2610,000:01:27,25273,7:01:13
2640,000:01:28,25272,7:01:12
2670,000:01:29,25271,7:01:11
2700,000:01:30,25270,7:01:10
2730,000:01:31,25269,7:01:09
2760,000:01:32,25268,7:01:08
2790,000:01:33,25267,7:01:07
2820,000:01:34,25266,7:01:06
2850,000:01:35,25265,7:01:05
2880,000:01:36,25264,7:01:04
2910,000:01:37,25263,7:01:03
2970,000:01:39,25261,7:01:01
3000,000:01:40,25260,7:01:00
5130,000:02:51,25199,6:59:59
5160,000:02:52,25198,6:59:58
5190,000:02:53,25197,6:59:57
5220,000:02:54,25196,6:59:56
5250,000:02:55,25195,6:59:55
5280,000:02:56,25194,6:59:54
5310,000:02:57,25193,6:59:53
5340,000:02:58,25192,6:59:52
5370,000:02:59,25191,6:59:51
5430,000:03:01,25189,6:59:49
5460,000:03:02,25188,6:59:48
5490,000:03:03,25187,6:59:47
5550,000:03:05,25185,6:59:45
5580,000:03:06,25184,6:59:44
5610,000:03:07,25183,6:59:43
5640,000:03:08,25182,6:59:42
5670,000:03:09,25181,6:59:41
5700,000:03:10,25180,6:59:40
5730,000:03:11,25179,6:59:39
5760,000:03:12,25178,6:59:38
5790,000:03:13,25177,6:59:37
5820,000:03:14,25176,6:59:36
5850,000:03:15,25175,6:59:35
5880,000:03:16,25174,6:59:34
5910,000:03:17,25173,6:59:33
5940,000:03:18,25172,6:59:32
5970,000:03:19,25171,6:59:31
6000,000:03:20,25170,6:59:30
6030,000:03:21,25169,6:59:29
6060,000:03:22,25168,6:59:28
6090,000:03:23,25167,6:59:27
6120,000:03:24,25166,6:59:26
6150,000:03:25,25165,6:59:25
6180,000:03:26,25164,6:59:24
6210,000:03:27,25163,6:59:23
6240,000:03:28,25162,6:59:22
6270,000:03:29,25171,6:59:31
6300,000:03:30,25170,6:59:30
6330,000:03:31,25169,6:59:29
6360,000:03:32,25168,6:59:28
6390,000:03:33,25167,6:59:27
6420,000:03:34,25166,6:59:26
6450,000:03:35,25165,6:59:25
6480,000:03:36,25164,6:59:24
6510,000:03:37,25163,6:59:23
6540,000:03:38,25162,6:59:22
6570,000:03:39,25161,6:59:21
6600,000:03:40,25160,6:59:20
6630,000:03:41,25159,6:59:19
6660,000:03:42,25158,6:59:18
6690,000:03:43,25157,6:59:17
6720,000:03:44,25156,6:59:16
6750,000:03:45,25155,6:59:15
6810,000:03:47,25153,6:59:13
6840,000:03:48,25152,6:59:12
6870,000:03:49,25151,6:59:11
6900,000:03:50,25150,6:59:10
6930,000:03:51,25149,6:59:09
6960,000:03:52,25148,6:59:08
6990,000:03:53,25147,6:59:07
7020,000:03:54,25146,6:59:06
7050,000:03:55,25145,6:59:05
7080,000:03:56,25144,6:59:04
7110,000:03:57,25143,6:59:03
7140,000:03:58,25142,6:59:02
7170,000:03:59,25141,6:59:01
7200,000:04:00,25140,6:59:00
7230,000:04:01,25139,6:58:59
7260,000:04:02,25138,6:58:58
7290,000:04:03,25137,6:58:57
7350,000:04:05,25135,6:58:55
7380,000:04:06,25134,6:58:54
7410,000:04:07,25133,6:58:53
7470,000:04:09,25131,6:58:51
7500,000:04:10,25130,6:58:50
7530,000:04:11,25129,6:58:49
7560,000:04:12,25128,6:58:48
7590,000:04:13,25127,6:58:47
7620,000:04:14,25126,6:58:46
7650,000:04:15,25125,6:58:45
7680,000:04:16,25124,6:58:44
7710,000:04:17,25123,6:58:43
7740,000:04:18,25122,6:58:42
7770,000:04:19,25121,6:58:41
7800,000:04:20,25120,6:58:40
7830,000:04:21,25119,6:58:39
7860,000:04:22,25118,6:58:38
7890,000:04:23,25117,6:58:37
7920,000:04:24,25116,6:58:36
7950,000:04:25,25115,6:58:35
7980,000:04:26,25114,6:58:34
8010,000:04:27,25113,6:58:33
8040,000:04:28,25112,6:58:32
8130,000:04:31,25109,6:58:29
8160,000:04:32,25108,6:58:28
8190,000:04:33,25107,6:58:27
8220,000:04:34,25106,6:58:26
8250,000:04:35,25105,6:58:25
8280,000:04:36,25104,6:58:24
8310,000:04:37,25103,6:58:23
8340,000:04:38,25102,6:58:22
8370,000:04:39,25101,6:58:21
8400,000:04:40,25100,6:58:20
8430,000:04:41,25099,6:58:19
8460,000:04:42,25098,6:58:18
8520,000:04:44,25096,6:58:16
8550,000:04:45,25095,6:58:15
8580,000:04:46,25094,6:58:14
8610,000:04:47,25093,6:58:13
8640,000:04:48,25092,6:58:12
8670,000:04:49,25091,6:58:11
8700,000:04:50,25090,6:58:10
8730,000:04:51,25089,6:58:09
8760,000:04:52,25088,6:58:08
8820,000:04:54,25086,6:58:06
8910,000:04:57,25083,6:58:03
8940,000:04:58,25082,6:58:02
8970,000:04:59,25081,6:58:01
9030,000:05:01,25079,6:57:59
9060,000:05:02,25078,6:57:58
9090,000:05:03,25077,6:57:57
9210,000:05:07,25073,6:57:53
9450,000:05:15,25065,6:57:45
9480,000:05:16,25064,6:57:44
9510,000:05:17,25063,6:57:43
9540,000:05:18,25062,6:57:42
9570,000:05:19,25061,6:57:41
9600,000:05:20,25060,6:57:40
9630,000:05:21,25059,6:57:39
9660,000:05:22,25058,6:57:38
9690,000:05:23,25057,6:57:37
9780,000:05:26,25064,6:57:44
9810,000:05:27,25063,6:57:43
9840,000:05:28,25062,6:57:42
9870,000:05:29,25061,6:57:41
9900,000:05:30,25060,6:57:40
9930,000:05:31,25059,6:57:39
9960,000:05:32,25058,6:57:38
9990,000:05:33,25057,6:57:37
10020,000:05:34,25056,6:57:36
10050,000:05:35,25055,6:57:35
10080,000:05:36,25054,6:57:34
10110,000:05:37,25053,6:57:33
10140,000:05:38,25052,6:57:32
10170,000:05:39,25051,6:57:31
10260,000:05:42,25048,6:57:28
10290,000:05:43,25047,6:57:27
10320,000:05:44,25046,6:57:26
10350,000:05:45,25045,6:57:25
10380,000:05:46,25044,6:57:24
10440,000:05:48,25042,6:57:22
10470,000:05:49,25041,6:57:21
10500,000:05:50,25040,6:57:20
10530,000:05:51,25039,6:57:19
10560,000:05:52,25038,6:57:18
10590,000:05:53,25037,6:57:17
10620,000:05:54,25036,6:57:16
10650,000:05:55,25035,6:57:15
10680,000:05:56,25034,6:57:14
10710,000:05:57,25033,6:57:13
10740,000:05:58,25032,6:57:12
10860,000:06:02,25028,6:57:08
