frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,17873,4:57:53
60,000:00:02,17872,4:57:52
90,000:00:03,17871,4:57:51
120,000:00:04,17870,4:57:50
150,000:00:05,17869,4:57:49
210,000:00:07,17877,4:57:57
240,000:00:08,17876,4:57:56
270,000:00:09,17875,4:57:55
300,000:00:10,17874,4:57:54
330,000:00:11,17873,4:57:53
360,000:00:12,17872,4:57:52
450,000:00:15,17869,4:57:49
480,000:00:16,17868,4:57:48
510,000:00:17,17867,4:57:47
540,000:00:18,17866,4:57:46
570,000:00:19,17865,4:57:45
600,000:00:20,17864,4:57:44
630,000:00:21,17863,4:57:43
660,000:00:22,17862,4:57:42
690,000:00:23,17861,4:57:41
720,000:00:24,17860,4:57:40
750,000:00:25,17869,4:57:49
780,000:00:26,17868,4:57:48
810,000:00:27,17867,4:57:47
840,000:00:28,17876,4:57:56
870,000:00:29,17875,4:57:55
900,000:00:30,17874,4:57:54
930,000:00:31,17873,4:57:53
960,000:00:32,17872,4:57:52
990,000:00:33,17871,4:57:51
1020,000:00:34,17870,4:57:50
1050,000:00:35,17869,4:57:49
1080,000:00:36,17868,4:57:48
1110,000:00:37,17867,4:57:47
1140,000:00:38,17866,4:57:46
1200,000:00:40,17864,4:57:44
1710,000:00:57,17847,4:57:27
2280,000:01:16,17838,4:57:18
2340,000:01:18,17836,4:57:16
2430,000:01:21,17843,4:57:23
3210,000:01:47,17817,4:56:57
3360,000:01:52,17812,4:56:52
3570,000:01:59,17815,4:56:55
3600,000:02:00,17814,4:56:54
4140,000:02:18,17806,4:56:46
4170,000:02:19,17805,4:56:45
4200,000:02:20,17804,4:56:44
4440,000:02:28,17796,4:56:36
4590,000:02:33,17791,4:56:31
5550,000:03:05,17789,4:56:29
5610,000:03:07,17787,4:56:27
6240,000:03:28,18286,5:04:46
7140,000:03:58,18316,5:05:16
7680,000:04:16,18318,5:05:18
7710,000:04:17,18317,5:05:17
8280,000:04:36,18308,5:05:08
8340,000:04:38,18306,5:05:06
8400,000:04:40,18304,5:05:04
8430,000:04:41,18303,5:05:03
8460,000:04:42,18302,5:05:02
8490,000:04:43,18301,5:05:01
8520,000:04:44,18300,5:05:00
8550,000:04:45,18299,5:04:59
8580,000:04:46,18298,5:04:58
8610,000:04:47,18297,5:04:57
8640,000:04:48,18296,5:04:56
8670,000:04:49,18302,5:05:02
8700,000:04:50,18304,5:05:04
8730,000:04:51,18303,5:05:03
