frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,9383.0,2:36:23
60,000:00:02,9382.0,2:36:22
90,000:00:03,9381.0,2:36:21
120,000:00:04,9380.0,2:36:20
150,000:00:05,9379.0,2:36:19
180,000:00:06,9378.0,2:36:18
210,000:00:07,9377.0,2:36:17
240,000:00:08,9376.0,2:36:16
270,000:00:09,9375.0,2:36:15
300,000:00:10,9374.0,2:36:14
330,000:00:11,9373.0,2:36:13
360,000:00:12,9372.0,2:36:12
390,000:00:13,9371.0,2:36:11
420,000:00:14,9370.0,2:36:10
450,000:00:15,9369.0,2:36:09
480,000:00:16,9368.0,2:36:08
510,000:00:17,9377.0,2:36:17
540,000:00:18,9376.0,2:36:16
570,000:00:19,9375.0,2:36:15
600,000:00:20,9374.0,2:36:14
630,000:00:21,9373.0,2:36:13
660,000:00:22,9372.0,2:36:12
690,000:00:23,9371.0,2:36:11
720,000:00:24,9370.0,2:36:10
750,000:00:25,9369.0,2:36:09
780,000:00:26,9368.0,2:36:08
810,000:00:27,9367.0,2:36:07
840,000:00:28,9366.0,2:36:06
870,000:00:29,9365.0,2:36:05
900,000:00:30,9364.0,2:36:04
930,000:00:31,9363.0,2:36:03
960,000:00:32,9362.0,2:36:02
990,000:00:33,9361.0,2:36:01
1080,000:00:36,9358.0,2:35:58
1110,000:00:37,9357.0,2:35:57
1140,000:00:38,9356.0,2:35:56
1170,000:00:39,9355.0,2:35:55
1200,000:00:40,9354.0,2:35:54
1230,000:00:41,9353.0,2:35:53
1260,000:00:42,9352.0,2:35:52
1290,000:00:43,9351.0,2:35:51
1320,000:00:44,9350.0,2:35:50
1350,000:00:45,9349.0,2:35:49
1380,000:00:46,9348.0,2:35:48
1410,000:00:47,9347.0,2:35:47
1440,000:00:48,9346.0,2:35:46
1470,000:00:49,9345.0,2:35:45
1500,000:00:50,9344.0,2:35:44
1530,000:00:51,9343.0,2:35:43
1560,000:00:52,9342.0,2:35:42
1590,000:00:53,9341.0,2:35:41
1620,000:00:54,9340.0,2:35:40
1650,000:00:55,9339.0,2:35:39
1680,000:00:56,9342.0,2:35:42
1710,000:00:57,9347.0,2:35:47
1740,000:00:58,9346.0,2:35:46
1770,000:00:59,9345.0,2:35:45
1830,000:01:01,9343.0,2:35:43
1890,000:01:03,9341.0,2:35:41
1920,000:01:04,9340.0,2:35:40
1950,000:01:05,9339.0,2:35:39
1980,000:01:06,9338.0,2:35:38
2010,000:01:07,9337.0,2:35:37
2040,000:01:08,9336.0,2:35:36
2070,000:01:09,9335.0,2:35:35
2100,000:01:10,9334.0,2:35:34
2130,000:01:11,9333.0,2:35:33
2160,000:01:12,9332.0,2:35:32
2190,000:01:13,9331.0,2:35:31
2220,000:01:14,9330.0,2:35:30
2250,000:01:15,9329.0,2:35:29
2280,000:01:16,9328.0,2:35:28
2310,000:01:17,9327.0,2:35:27
2340,000:01:18,9326.0,2:35:26
2370,000:01:19,9325.0,2:35:25
2400,000:01:20,9324.0,2:35:24
2430,000:01:21,9323.0,2:35:23
2460,000:01:22,9322.0,2:35:22
2490,000:01:23,9321.0,2:35:21
2520,000:01:24,9320.0,2:35:20
2550,000:01:25,9319.0,2:35:19
2580,000:01:26,9318.0,2:35:18
2610,000:01:27,9317.0,2:35:17
2640,000:01:28,9316.0,2:35:16
2670,000:01:29,9315.0,2:35:15
2700,000:01:30,9314.0,2:35:14
2730,000:01:31,9313.0,2:35:13
2760,000:01:32,9312.0,2:35:12
2850,000:01:35,9309.0,2:35:09
2880,000:01:36,9308.0,2:35:08
2910,000:01:37,9307.0,2:35:07
2940,000:01:38,9306.0,2:35:06
2970,000:01:39,9305.0,2:35:05
3000,000:01:40,9304.0,2:35:04
3030,000:01:41,9303.0,2:35:03
3060,000:01:42,9302.0,2:35:02
3090,000:01:43,9301.0,2:35:01
3120,000:01:44,9300.0,2:35:00
3150,000:01:45,9299.0,2:34:59
3180,000:01:46,9298.0,2:34:58
3210,000:01:47,9297.0,2:34:57
3240,000:01:48,9296.0,2:34:56
3270,000:01:49,9295.0,2:34:55
3300,000:01:50,9294.0,2:34:54
3330,000:01:51,9293.0,2:34:53
3360,000:01:52,9292.0,2:34:52
3390,000:01:53,9291.0,2:34:51
3420,000:01:54,9290.0,2:34:50
3450,000:01:55,9289.0,2:34:49
3480,000:01:56,9288.0,2:34:48
3510,000:01:57,9287.0,2:34:47
3540,000:01:58,9286.0,2:34:46
3600,000:02:00,9284.0,2:34:44
3630,000:02:01,9283.0,2:34:43
3660,000:02:02,9282.0,2:34:42
3690,000:02:03,9281.0,2:34:41
3720,000:02:04,9280.0,2:34:40
3750,000:02:05,9279.0,2:34:39
3810,000:02:07,9277.0,2:34:37
3900,000:02:10,9274.0,2:34:34
3960,000:02:12,9272.0,2:34:32
3990,000:02:13,9271.0,2:34:31
4050,000:02:15,9269.0,2:34:29
4080,000:02:16,9268.0,2:34:28
4110,000:02:17,9267.0,2:34:27
4140,000:02:18,9266.0,2:34:26
4170,000:02:19,9265.0,2:34:25
4200,000:02:20,9264.0,2:34:24
4230,000:02:21,9263.0,2:34:23
4260,000:02:22,9262.0,2:34:22
4290,000:02:23,9261.0,2:34:21
4320,000:02:24,9260.0,2:34:20
4350,000:02:25,9259.0,2:34:19
4380,000:02:26,9258.0,2:34:18
4410,000:02:27,9257.0,2:34:17
4440,000:02:28,9256.0,2:34:16
4470,000:02:29,9255.0,2:34:15
4500,000:02:30,9254.0,2:34:14
4530,000:02:31,9253.0,2:34:13
4560,000:02:32,9252.0,2:34:12
4590,000:02:33,9251.0,2:34:11
4620,000:02:34,9250.0,2:34:10
4650,000:02:35,9249.0,2:34:09
4680,000:02:36,9248.0,2:34:08
4710,000:02:37,9247.0,2:34:07
4740,000:02:38,9246.0,2:34:06
4770,000:02:39,9245.0,2:34:05
4800,000:02:40,9244.0,2:34:04
4830,000:02:41,9243.0,2:34:03
4860,000:02:42,9242.0,2:34:02
4890,000:02:43,9241.0,2:34:01
4920,000:02:44,9240.0,2:34:00
4950,000:02:45,9239.0,2:33:59
4980,000:02:46,9238.0,2:33:58
5010,000:02:47,9237.0,2:33:57
5040,000:02:48,9236.0,2:33:56
5070,000:02:49,9235.0,2:33:55
5100,000:02:50,9234.0,2:33:54
5130,000:02:51,9233.0,2:33:53
5160,000:02:52,9232.0,2:33:52
5190,000:02:53,9231.0,2:33:51
5220,000:02:54,9230.0,2:33:50
5250,000:02:55,9229.0,2:33:49
5280,000:02:56,9228.0,2:33:48
5310,000:02:57,9227.0,2:33:47
5370,000:02:59,9225.0,2:33:45
5400,000:03:00,9224.0,2:33:44
5430,000:03:01,9223.0,2:33:43
5460,000:03:02,9222.0,2:33:42
5490,000:03:03,9221.0,2:33:41
5520,000:03:04,9220.0,2:33:40
5580,000:03:06,9218.0,2:33:38
5610,000:03:07,9217.0,2:33:37
5640,000:03:08,9216.0,2:33:36
5670,000:03:09,9215.0,2:33:35
5700,000:03:10,9223.0,2:33:43
5790,000:03:13,9221.0,2:33:41
5820,000:03:14,9220.0,2:33:40
5850,000:03:15,9219.0,2:33:39
5880,000:03:16,9218.0,2:33:38
5940,000:03:18,9216.0,2:33:36
5970,000:03:19,9215.0,2:33:35
6000,000:03:20,9214.0,2:33:34
6030,000:03:21,9213.0,2:33:33
6060,000:03:22,9212.0,2:33:32
6120,000:03:24,9210.0,2:33:30
6150,000:03:25,9209.0,2:33:29
6210,000:03:27,9207.0,2:33:27
6240,000:03:28,9206.0,2:33:26
6270,000:03:29,9205.0,2:33:25
6300,000:03:30,9204.0,2:33:24
6330,000:03:31,9203.0,2:33:23
6360,000:03:32,9202.0,2:33:22
6390,000:03:33,9201.0,2:33:21
6420,000:03:34,9200.0,2:33:20
6450,000:03:35,9199.0,2:33:19
6480,000:03:36,9198.0,2:33:18
6510,000:03:37,9197.0,2:33:17
6540,000:03:38,9196.0,2:33:16
6570,000:03:39,9195.0,2:33:15
6600,000:03:40,9194.0,2:33:14
6690,000:03:43,9191.0,2:33:11
6720,000:03:44,9190.0,2:33:10
6750,000:03:45,9189.0,2:33:09
6810,000:03:47,9187.0,2:33:07
6840,000:03:48,9186.0,2:33:06
6870,000:03:49,9185.0,2:33:05
6900,000:03:50,9184.0,2:33:04
6930,000:03:51,9183.0,2:33:03
6960,000:03:52,9182.0,2:33:02
6990,000:03:53,9181.0,2:33:01
7020,000:03:54,9180.0,2:33:00
7050,000:03:55,9179.0,2:32:59
7080,000:03:56,9178.0,2:32:58
7110,000:03:57,9177.0,2:32:57
7140,000:03:58,9176.0,2:32:56
7170,000:03:59,9175.0,2:32:55
7200,000:04:00,9174.0,2:32:54
7230,000:04:01,9173.0,2:32:53
7260,000:04:02,9172.0,2:32:52
7290,000:04:03,9171.0,2:32:51
7320,000:04:04,9170.0,2:32:50
7350,000:04:05,9169.0,2:32:49
7380,000:04:06,9168.0,2:32:48
7410,000:04:07,9167.0,2:32:47
7440,000:04:08,9166.0,2:32:46
7470,000:04:09,9165.0,2:32:45
7500,000:04:10,9164.0,2:32:44
7590,000:04:13,9161.0,2:32:41
7620,000:04:14,9160.0,2:32:40
7650,000:04:15,9159.0,2:32:39
7680,000:04:16,9158.0,2:32:38
7710,000:04:17,9157.0,2:32:37
7770,000:04:19,9155.0,2:32:35
7800,000:04:20,9162.0,2:32:42
7830,000:04:21,9163.0,2:32:43
7860,000:04:22,9162.0,2:32:42
7890,000:04:23,9161.0,2:32:41
7920,000:04:24,9160.0,2:32:40
7950,000:04:25,9159.0,2:32:39
7980,000:04:26,9158.0,2:32:38
8010,000:04:27,9157.0,2:32:37
8100,000:04:30,9154.0,2:32:34
8130,000:04:31,9153.0,2:32:33
8160,000:04:32,9152.0,2:32:32
8190,000:04:33,9151.0,2:32:31
8250,000:04:35,9149.0,2:32:29
8280,000:04:36,9148.0,2:32:28
8310,000:04:37,9147.0,2:32:27
8370,000:04:39,9145.0,2:32:25
8400,000:04:40,9144.0,2:32:24
8430,000:04:41,9143.0,2:32:23
8460,000:04:42,9142.0,2:32:22
8490,000:04:43,9141.0,2:32:21
8520,000:04:44,9140.0,2:32:20
8550,000:04:45,9139.0,2:32:19
8580,000:04:46,9145.0,2:32:25
8640,000:04:48,9146.0,2:32:26
8670,000:04:49,9145.0,2:32:25
8700,000:04:50,9144.0,2:32:24
8730,000:04:51,9143.0,2:32:23
8760,000:04:52,9142.0,2:32:22
8790,000:04:53,9141.0,2:32:21
8820,000:04:54,9140.0,2:32:20
8850,000:04:55,9139.0,2:32:19
8880,000:04:56,9138.0,2:32:18
8910,000:04:57,9137.0,2:32:17
8940,000:04:58,9136.0,2:32:16
8970,000:04:59,9135.0,2:32:15
9000,000:05:00,9134.0,2:32:14
9030,000:05:01,9133.0,2:32:13
9060,000:05:02,9132.0,2:32:12
9090,000:05:03,9131.0,2:32:11
9120,000:05:04,9130.0,2:32:10
9150,000:05:05,9129.0,2:32:09
9180,000:05:06,9128.0,2:32:08
9210,000:05:07,9127.0,2:32:07
9240,000:05:08,9126.0,2:32:06
9330,000:05:11,9123.0,2:32:03
9360,000:05:12,9122.0,2:32:02
9390,000:05:13,9121.0,2:32:01
9420,000:05:14,9120.0,2:32:00
9450,000:05:15,9119.0,2:31:59
9480,000:05:16,9118.0,2:31:58
9510,000:05:17,9117.0,2:31:57
9540,000:05:18,9116.0,2:31:56
9570,000:05:19,9115.0,2:31:55
9600,000:05:20,9114.0,2:31:54
9630,000:05:21,9113.0,2:31:53
9660,000:05:22,9112.0,2:31:52
9690,000:05:23,9111.0,2:31:51
9720,000:05:24,9110.0,2:31:50
9750,000:05:25,9109.0,2:31:49
9780,000:05:26,9108.0,2:31:48
9810,000:05:27,9107.0,2:31:47
9840,000:05:28,9106.0,2:31:46
9870,000:05:29,9105.0,2:31:45
9900,000:05:30,9104.0,2:31:44
9930,000:05:31,9103.0,2:31:43
9960,000:05:32,9102.0,2:31:42
9990,000:05:33,9101.0,2:31:41
10020,000:05:34,9100.0,2:31:40
10050,000:05:35,9099.0,2:31:39
10080,000:05:36,9098.0,2:31:38
10110,000:05:37,9097.0,2:31:37
10140,000:05:38,9096.0,2:31:36
10170,000:05:39,9095.0,2:31:35
10200,000:05:40,9094.0,2:31:34
10230,000:05:41,9093.0,2:31:33
10260,000:05:42,9092.0,2:31:32
10290,000:05:43,9091.0,2:31:31
10320,000:05:44,9090.0,2:31:30
10350,000:05:45,9089.0,2:31:29
10380,000:05:46,9088.0,2:31:28
10410,000:05:47,9087.0,2:31:27
10440,000:05:48,9086.0,2:31:26
10470,000:05:49,9085.0,2:31:25
10500,000:05:50,9084.0,2:31:24
10530,000:05:51,9083.0,2:31:23
10590,000:05:53,9081.0,2:31:21
10620,000:05:54,9080.0,2:31:20
10650,000:05:55,9079.0,2:31:19
10680,000:05:56,9088.0,2:31:28
10710,000:05:57,9087.0,2:31:27
