frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,14495.0,4:01:35
60,000:00:02,14494.0,4:01:34
90,000:00:03,14493.0,4:01:33
120,000:00:04,14492.0,4:01:32
150,000:00:05,14491.0,4:01:31
180,000:00:06,14490.0,4:01:30
210,000:00:07,14489.0,4:01:29
240,000:00:08,14488.0,4:01:28
270,000:00:09,14487.0,4:01:27
300,000:00:10,14486.0,4:01:26
330,000:00:11,14485.0,4:01:25
360,000:00:12,14484.0,4:01:24
390,000:00:13,14483.0,4:01:23
420,000:00:14,14482.0,4:01:22
450,000:00:15,14481.0,4:01:21
510,000:00:17,14489.0,4:01:29
540,000:00:18,14488.0,4:01:28
570,000:00:19,14487.0,4:01:27
600,000:00:20,14486.0,4:01:26
630,000:00:21,14485.0,4:01:25
660,000:00:22,14484.0,4:01:24
750,000:00:25,14481.0,4:01:21
960,000:00:32,14474.0,4:01:14
1170,000:00:39,14467.0,4:01:07
1200,000:00:40,14466.0,4:01:06
1260,000:00:42,14464.0,4:01:04
1290,000:00:43,14463.0,4:01:03
1380,000:00:46,14460.0,4:01:00
1440,000:00:48,14632.0,4:03:52
1530,000:00:51,14955.0,4:09:15
1560,000:00:52,14954.0,4:09:14
1590,000:00:53,14953.0,4:09:13
1620,000:00:54,14952.0,4:09:12
1800,000:01:00,14956.0,4:09:16
1920,000:01:04,14962.0,4:09:22
1950,000:01:05,14961.0,4:09:21
1980,000:01:06,14960.0,4:09:20
2010,000:01:07,14959.0,4:09:19
2040,000:01:08,14958.0,4:09:18
2100,000:01:10,14956.0,4:09:16
2160,000:01:12,14954.0,4:09:14
2190,000:01:13,14953.0,4:09:13
2220,000:01:14,14952.0,4:09:12
2250,000:01:15,14951.0,4:09:11
2280,000:01:16,14950.0,4:09:10
2370,000:01:19,14947.0,4:09:07
2400,000:01:20,14946.0,4:09:06
2430,000:01:21,14945.0,4:09:05
2700,000:01:30,14946.0,4:09:06
2730,000:01:31,14945.0,4:09:05
2880,000:01:36,14940.0,4:09:00
