frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,4224,1:10:24
60,000:00:02,4232,1:10:32
90,000:00:03,4232,1:10:32
120,000:00:04,4231,1:10:31
150,000:00:05,4230,1:10:30
180,000:00:06,4229,1:10:29
210,000:00:07,4228,1:10:28
240,000:00:08,4227,1:10:27
270,000:00:09,4232,1:10:32
300,000:00:10,4231,1:10:31
330,000:00:11,4234,1:10:34
360,000:00:12,4239,1:10:39
390,000:00:13,4238,1:10:38
480,000:00:16,4235,1:10:35
510,000:00:17,4234,1:10:34
540,000:00:18,4233,1:10:33
570,000:00:19,4232,1:10:32
600,000:00:20,4231,1:10:31
630,000:00:21,4235,1:10:35
660,000:00:22,4239,1:10:39
690,000:00:23,4238,1:10:38
720,000:00:24,4237,1:10:37
750,000:00:25,4236,1:10:36
780,000:00:26,4235,1:10:35
870,000:00:29,4282,1:11:22
960,000:00:32,4289,1:11:29
990,000:00:33,4288,1:11:28
1020,000:00:34,4296,1:11:36
1050,000:00:35,4336,1:12:16
1080,000:00:36,4335,1:12:15
1110,000:00:37,4334,1:12:14
1200,000:00:40,4331,1:12:11
1230,000:00:41,4330,1:12:10
1260,000:00:42,4329,1:12:09
1290,000:00:43,4328,1:12:08
1320,000:00:44,4327,1:12:07
1350,000:00:45,4326,1:12:06
1380,000:00:46,4325,1:12:05
1410,000:00:47,4324,1:12:04
1440,000:00:48,4323,1:12:03
1470,000:00:49,4322,1:12:02
1500,000:00:50,4321,1:12:01
1530,000:00:51,4320,1:12:00
1560,000:00:52,4319,1:11:59
1590,000:00:53,4318,1:11:58
1620,000:00:54,4317,1:11:57
1650,000:00:55,4316,1:11:56
1680,000:00:56,4315,1:11:55
1710,000:00:57,4314,1:11:54
1740,000:00:58,4363,1:12:43
1770,000:00:59,4362,1:12:42
1800,000:01:00,4361,1:12:41
1830,000:01:01,4360,1:12:40
1860,000:01:02,4359,1:12:39
1890,000:01:03,4358,1:12:38
1920,000:01:04,4357,1:12:37
2010,000:01:07,4354,1:12:34
2040,000:01:08,4353,1:12:33
2070,000:01:09,4352,1:12:32
2100,000:01:10,4351,1:12:31
2130,000:01:11,4350,1:12:30
2220,000:01:14,4347,1:12:27
2250,000:01:15,4346,1:12:26
2280,000:01:16,4345,1:12:25
2310,000:01:17,4344,1:12:24
2340,000:01:18,4343,1:12:23
2370,000:01:19,4342,1:12:22
2400,000:01:20,4341,1:12:21
2430,000:01:21,4340,1:12:20
2460,000:01:22,4339,1:12:19
2490,000:01:23,4338,1:12:18
2520,000:01:24,4337,1:12:17
2550,000:01:25,4336,1:12:16
2580,000:01:26,4335,1:12:15
2610,000:01:27,4334,1:12:14
2640,000:01:28,4343,1:12:23
2670,000:01:29,4342,1:12:22
2700,000:01:30,4341,1:12:21
2730,000:01:31,4370,1:12:50
2760,000:01:32,4389,1:13:09
2790,000:01:33,4388,1:13:08
2820,000:01:34,4387,1:13:07
2850,000:01:35,4386,1:13:06
2880,000:01:36,4385,1:13:05
2910,000:01:37,4384,1:13:04
2940,000:01:38,4383,1:13:03
2970,000:01:39,4382,1:13:02
3000,000:01:40,4391,1:13:11
3030,000:01:41,4390,1:13:10
3060,000:01:42,4399,1:13:19
3090,000:01:43,4398,1:13:18
3120,000:01:44,4397,1:13:17
3150,000:01:45,4396,1:13:16
3180,000:01:46,4395,1:13:15
3210,000:01:47,4394,1:13:14
3240,000:01:48,4393,1:13:13
3270,000:01:49,4392,1:13:12
3300,000:01:50,4391,1:13:11
3330,000:01:51,4390,1:13:10
3360,000:01:52,4389,1:13:09
3390,000:01:53,4388,1:13:08
3420,000:01:54,4387,1:13:07
3450,000:01:55,4386,1:13:06
3480,000:01:56,4385,1:13:05
3510,000:01:57,4384,1:13:04
3540,000:01:58,4393,1:13:13
3570,000:01:59,4392,1:13:12
3600,000:02:00,4391,1:13:11
3630,000:02:01,4390,1:13:10
3660,000:02:02,4389,1:13:09
3690,000:02:03,4388,1:13:08
3720,000:02:04,4387,1:13:07
3750,000:02:05,4386,1:13:06
3780,000:02:06,4385,1:13:05
3810,000:02:07,4384,1:13:04
3840,000:02:08,4383,1:13:03
3870,000:02:09,4382,1:13:02
3900,000:02:10,4381,1:13:01
3930,000:02:11,4380,1:13:00
3960,000:02:12,4379,1:12:59
3990,000:02:13,4378,1:12:58
4020,000:02:14,4377,1:12:57
4050,000:02:15,4386,1:13:06
4080,000:02:16,4385,1:13:05
4110,000:02:17,4384,1:13:04
4140,000:02:18,4383,1:13:03
4170,000:02:19,4382,1:13:02
4200,000:02:20,4381,1:13:01
4230,000:02:21,4380,1:13:00
4260,000:02:22,4379,1:12:59
4290,000:02:23,4378,1:12:58
4320,000:02:24,4377,1:12:57
4350,000:02:25,4376,1:12:56
4380,000:02:26,4375,1:12:55
4410,000:02:27,4374,1:12:54
4440,000:02:28,4383,1:13:03
4470,000:02:29,4382,1:13:02
4500,000:02:30,4381,1:13:01
4530,000:02:31,4380,1:13:00
4560,000:02:32,4379,1:12:59
4590,000:02:33,4378,1:12:58
4620,000:02:34,4377,1:12:57
4650,000:02:35,4376,1:12:56
4680,000:02:36,4385,1:13:05
4710,000:02:37,4384,1:13:04
4800,000:02:40,4381,1:13:01
4830,000:02:41,4380,1:13:00
4860,000:02:42,4379,1:12:59
4890,000:02:43,4378,1:12:58
4920,000:02:44,4377,1:12:57
4950,000:02:45,4376,1:12:56
4980,000:02:46,4375,1:12:55
5010,000:02:47,4374,1:12:54
5040,000:02:48,4373,1:12:53
5070,000:02:49,4372,1:12:52
5100,000:02:50,4371,1:12:51
5130,000:02:51,4370,1:12:50
5160,000:02:52,4369,1:12:49
5190,000:02:53,4368,1:12:48
5220,000:02:54,4367,1:12:47
5250,000:02:55,4366,1:12:46
5280,000:02:56,4365,1:12:45
5310,000:02:57,4364,1:12:44
5340,000:02:58,4363,1:12:43
5370,000:02:59,4362,1:12:42
5400,000:03:00,4361,1:12:41
5430,000:03:01,4360,1:12:40
5460,000:03:02,4359,1:12:39
5490,000:03:03,4358,1:12:38
5520,000:03:04,4357,1:12:37
5550,000:03:05,4356,1:12:36
5580,000:03:06,4355,1:12:35
5610,000:03:07,4354,1:12:34
5640,000:03:08,4353,1:12:33
5670,000:03:09,4352,1:12:32
5700,000:03:10,4351,1:12:31
5730,000:03:11,4350,1:12:30
5760,000:03:12,4349,1:12:29
5790,000:03:13,4348,1:12:28
5850,000:03:15,4346,1:12:26
5880,000:03:16,4345,1:12:25
5910,000:03:17,4344,1:12:24
5940,000:03:18,4343,1:12:23
5970,000:03:19,4342,1:12:22
6000,000:03:20,4341,1:12:21
6030,000:03:21,4340,1:12:20
6060,000:03:22,4339,1:12:19
6090,000:03:23,4338,1:12:18
6120,000:03:24,4337,1:12:17
6210,000:03:27,4334,1:12:14
6240,000:03:28,4333,1:12:13
6270,000:03:29,4332,1:12:12
6300,000:03:30,4331,1:12:11
6330,000:03:31,4330,1:12:10
6360,000:03:32,4329,1:12:09
6390,000:03:33,4328,1:12:08
6420,000:03:34,4327,1:12:07
6450,000:03:35,4326,1:12:06
6480,000:03:36,4325,1:12:05
6510,000:03:37,4324,1:12:04
6540,000:03:38,4325,1:12:05
6570,000:03:39,4332,1:12:12
6600,000:03:40,4331,1:12:11
6630,000:03:41,4330,1:12:10
6660,000:03:42,4329,1:12:09
6690,000:03:43,4328,1:12:08
6720,000:03:44,4327,1:12:07
6750,000:03:45,4326,1:12:06
6780,000:03:46,4325,1:12:05
6810,000:03:47,4324,1:12:04
6840,000:03:48,4323,1:12:03
6870,000:03:49,4322,1:12:02
6900,000:03:50,4321,1:12:01
6930,000:03:51,4320,1:12:00
6960,000:03:52,4319,1:11:59
6990,000:03:53,4318,1:11:58
7020,000:03:54,4317,1:11:57
7050,000:03:55,4316,1:11:56
7080,000:03:56,4315,1:11:55
7110,000:03:57,4314,1:11:54
7140,000:03:58,4313,1:11:53
7170,000:03:59,4312,1:11:52
7200,000:04:00,4311,1:11:51
7230,000:04:01,4310,1:11:50
7260,000:04:02,4319,1:11:59
7290,000:04:03,4318,1:11:58
7320,000:04:04,4317,1:11:57
7350,000:04:05,4316,1:11:56
7380,000:04:06,4315,1:11:55
7410,000:04:07,4314,1:11:54
7440,000:04:08,4313,1:11:53
7590,000:04:13,4308,1:11:48
7620,000:04:14,4307,1:11:47
7650,000:04:15,4306,1:11:46
7680,000:04:16,4305,1:11:45
7710,000:04:17,4304,1:11:44
7740,000:04:18,4303,1:11:43
7830,000:04:21,4300,1:11:40
7860,000:04:22,4299,1:11:39
7890,000:04:23,4298,1:11:38
7920,000:04:24,4297,1:11:37
7950,000:04:25,4296,1:11:36
7980,000:04:26,4295,1:11:35
8010,000:04:27,4294,1:11:34
8040,000:04:28,4293,1:11:33
8070,000:04:29,4292,1:11:32
8100,000:04:30,4291,1:11:31
8130,000:04:31,4290,1:11:30
8220,000:04:34,4287,1:11:27
8250,000:04:35,4286,1:11:26
8280,000:04:36,4285,1:11:25
8310,000:04:37,4284,1:11:24
8340,000:04:38,4283,1:11:23
8370,000:04:39,4282,1:11:22
8400,000:04:40,4281,1:11:21
8430,000:04:41,4280,1:11:20
8460,000:04:42,4279,1:11:19
8490,000:04:43,4278,1:11:18
8520,000:04:44,4277,1:11:17
8550,000:04:45,4276,1:11:16
8640,000:04:48,4273,1:11:13
8670,000:04:49,4272,1:11:12
8700,000:04:50,4271,1:11:11
8730,000:04:51,4270,1:11:10
8760,000:04:52,4269,1:11:09
8790,000:04:53,4268,1:11:08
8820,000:04:54,4267,1:11:07
8850,000:04:55,4266,1:11:06
8880,000:04:56,4265,1:11:05
8910,000:04:57,4264,1:11:04
8940,000:04:58,4263,1:11:03
8970,000:04:59,4262,1:11:02
9000,000:05:00,4261,1:11:01
9030,000:05:01,4260,1:11:00
9060,000:05:02,4259,1:10:59
9090,000:05:03,4258,1:10:58
9120,000:05:04,4257,1:10:57
9150,000:05:05,4256,1:10:56
9180,000:05:06,4255,1:10:55
9210,000:05:07,4254,1:10:54
9240,000:05:08,4253,1:10:53
9270,000:05:09,4252,1:10:52
9300,000:05:10,4251,1:10:51
9330,000:05:11,4250,1:10:50
9360,000:05:12,4249,1:10:49
9390,000:05:13,4248,1:10:48
9420,000:05:14,4247,1:10:47
9450,000:05:15,4246,1:10:46
9480,000:05:16,4245,1:10:45
9510,000:05:17,4244,1:10:44
9540,000:05:18,4243,1:10:43
9570,000:05:19,4242,1:10:42
9600,000:05:20,4241,1:10:41
9630,000:05:21,4240,1:10:40
9660,000:05:22,4239,1:10:39
9690,000:05:23,4248,1:10:48
9720,000:05:24,4247,1:10:47
9750,000:05:25,4246,1:10:46
9780,000:05:26,4245,1:10:45
9810,000:05:27,4244,1:10:44
9840,000:05:28,4243,1:10:43
9870,000:05:29,4242,1:10:42
9900,000:05:30,4241,1:10:41
9930,000:05:31,4240,1:10:40
9960,000:05:32,4239,1:10:39
9990,000:05:33,4238,1:10:38
10020,000:05:34,4237,1:10:37
10050,000:05:35,4236,1:10:36
10080,000:05:36,4235,1:10:35
10110,000:05:37,4234,1:10:34
10140,000:05:38,4233,1:10:33
10170,000:05:39,4232,1:10:32
10200,000:05:40,4231,1:10:31
10230,000:05:41,4230,1:10:30
10260,000:05:42,4229,1:10:29
10290,000:05:43,4228,1:10:28
10320,000:05:44,4227,1:10:27
10350,000:05:45,4226,1:10:26
10380,000:05:46,4225,1:10:25
10410,000:05:47,4224,1:10:24
10440,000:05:48,4223,1:10:23
10470,000:05:49,4222,1:10:22
10500,000:05:50,4221,1:10:21
10530,000:05:51,4220,1:10:20
10560,000:05:52,4219,1:10:19
10590,000:05:53,4218,1:10:18
10620,000:05:54,4217,1:10:17
10650,000:05:55,4216,1:10:16
10680,000:05:56,4215,1:10:15
10710,000:05:57,4214,1:10:14
