frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,4100.0,1:08:20
60,000:00:02,4099.0,1:08:19
90,000:00:03,4098.0,1:08:18
120,000:00:04,4097.0,1:08:17
150,000:00:05,4096.0,1:08:16
180,000:00:06,4095.0,1:08:15
210,000:00:07,4094.0,1:08:14
240,000:00:08,4093.0,1:08:13
270,000:00:09,4092.0,1:08:12
300,000:00:10,4091.0,1:08:11
330,000:00:11,4090.0,1:08:10
360,000:00:12,4089.0,1:08:09
390,000:00:13,4088.0,1:08:08
420,000:00:14,4087.0,1:08:07
450,000:00:15,4086.0,1:08:06
480,000:00:16,4085.0,1:08:05
510,000:00:17,4084.0,1:08:04
540,000:00:18,4083.0,1:08:03
570,000:00:19,4082.0,1:08:02
600,000:00:20,4081.0,1:08:01
630,000:00:21,4080.0,1:08:00
660,000:00:22,4079.0,1:07:59
690,000:00:23,4078.0,1:07:58
720,000:00:24,4077.0,1:07:57
750,000:00:25,4076.0,1:07:56
780,000:00:26,4075.0,1:07:55
810,000:00:27,4074.0,1:07:54
840,000:00:28,4073.0,1:07:53
870,000:00:29,4072.0,1:07:52
900,000:00:30,4071.0,1:07:51
930,000:00:31,4070.0,1:07:50
960,000:00:32,4069.0,1:07:49
990,000:00:33,4068.0,1:07:48
1020,000:00:34,4067.0,1:07:47
1050,000:00:35,4066.0,1:07:46
1080,000:00:36,4065.0,1:07:45
1110,000:00:37,4064.0,1:07:44
1140,000:00:38,4063.0,1:07:43
1170,000:00:39,4062.0,1:07:42
1200,000:00:40,4061.0,1:07:41
1230,000:00:41,4060.0,1:07:40
1320,000:00:44,4057.0,1:07:37
1350,000:00:45,4056.0,1:07:36
1380,000:00:46,4055.0,1:07:35
1410,000:00:47,4054.0,1:07:34
1440,000:00:48,4053.0,1:07:33
1470,000:00:49,4072.0,1:07:52
1500,000:00:50,4071.0,1:07:51
1530,000:00:51,4070.0,1:07:50
1560,000:00:52,4069.0,1:07:49
1590,000:00:53,4068.0,1:07:48
1620,000:00:54,4067.0,1:07:47
1650,000:00:55,4066.0,1:07:46
1680,000:00:56,4065.0,1:07:45
1710,000:00:57,4064.0,1:07:44
1740,000:00:58,4063.0,1:07:43
1770,000:00:59,4062.0,1:07:42
1800,000:01:00,4061.0,1:07:41
1830,000:01:01,4060.0,1:07:40
1860,000:01:02,4059.0,1:07:39
1890,000:01:03,4058.0,1:07:38
1920,000:01:04,4057.0,1:07:37
1950,000:01:05,4056.0,1:07:36
1980,000:01:06,4055.0,1:07:35
2010,000:01:07,4054.0,1:07:34
2040,000:01:08,4053.0,1:07:33
2070,000:01:09,4052.0,1:07:32
2100,000:01:10,4051.0,1:07:31
2130,000:01:11,4050.0,1:07:30
2160,000:01:12,4049.0,1:07:29
2190,000:01:13,4048.0,1:07:28
2220,000:01:14,4047.0,1:07:27
2250,000:01:15,4046.0,1:07:26
2280,000:01:16,4045.0,1:07:25
2310,000:01:17,4044.0,1:07:24
2340,000:01:18,4043.0,1:07:23
2400,000:01:20,4041.0,1:07:21
2430,000:01:21,4040.0,1:07:20
2460,000:01:22,4039.0,1:07:19
2490,000:01:23,4038.0,1:07:18
2520,000:01:24,4037.0,1:07:17
2550,000:01:25,4036.0,1:07:16
2580,000:01:26,4035.0,1:07:15
2610,000:01:27,4034.0,1:07:14
2640,000:01:28,4033.0,1:07:13
2670,000:01:29,4032.0,1:07:12
2700,000:01:30,4031.0,1:07:11
2730,000:01:31,4030.0,1:07:10
2760,000:01:32,4029.0,1:07:09
2790,000:01:33,4028.0,1:07:08
2820,000:01:34,4027.0,1:07:07
2850,000:01:35,4026.0,1:07:06
2880,000:01:36,4025.0,1:07:05
2910,000:01:37,4024.0,1:07:04
2940,000:01:38,4023.0,1:07:03
2970,000:01:39,4022.0,1:07:02
3000,000:01:40,4021.0,1:07:01
3030,000:01:41,4020.0,1:07:00
3060,000:01:42,4019.0,1:06:59
3090,000:01:43,4018.0,1:06:58
3150,000:01:45,4016.0,1:06:56
3180,000:01:46,4015.0,1:06:55
3210,000:01:47,4014.0,1:06:54
3240,000:01:48,4013.0,1:06:53
3270,000:01:49,4012.0,1:06:52
3300,000:01:50,4011.0,1:06:51
3330,000:01:51,4010.0,1:06:50
3360,000:01:52,4009.0,1:06:49
3390,000:01:53,4008.0,1:06:48
3420,000:01:54,4007.0,1:06:47
3450,000:01:55,4055.0,1:07:35
3480,000:01:56,4224.0,1:10:24
3510,000:01:57,4381.0,1:13:01
3540,000:01:58,4535.0,1:15:35
3570,000:01:59,4674.0,1:17:54
3600,000:02:00,4862.0,1:21:02
3630,000:02:01,5006.0,1:23:26
3660,000:02:02,5019.0,1:23:39
3750,000:02:05,5016.0,1:23:36
3780,000:02:06,5015.0,1:23:35
3810,000:02:07,5014.0,1:23:34
3840,000:02:08,5013.0,1:23:33
3870,000:02:09,5012.0,1:23:32
3900,000:02:10,5011.0,1:23:31
3930,000:02:11,5010.0,1:23:30
3960,000:02:12,5009.0,1:23:29
3990,000:02:13,5008.0,1:23:28
4020,000:02:14,5007.0,1:23:27
4050,000:02:15,5006.0,1:23:26
4080,000:02:16,5005.0,1:23:25
4170,000:02:19,5002.0,1:23:22
4200,000:02:20,5001.0,1:23:21
4230,000:02:21,5000.0,1:23:20
4260,000:02:22,4999.0,1:23:19
4290,000:02:23,5008.0,1:23:28
4320,000:02:24,5007.0,1:23:27
4350,000:02:25,5006.0,1:23:26
4380,000:02:26,5005.0,1:23:25
4410,000:02:27,5004.0,1:23:24
4440,000:02:28,5003.0,1:23:23
4470,000:02:29,5002.0,1:23:22
4500,000:02:30,5001.0,1:23:21
4530,000:02:31,5000.0,1:23:20
4620,000:02:34,4997.0,1:23:17
4650,000:02:35,4996.0,1:23:16
4680,000:02:36,4995.0,1:23:15
4710,000:02:37,4994.0,1:23:14
4740,000:02:38,5003.0,1:23:23
4770,000:02:39,5002.0,1:23:22
4800,000:02:40,5001.0,1:23:21
4830,000:02:41,5000.0,1:23:20
4860,000:02:42,4999.0,1:23:19
4890,000:02:43,4998.0,1:23:18
4920,000:02:44,4997.0,1:23:17
4950,000:02:45,4996.0,1:23:16
4980,000:02:46,4995.0,1:23:15
5040,000:02:48,4993.0,1:23:13
5070,000:02:49,5002.0,1:23:22
5100,000:02:50,5008.0,1:23:28
5130,000:02:51,5010.0,1:23:30
5160,000:02:52,5009.0,1:23:29
5190,000:02:53,5008.0,1:23:28
5220,000:02:54,5007.0,1:23:27
5250,000:02:55,5006.0,1:23:26
5280,000:02:56,5005.0,1:23:25
5310,000:02:57,5004.0,1:23:24
5340,000:02:58,5003.0,1:23:23
5370,000:02:59,5012.0,1:23:32
5400,000:03:00,5011.0,1:23:31
5430,000:03:01,5010.0,1:23:30
5460,000:03:02,5009.0,1:23:29
5490,000:03:03,5018.0,1:23:38
5520,000:03:04,5017.0,1:23:37
5550,000:03:05,5016.0,1:23:36
5580,000:03:06,5015.0,1:23:35
5610,000:03:07,5014.0,1:23:34
5640,000:03:08,5013.0,1:23:33
5670,000:03:09,5012.0,1:23:32
5700,000:03:10,5011.0,1:23:31
5730,000:03:11,5010.0,1:23:30
5760,000:03:12,5009.0,1:23:29
5790,000:03:13,5008.0,1:23:28
5820,000:03:14,5007.0,1:23:27
5850,000:03:15,5006.0,1:23:26
5880,000:03:16,5005.0,1:23:25
5910,000:03:17,5004.0,1:23:24
5940,000:03:18,5003.0,1:23:23
5970,000:03:19,5012.0,1:23:32
6000,000:03:20,5011.0,1:23:31
6030,000:03:21,5010.0,1:23:30
6060,000:03:22,5009.0,1:23:29
6090,000:03:23,5008.0,1:23:28
6120,000:03:24,5007.0,1:23:27
6150,000:03:25,5006.0,1:23:26
6180,000:03:26,5015.0,1:23:35
6210,000:03:27,5014.0,1:23:34
6240,000:03:28,5013.0,1:23:33
6270,000:03:29,5012.0,1:23:32
6300,000:03:30,5011.0,1:23:31
6330,000:03:31,5010.0,1:23:30
6360,000:03:32,5009.0,1:23:29
6390,000:03:33,5008.0,1:23:28
6420,000:03:34,5007.0,1:23:27
6450,000:03:35,5006.0,1:23:26
6480,000:03:36,5005.0,1:23:25
6510,000:03:37,5004.0,1:23:24
6540,000:03:38,5003.0,1:23:23
6570,000:03:39,5002.0,1:23:22
6600,000:03:40,5001.0,1:23:21
6630,000:03:41,5000.0,1:23:20
6660,000:03:42,4999.0,1:23:19
6690,000:03:43,4998.0,1:23:18
6720,000:03:44,4997.0,1:23:17
6750,000:03:45,4996.0,1:23:16
6780,000:03:46,4995.0,1:23:15
6810,000:03:47,4994.0,1:23:14
6840,000:03:48,4993.0,1:23:13
6870,000:03:49,4992.0,1:23:12
6900,000:03:50,4991.0,1:23:11
6930,000:03:51,4990.0,1:23:10
6960,000:03:52,4989.0,1:23:09
6990,000:03:53,4988.0,1:23:08
7020,000:03:54,4987.0,1:23:07
7050,000:03:55,4986.0,1:23:06
7080,000:03:56,4985.0,1:23:05
7110,000:03:57,4984.0,1:23:04
7140,000:03:58,4983.0,1:23:03
7200,000:04:00,4981.0,1:23:01
7230,000:04:01,4980.0,1:23:00
7260,000:04:02,4979.0,1:22:59
7320,000:04:04,4977.0,1:22:57
7350,000:04:05,4976.0,1:22:56
7380,000:04:06,4975.0,1:22:55
7410,000:04:07,4974.0,1:22:54
7470,000:04:09,4982.0,1:23:02
7500,000:04:10,4981.0,1:23:01
7530,000:04:11,4980.0,1:23:00
7560,000:04:12,4979.0,1:22:59
7590,000:04:13,4978.0,1:22:58
7620,000:04:14,4977.0,1:22:57
7650,000:04:15,4976.0,1:22:56
7680,000:04:16,4975.0,1:22:55
7710,000:04:17,4974.0,1:22:54
7740,000:04:18,4973.0,1:22:53
7770,000:04:19,4972.0,1:22:52
7800,000:04:20,4971.0,1:22:51
7830,000:04:21,4970.0,1:22:50
7860,000:04:22,4969.0,1:22:49
7890,000:04:23,4968.0,1:22:48
7920,000:04:24,4967.0,1:22:47
7950,000:04:25,4966.0,1:22:46
7980,000:04:26,4965.0,1:22:45
8010,000:04:27,4964.0,1:22:44
8040,000:04:28,4963.0,1:22:43
8070,000:04:29,4962.0,1:22:42
8100,000:04:30,4961.0,1:22:41
8130,000:04:31,4960.0,1:22:40
8160,000:04:32,4959.0,1:22:39
8190,000:04:33,4958.0,1:22:38
8220,000:04:34,4957.0,1:22:37
8250,000:04:35,4956.0,1:22:36
8280,000:04:36,4955.0,1:22:35
8310,000:04:37,4954.0,1:22:34
8340,000:04:38,4953.0,1:22:33
8370,000:04:39,4952.0,1:22:32
8430,000:04:41,4950.0,1:22:30
8460,000:04:42,4949.0,1:22:29
8490,000:04:43,4948.0,1:22:28
8520,000:04:44,4947.0,1:22:27
8550,000:04:45,4946.0,1:22:26
8580,000:04:46,4945.0,1:22:25
8610,000:04:47,4944.0,1:22:24
8640,000:04:48,4943.0,1:22:23
8730,000:04:51,4940.0,1:22:20
8760,000:04:52,4939.0,1:22:19
8790,000:04:53,4938.0,1:22:18
8820,000:04:54,4937.0,1:22:17
8850,000:04:55,4936.0,1:22:16
8880,000:04:56,4935.0,1:22:15
8910,000:04:57,4934.0,1:22:14
