frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,2295.0,0:38:15
60,000:00:02,2294.0,0:38:14
90,000:00:03,2293.0,0:38:13
120,000:00:04,2292.0,0:38:12
150,000:00:05,2301.0,0:38:21
180,000:00:06,2310.0,0:38:30
210,000:00:07,2309.0,0:38:29
240,000:00:08,2308.0,0:38:28
270,000:00:09,2307.0,0:38:27
300,000:00:10,2306.0,0:38:26
330,000:00:11,2305.0,0:38:25
360,000:00:12,2304.0,0:38:24
390,000:00:13,2303.0,0:38:23
420,000:00:14,2302.0,0:38:22
450,000:00:15,2301.0,0:38:21
480,000:00:16,2300.0,0:38:20
510,000:00:17,2299.0,0:38:19
540,000:00:18,2298.0,0:38:18
570,000:00:19,2297.0,0:38:17
630,000:00:21,2305.0,0:38:25
660,000:00:22,2304.0,0:38:24
690,000:00:23,2303.0,0:38:23
720,000:00:24,2302.0,0:38:22
750,000:00:25,2301.0,0:38:21
780,000:00:26,2300.0,0:38:20
870,000:00:29,2297.0,0:38:17
900,000:00:30,2296.0,0:38:16
930,000:00:31,2295.0,0:38:15
960,000:00:32,2294.0,0:38:14
990,000:00:33,2293.0,0:38:13
1020,000:00:34,2292.0,0:38:12
1050,000:00:35,2291.0,0:38:11
1140,000:00:38,2288.0,0:38:08
1170,000:00:39,2287.0,0:38:07
1200,000:00:40,2286.0,0:38:06
1260,000:00:42,2284.0,0:38:04
1290,000:00:43,2283.0,0:38:03
1350,000:00:45,2281.0,0:38:01
1380,000:00:46,2280.0,0:38:00
1410,000:00:47,2279.0,0:37:59
1440,000:00:48,2278.0,0:37:58
1470,000:00:49,2277.0,0:37:57
1500,000:00:50,2276.0,0:37:56
1530,000:00:51,2275.0,0:37:55
1560,000:00:52,2274.0,0:37:54
1590,000:00:53,2273.0,0:37:53
1620,000:00:54,2272.0,0:37:52
1650,000:00:55,2271.0,0:37:51
1680,000:00:56,2270.0,0:37:50
1710,000:00:57,2269.0,0:37:49
1740,000:00:58,2268.0,0:37:48
1770,000:00:59,2267.0,0:37:47
1830,000:01:01,2265.0,0:37:45
1890,000:01:03,2263.0,0:37:43
1920,000:01:04,2262.0,0:37:42
1980,000:01:06,2260.0,0:37:40
2040,000:01:08,2258.0,0:37:38
2100,000:01:10,2256.0,0:37:36
2130,000:01:11,2255.0,0:37:35
2160,000:01:12,2263.0,0:37:43
2190,000:01:13,2263.0,0:37:43
2250,000:01:15,2261.0,0:37:41
2280,000:01:16,2260.0,0:37:40
2370,000:01:19,2257.0,0:37:37
2400,000:01:20,2256.0,0:37:36
2430,000:01:21,2255.0,0:37:35
2460,000:01:22,2254.0,0:37:34
2490,000:01:23,2262.0,0:37:42
2520,000:01:24,2272.0,0:37:52
2550,000:01:25,2271.0,0:37:51
2610,000:01:27,2269.0,0:37:49
2640,000:01:28,2268.0,0:37:48
2970,000:01:39,2257.0,0:37:37
3030,000:01:41,2255.0,0:37:35
3060,000:01:42,2254.0,0:37:34
3090,000:01:43,2253.0,0:37:33
3120,000:01:44,2252.0,0:37:32
3180,000:01:46,2300.0,0:38:20
3210,000:01:47,2299.0,0:38:19
3240,000:01:48,2298.0,0:38:18
3300,000:01:50,2296.0,0:38:16
3420,000:01:54,2292.0,0:38:12
3450,000:01:55,2291.0,0:38:11
3480,000:01:56,2290.0,0:38:10
3510,000:01:57,2293.0,0:38:13
3540,000:01:58,2298.0,0:38:18
3660,000:02:02,2294.0,0:38:14
3720,000:02:04,2292.0,0:38:12
3810,000:02:07,2289.0,0:38:09
3840,000:02:08,2288.0,0:38:08
3930,000:02:11,2285.0,0:38:05
3960,000:02:12,2284.0,0:38:04
3990,000:02:13,2283.0,0:38:03
4020,000:02:14,2282.0,0:38:02
4050,000:02:15,2281.0,0:38:01
4080,000:02:16,2280.0,0:38:00
4110,000:02:17,2279.0,0:37:59
