frame,video_timestamp,timer_value,timer_timestamp
90,000:00:03,2983,0:49:43
120,000:00:04,2982,0:49:42
210,000:00:07,2979,0:49:39
240,000:00:08,2978,0:49:38
270,000:00:09,2977,0:49:37
300,000:00:10,2976,0:49:36
390,000:00:13,2973,0:49:33
630,000:00:21,2965,0:49:25
660,000:00:22,2964,0:49:24
780,000:00:26,2960,0:49:20
1230,000:00:41,2945,0:49:05
1260,000:00:42,2944,0:49:04
1680,000:00:56,2930,0:48:50
1740,000:00:58,2928,0:48:48
1800,000:01:00,2926,0:48:46
1890,000:01:03,2923,0:48:43
1950,000:01:05,2921,0:48:41
1980,000:01:06,2920,0:48:40
2010,000:01:07,2919,0:48:39
2040,000:01:08,2918,0:48:38
2070,000:01:09,2926,0:48:46
2100,000:01:10,2928,0:48:48
2580,000:01:26,2930,0:48:50
2610,000:01:27,2929,0:48:49
2670,000:01:29,2927,0:48:47
2700,000:01:30,2926,0:48:46
2730,000:01:31,2925,0:48:45
2760,000:01:32,2924,0:48:44
2790,000:01:33,2923,0:48:43
2850,000:01:35,2921,0:48:41
3090,000:01:43,2923,0:48:43
3120,000:01:44,2922,0:48:42
3210,000:01:47,2919,0:48:39
3240,000:01:48,2918,0:48:38
3330,000:01:51,2915,0:48:35
3450,000:01:55,2911,0:48:31
3480,000:01:56,2910,0:48:30
3600,000:02:00,2906,0:48:26
3630,000:02:01,2905,0:48:25
3660,000:02:02,2904,0:48:24
3690,000:02:03,2903,0:48:23
3720,000:02:04,2921,0:48:41
3750,000:02:05,2921,0:48:41
3780,000:02:06,2920,0:48:40
3810,000:02:07,2919,0:48:39
3840,000:02:08,2918,0:48:38
3900,000:02:10,2916,0:48:36
4080,000:02:16,2910,0:48:30
4200,000:02:20,2906,0:48:26
4230,000:02:21,2905,0:48:25
4260,000:02:22,2904,0:48:24
4500,000:02:30,2896,0:48:16
4650,000:02:35,2901,0:48:21
4710,000:02:37,2899,0:48:19
4920,000:02:44,2892,0:48:12
5370,000:02:59,2877,0:47:57
5400,000:03:00,2876,0:47:56
5430,000:03:01,2875,0:47:55
5580,000:03:06,2870,0:47:50
5610,000:03:07,2869,0:47:49
