frame,video_timestamp,timer_value,timer_timestamp
12090,000:06:43,2355.0,0:39:15
12120,000:06:44,2354.0,0:39:14
12150,000:06:45,2353.0,0:39:13
12180,000:06:46,2352.0,0:39:12
12210,000:06:47,2364.0,0:39:24
12240,000:06:48,2370.0,0:39:30
12270,000:06:49,2369.0,0:39:29
12300,000:06:50,2368.0,0:39:28
12330,000:06:51,2367.0,0:39:27
12360,000:06:52,2366.0,0:39:26
12420,000:06:54,2364.0,0:39:24
12510,000:06:57,2371.0,0:39:31
12630,000:07:01,2397.0,0:39:57
12720,000:07:04,2394.0,0:39:54
12750,000:07:05,2393.0,0:39:53
12780,000:07:06,2392.0,0:39:52
12810,000:07:07,2391.0,0:39:51
12840,000:07:08,2390.0,0:39:50
12870,000:07:09,2389.0,0:39:49
12900,000:07:10,2388.0,0:39:48
12930,000:07:11,2387.0,0:39:47
12960,000:07:12,2386.0,0:39:46
13020,000:07:14,2384.0,0:39:44
13050,000:07:15,2426.0,0:40:26
13080,000:07:16,2482.0,0:41:22
13110,000:07:17,2481.0,0:41:21
13140,000:07:18,2490.0,0:41:30
13170,000:07:19,2489.0,0:41:29
13200,000:07:20,2488.0,0:41:28
13230,000:07:21,2487.0,0:41:27
13260,000:07:22,2486.0,0:41:26
13290,000:07:23,2485.0,0:41:25
13320,000:07:24,2484.0,0:41:24
13350,000:07:25,2483.0,0:41:23
13380,000:07:26,2482.0,0:41:22
13440,000:07:28,2480.0,0:41:20
13500,000:07:30,2478.0,0:41:18
13530,000:07:31,2477.0,0:41:17
13560,000:07:32,2486.0,0:41:26
13590,000:07:33,2485.0,0:41:25
13620,000:07:34,2484.0,0:41:24
13650,000:07:35,2483.0,0:41:23
13680,000:07:36,2482.0,0:41:22
13710,000:07:37,2481.0,0:41:21
13740,000:07:38,2480.0,0:41:20
13770,000:07:39,2479.0,0:41:19
13800,000:07:40,2478.0,0:41:18
13830,000:07:41,2477.0,0:41:17
13860,000:07:42,2476.0,0:41:16
13890,000:07:43,2475.0,0:41:15
13920,000:07:44,2474.0,0:41:14
13950,000:07:45,2473.0,0:41:13
13980,000:07:46,2472.0,0:41:12
