frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,1603.0,0:26:43
60,000:00:02,1611.0,0:26:51
90,000:00:03,1611.0,0:26:51
120,000:00:04,1610.0,0:26:50
150,000:00:05,1611.0,0:26:51
180,000:00:06,1618.0,0:26:58
210,000:00:07,1617.0,0:26:57
240,000:00:08,1616.0,0:26:56
270,000:00:09,1615.0,0:26:55
300,000:00:10,1614.0,0:26:54
330,000:00:11,1613.0,0:26:53
360,000:00:12,1612.0,0:26:52
390,000:00:13,1611.0,0:26:51
420,000:00:14,1610.0,0:26:50
450,000:00:15,1609.0,0:26:49
480,000:00:16,1608.0,0:26:48
510,000:00:17,1607.0,0:26:47
540,000:00:18,1606.0,0:26:46
570,000:00:19,1605.0,0:26:45
600,000:00:20,1604.0,0:26:44
630,000:00:21,1603.0,0:26:43
660,000:00:22,1602.0,0:26:42
690,000:00:23,1601.0,0:26:41
720,000:00:24,1600.0,0:26:40
750,000:00:25,1599.0,0:26:39
780,000:00:26,1598.0,0:26:38
810,000:00:27,1597.0,0:26:37
840,000:00:28,1607.0,0:26:47
870,000:00:29,1615.0,0:26:55
900,000:00:30,1614.0,0:26:54
930,000:00:31,1613.0,0:26:53
960,000:00:32,1612.0,0:26:52
990,000:00:33,1611.0,0:26:51
1020,000:00:34,1610.0,0:26:50
1050,000:00:35,1609.0,0:26:49
1080,000:00:36,1608.0,0:26:48
1110,000:00:37,1607.0,0:26:47
1140,000:00:38,1606.0,0:26:46
1170,000:00:39,1605.0,0:26:45
1200,000:00:40,1604.0,0:26:44
1230,000:00:41,1603.0,0:26:43
1260,000:00:42,1602.0,0:26:42
1290,000:00:43,1601.0,0:26:41
1320,000:00:44,1600.0,0:26:40
1350,000:00:45,1599.0,0:26:39
1380,000:00:46,1598.0,0:26:38
1410,000:00:47,1597.0,0:26:37
1440,000:00:48,1596.0,0:26:36
1470,000:00:49,1595.0,0:26:35
1500,000:00:50,1594.0,0:26:34
1530,000:00:51,1593.0,0:26:33
1560,000:00:52,1592.0,0:26:32
1590,000:00:53,1591.0,0:26:31
1620,000:00:54,1590.0,0:26:30
1650,000:00:55,1589.0,0:26:29
1680,000:00:56,1588.0,0:26:28
1710,000:00:57,1587.0,0:26:27
1740,000:00:58,1586.0,0:26:26
1770,000:00:59,1585.0,0:26:25
1800,000:01:00,1584.0,0:26:24
1830,000:01:01,1583.0,0:26:23
1860,000:01:02,1582.0,0:26:22
1890,000:01:03,1581.0,0:26:21
1920,000:01:04,1580.0,0:26:20
1950,000:01:05,1579.0,0:26:19
1980,000:01:06,1578.0,0:26:18
2010,000:01:07,1577.0,0:26:17
2040,000:01:08,1576.0,0:26:16
2070,000:01:09,1575.0,0:26:15
2100,000:01:10,1574.0,0:26:14
2130,000:01:11,1573.0,0:26:13
2160,000:01:12,1572.0,0:26:12
2190,000:01:13,1581.0,0:26:21
2220,000:01:14,1580.0,0:26:20
2250,000:01:15,1579.0,0:26:19
2280,000:01:16,1578.0,0:26:18
2310,000:01:17,1577.0,0:26:17
2340,000:01:18,1576.0,0:26:16
2370,000:01:19,1575.0,0:26:15
2400,000:01:20,1574.0,0:26:14
2430,000:01:21,1573.0,0:26:13
2460,000:01:22,1572.0,0:26:12
2490,000:01:23,1571.0,0:26:11
2520,000:01:24,1570.0,0:26:10
2550,000:01:25,1569.0,0:26:09
2580,000:01:26,1568.0,0:26:08
2610,000:01:27,1567.0,0:26:07
2640,000:01:28,1566.0,0:26:06
2670,000:01:29,1565.0,0:26:05
2700,000:01:30,1564.0,0:26:04
2730,000:01:31,1563.0,0:26:03
2760,000:01:32,1562.0,0:26:02
2790,000:01:33,1561.0,0:26:01
2820,000:01:34,1560.0,0:26:00
2850,000:01:35,1559.0,0:25:59
2880,000:01:36,1558.0,0:25:58
2910,000:01:37,1557.0,0:25:57
2940,000:01:38,1556.0,0:25:56
2970,000:01:39,1555.0,0:25:55
3000,000:01:40,1554.0,0:25:54
3030,000:01:41,1553.0,0:25:53
3060,000:01:42,1552.0,0:25:52
3090,000:01:43,1551.0,0:25:51
3120,000:01:44,1550.0,0:25:50
3150,000:01:45,1549.0,0:25:49
3180,000:01:46,1548.0,0:25:48
3210,000:01:47,1547.0,0:25:47
3240,000:01:48,1546.0,0:25:46
3270,000:01:49,1545.0,0:25:45
3300,000:01:50,1544.0,0:25:44
3330,000:01:51,1543.0,0:25:43
3360,000:01:52,1542.0,0:25:42
3390,000:01:53,1541.0,0:25:41
3420,000:01:54,1540.0,0:25:40
3450,000:01:55,1539.0,0:25:39
3480,000:01:56,1538.0,0:25:38
3510,000:01:57,1537.0,0:25:37
3540,000:01:58,1536.0,0:25:36
3570,000:01:59,1535.0,0:25:35
3600,000:02:00,1534.0,0:25:34
3630,000:02:01,1533.0,0:25:33
3660,000:02:02,1532.0,0:25:32
3690,000:02:03,1531.0,0:25:31
3720,000:02:04,1530.0,0:25:30
3750,000:02:05,1529.0,0:25:29
3780,000:02:06,1528.0,0:25:28
3840,000:02:08,1536.0,0:25:36
3900,000:02:10,1534.0,0:25:34
3930,000:02:11,1533.0,0:25:33
3960,000:02:12,1532.0,0:25:32
3990,000:02:13,1531.0,0:25:31
4020,000:02:14,1530.0,0:25:30
4050,000:02:15,1529.0,0:25:29
4080,000:02:16,1528.0,0:25:28
4110,000:02:17,1527.0,0:25:27
4140,000:02:18,1526.0,0:25:26
4170,000:02:19,1525.0,0:25:25
4200,000:02:20,1524.0,0:25:24
4230,000:02:21,1523.0,0:25:23
4260,000:02:22,1522.0,0:25:22
4290,000:02:23,1521.0,0:25:21
4320,000:02:24,1520.0,0:25:20
4350,000:02:25,1519.0,0:25:19
4380,000:02:26,1518.0,0:25:18
4410,000:02:27,1517.0,0:25:17
4440,000:02:28,1516.0,0:25:16
4470,000:02:29,1515.0,0:25:15
4500,000:02:30,1514.0,0:25:14
4530,000:02:31,1513.0,0:25:13
4560,000:02:32,1512.0,0:25:12
4590,000:02:33,1511.0,0:25:11
4620,000:02:34,1510.0,0:25:10
4650,000:02:35,1509.0,0:25:09
4680,000:02:36,1508.0,0:25:08
4710,000:02:37,1507.0,0:25:07
4740,000:02:38,1506.0,0:25:06
4770,000:02:39,1505.0,0:25:05
4800,000:02:40,1504.0,0:25:04
4830,000:02:41,1503.0,0:25:03
4860,000:02:42,1502.0,0:25:02
4890,000:02:43,1501.0,0:25:01
4920,000:02:44,1500.0,0:25:00
4950,000:02:45,1499.0,0:24:59
4980,000:02:46,1498.0,0:24:58
5010,000:02:47,1497.0,0:24:57
5040,000:02:48,1496.0,0:24:56
5070,000:02:49,1495.0,0:24:55
5100,000:02:50,1494.0,0:24:54
5130,000:02:51,1503.0,0:25:03
5160,000:02:52,1502.0,0:25:02
5190,000:02:53,1501.0,0:25:01
5220,000:02:54,1510.0,0:25:10
5250,000:02:55,1509.0,0:25:09
5280,000:02:56,1508.0,0:25:08
5310,000:02:57,1507.0,0:25:07
5340,000:02:58,1506.0,0:25:06
5370,000:02:59,1505.0,0:25:05
5400,000:03:00,1504.0,0:25:04
5430,000:03:01,1503.0,0:25:03
5490,000:03:03,1511.0,0:25:11
5520,000:03:04,1510.0,0:25:10
5550,000:03:05,1509.0,0:25:09
5580,000:03:06,1518.0,0:25:18
5610,000:03:07,1517.0,0:25:17
5640,000:03:08,1516.0,0:25:16
5670,000:03:09,1515.0,0:25:15
5730,000:03:11,1513.0,0:25:13
5760,000:03:12,1512.0,0:25:12
5790,000:03:13,1511.0,0:25:11
5820,000:03:14,1510.0,0:25:10
5850,000:03:15,1509.0,0:25:09
5880,000:03:16,1508.0,0:25:08
5940,000:03:18,1506.0,0:25:06
5970,000:03:19,1505.0,0:25:05
6000,000:03:20,1504.0,0:25:04
6030,000:03:21,1503.0,0:25:03
6090,000:03:23,1501.0,0:25:01
6120,000:03:24,1500.0,0:25:00
6150,000:03:25,1499.0,0:24:59
6180,000:03:26,1498.0,0:24:58
6210,000:03:27,1497.0,0:24:57
6240,000:03:28,1496.0,0:24:56
6270,000:03:29,1495.0,0:24:55
6300,000:03:30,1494.0,0:24:54
