frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,545.0,0:09:05
60,000:00:02,544.0,0:09:04
150,000:00:05,541.0,0:09:01
210,000:00:07,539.0,0:08:59
300,000:00:10,536.0,0:08:56
330,000:00:11,535.0,0:08:55
360,000:00:12,534.0,0:08:54
390,000:00:13,533.0,0:08:53
420,000:00:14,532.0,0:08:52
450,000:00:15,531.0,0:08:51
480,000:00:16,530.0,0:08:50
540,000:00:18,528.0,0:08:48
570,000:00:19,527.0,0:08:47
630,000:00:21,525.0,0:08:45
660,000:00:22,524.0,0:08:44
690,000:00:23,523.0,0:08:43
720,000:00:24,522.0,0:08:42
750,000:00:25,521.0,0:08:41
810,000:00:27,519.0,0:08:39
840,000:00:28,518.0,0:08:38
870,000:00:29,517.0,0:08:37
900,000:00:30,516.0,0:08:36
930,000:00:31,515.0,0:08:35
960,000:00:32,514.0,0:08:34
990,000:00:33,513.0,0:08:33
1020,000:00:34,512.0,0:08:32
1050,000:00:35,511.0,0:08:31
1080,000:00:36,510.0,0:08:30
1110,000:00:37,509.0,0:08:29
1140,000:00:38,508.0,0:08:28
1170,000:00:39,507.0,0:08:27
1200,000:00:40,506.0,0:08:26
1230,000:00:41,505.0,0:08:25
1260,000:00:42,504.0,0:08:24
1290,000:00:43,503.0,0:08:23
1320,000:00:44,502.0,0:08:22
1350,000:00:45,501.0,0:08:21
1380,000:00:46,500.0,0:08:20
1410,000:00:47,499.0,0:08:19
1440,000:00:48,498.0,0:08:18
1470,000:00:49,497.0,0:08:17
1500,000:00:50,496.0,0:08:16
1530,000:00:51,495.0,0:08:15
1560,000:00:52,494.0,0:08:14
1590,000:00:53,493.0,0:08:13
1620,000:00:54,492.0,0:08:12
1650,000:00:55,491.0,0:08:11
1680,000:00:56,490.0,0:08:10
1740,000:00:58,488.0,0:08:08
1770,000:00:59,487.0,0:08:07
1800,000:01:00,486.0,0:08:06
1830,000:01:01,485.0,0:08:05
1860,000:01:02,484.0,0:08:04
1950,000:01:05,481.0,0:08:01
1980,000:01:06,480.0,0:08:00
2040,000:01:08,478.0,0:07:58
2070,000:01:09,477.0,0:07:57
2100,000:01:10,476.0,0:07:56
2130,000:01:11,475.0,0:07:55
2160,000:01:12,474.0,0:07:54
2190,000:01:13,473.0,0:07:53
2220,000:01:14,472.0,0:07:52
2250,000:01:15,471.0,0:07:51
2280,000:01:16,470.0,0:07:50
2310,000:01:17,469.0,0:07:49
2340,000:01:18,468.0,0:07:48
2370,000:01:19,467.0,0:07:47
2400,000:01:20,466.0,0:07:46
2430,000:01:21,465.0,0:07:45
2460,000:01:22,474.0,0:07:54
2490,000:01:23,473.0,0:07:53
2520,000:01:24,472.0,0:07:52
2550,000:01:25,471.0,0:07:51
2580,000:01:26,470.0,0:07:50
2610,000:01:27,469.0,0:07:49
2640,000:01:28,468.0,0:07:48
2670,000:01:29,467.0,0:07:47
2700,000:01:30,466.0,0:07:46
2760,000:01:32,464.0,0:07:44
2790,000:01:33,463.0,0:07:43
2820,000:01:34,462.0,0:07:42
2850,000:01:35,461.0,0:07:41
2880,000:01:36,460.0,0:07:40
2910,000:01:37,459.0,0:07:39
2940,000:01:38,458.0,0:07:38
2970,000:01:39,457.0,0:07:37
3000,000:01:40,456.0,0:07:36
3090,000:01:43,453.0,0:07:33
3120,000:01:44,452.0,0:07:32
3150,000:01:45,451.0,0:07:31
3240,000:01:48,448.0,0:07:28
3300,000:01:50,466.0,0:07:46
3390,000:01:53,543.0,0:09:03
3420,000:01:54,542.0,0:09:02
3450,000:01:55,541.0,0:09:01
3480,000:01:56,540.0,0:09:00
3510,000:01:57,539.0,0:08:59
3780,000:02:06,540.0,0:09:00
3810,000:02:07,539.0,0:08:59
3840,000:02:08,538.0,0:08:58
3870,000:02:09,537.0,0:08:57
3900,000:02:10,536.0,0:08:56
3930,000:02:11,535.0,0:08:55
3960,000:02:12,534.0,0:08:54
4110,000:02:17,539.0,0:08:59
4200,000:02:20,536.0,0:08:56
4230,000:02:21,535.0,0:08:55
4260,000:02:22,534.0,0:08:54
4290,000:02:23,533.0,0:08:53
4320,000:02:24,532.0,0:08:52
4350,000:02:25,531.0,0:08:51
4380,000:02:26,530.0,0:08:50
4410,000:02:27,529.0,0:08:49
4440,000:02:28,528.0,0:08:48
4470,000:02:29,527.0,0:08:47
4500,000:02:30,526.0,0:08:46
4530,000:02:31,525.0,0:08:45
4560,000:02:32,524.0,0:08:44
4590,000:02:33,523.0,0:08:43
4620,000:02:34,522.0,0:08:42
4650,000:02:35,521.0,0:08:41
4680,000:02:36,520.0,0:08:40
4710,000:02:37,601.0,0:10:01
4740,000:02:38,618.0,0:10:18
4860,000:02:42,614.0,0:10:14
4890,000:02:43,613.0,0:10:13
4920,000:02:44,612.0,0:10:12
4980,000:02:46,610.0,0:10:10
5010,000:02:47,619.0,0:10:19
5040,000:02:48,618.0,0:10:18
5070,000:02:49,617.0,0:10:17
5100,000:02:50,616.0,0:10:16
5130,000:02:51,615.0,0:10:15
5160,000:02:52,614.0,0:10:14
5190,000:02:53,613.0,0:10:13
5220,000:02:54,612.0,0:10:12
5280,000:02:56,610.0,0:10:10
5310,000:02:57,609.0,0:10:09
5340,000:02:58,608.0,0:10:08
5370,000:02:59,607.0,0:10:07
5400,000:03:00,606.0,0:10:06
5430,000:03:01,627.0,0:10:27
5460,000:03:02,664.0,0:11:04
5490,000:03:03,663.0,0:11:03
5550,000:03:05,661.0,0:11:01
5580,000:03:06,660.0,0:11:00
5610,000:03:07,659.0,0:10:59
5640,000:03:08,658.0,0:10:58
5700,000:03:10,656.0,0:10:56
5730,000:03:11,655.0,0:10:55
5790,000:03:13,653.0,0:10:53
5820,000:03:14,652.0,0:10:52
5850,000:03:15,651.0,0:10:51
5880,000:03:16,650.0,0:10:50
5910,000:03:17,649.0,0:10:49
5940,000:03:18,648.0,0:10:48
5970,000:03:19,647.0,0:10:47
6000,000:03:20,646.0,0:10:46
6030,000:03:21,645.0,0:10:45
6060,000:03:22,644.0,0:10:44
6210,000:03:27,649.0,0:10:49
6240,000:03:28,648.0,0:10:48
