frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,1332,0:22:12
60,000:00:02,1331,0:22:11
89,000:00:02,1330,0:22:10
120,000:00:04,1329,0:22:09
150,000:00:05,1328,0:22:08
179,000:00:05,1327,0:22:07
209,000:00:06,1326,0:22:06
240,000:00:08,1325,0:22:05
269,000:00:09,1324,0:22:04
299,000:00:10,1323,0:22:03
329,000:00:11,1322,0:22:02
358,000:00:11,1321,0:22:01
388,000:00:12,1320,0:22:00
418,000:00:13,1319,0:21:59
448,000:00:14,1318,0:21:58
538,000:00:18,1315,0:21:55
568,000:00:19,1314,0:21:54
628,000:00:21,1312,0:21:52
658,000:00:22,1311,0:21:51
687,000:00:22,1310,0:21:50
717,000:00:23,1309,0:21:49
747,000:00:24,1308,0:21:48
776,000:00:25,1317,0:21:57
806,000:00:26,1316,0:21:56
836,000:00:27,1315,0:21:55
866,000:00:28,1314,0:21:54
896,000:00:29,1313,0:21:53
926,000:00:30,1312,0:21:52
957,000:00:32,1311,0:21:51
986,000:00:32,1310,0:21:50
1017,000:00:34,1309,0:21:49
1045,000:00:34,1308,0:21:48
1076,000:00:36,1307,0:21:47
1105,000:00:36,1306,0:21:46
1136,000:00:38,1305,0:21:45
1166,000:00:39,1304,0:21:44
1196,000:00:40,1303,0:21:43
1225,000:00:40,1302,0:21:42
1256,000:00:42,1301,0:21:41
1286,000:00:43,1300,0:21:40
1315,000:00:44,1299,0:21:39
1345,000:00:45,1308,0:21:48
1374,000:00:45,1307,0:21:47
1405,000:00:47,1306,0:21:46
1494,000:00:49,1313,0:21:53
1525,000:00:51,1312,0:21:52
1553,000:00:51,1311,0:21:51
1584,000:00:53,1310,0:21:50
1613,000:00:53,1309,0:21:49
1644,000:00:55,1308,0:21:48
1704,000:00:57,1316,0:21:56
1733,000:00:57,1325,0:22:05
1764,000:00:59,1324,0:22:04
1793,000:00:59,1323,0:22:03
1822,000:01:00,1322,0:22:02
1852,000:01:01,1321,0:22:01
1882,000:01:02,1320,0:22:00
1913,000:01:04,1319,0:21:59
1943,000:01:05,1318,0:21:58
2002,000:01:06,1316,0:21:56
2033,000:01:08,1315,0:21:55
2091,000:01:09,1313,0:21:53
2121,000:01:10,1312,0:21:52
2152,000:01:12,1311,0:21:51
2182,000:01:13,1310,0:21:50
2211,000:01:13,1309,0:21:49
2242,000:01:15,1308,0:21:48
2272,000:01:16,1307,0:21:47
2302,000:01:17,1306,0:21:46
2330,000:01:17,1305,0:21:45
2360,000:01:18,1304,0:21:44
2391,000:01:20,1303,0:21:43
2421,000:01:21,1302,0:21:42
2450,000:01:21,1301,0:21:41
2480,000:01:22,1300,0:21:40
2511,000:01:24,1309,0:21:49
2571,000:01:26,1317,0:21:57
2599,000:01:26,1316,0:21:56
2660,000:01:29,1314,0:21:54
2690,000:01:30,1313,0:21:53
2719,000:01:30,1312,0:21:52
2749,000:01:31,1311,0:21:51
2780,000:01:33,1310,0:21:50
2810,000:01:34,1309,0:21:49
2868,000:01:35,1307,0:21:47
2899,000:01:37,1306,0:21:46
2929,000:01:38,1305,0:21:45
2958,000:01:38,1304,0:21:44
2988,000:01:39,1303,0:21:43
3019,000:01:41,1302,0:21:42
3049,000:01:42,1301,0:21:41
3078,000:01:42,1300,0:21:40
3107,000:01:43,1299,0:21:39
3137,000:01:44,1298,0:21:38
3168,000:01:46,1316,0:21:56
3198,000:01:47,1316,0:21:56
3227,000:01:47,1315,0:21:55
3257,000:01:48,1314,0:21:54
3288,000:01:50,1313,0:21:53
3318,000:01:51,1312,0:21:52
3347,000:01:51,1311,0:21:51
3376,000:01:52,1310,0:21:50
3407,000:01:54,1309,0:21:49
3437,000:01:55,1308,0:21:48
3466,000:01:55,1307,0:21:47
3496,000:01:56,1306,0:21:46
3527,000:01:58,1305,0:21:45
3557,000:01:59,1304,0:21:44
3587,000:02:00,1303,0:21:43
3615,000:02:00,1409,0:23:29
3645,000:02:01,1553,0:25:53
3676,000:02:03,1716,0:28:36
3705,000:02:03,1915,0:31:55
3735,000:02:04,2099,0:34:59
3765,000:02:05,2272,0:37:52
3796,000:02:07,2306,0:38:26
3826,000:02:08,2305,0:38:25
3856,000:02:09,2310,0:38:30
3885,000:02:10,2313,0:38:33
3914,000:02:10,2312,0:38:32
3944,000:02:11,2311,0:38:31
3975,000:02:13,2310,0:38:30
4004,000:02:13,2312,0:38:32
4065,000:02:16,2313,0:38:33
4095,000:02:17,2312,0:38:32
4124,000:02:18,2311,0:38:31
4153,000:02:18,2310,0:38:30
4183,000:02:19,2314,0:38:34
4213,000:02:20,2318,0:38:38
4243,000:02:21,2317,0:38:37
4274,000:02:23,2331,0:38:51
4304,000:02:24,2335,0:38:55
4334,000:02:25,2334,0:38:54
4364,000:02:26,2333,0:38:53
4393,000:02:27,2332,0:38:52
4422,000:02:27,2331,0:38:51
4452,000:02:28,2330,0:38:50
4482,000:02:29,2329,0:38:49
4513,000:02:31,2328,0:38:48
4543,000:02:32,2327,0:38:47
4573,000:02:33,2326,0:38:46
4603,000:02:34,2325,0:38:45
4633,000:02:35,2324,0:38:44
4661,000:02:35,2323,0:38:43
4691,000:02:36,2322,0:38:42
4721,000:02:37,2321,0:38:41
4752,000:02:39,2320,0:38:40
4782,000:02:40,2319,0:38:39
4812,000:02:41,2318,0:38:38
4842,000:02:42,2317,0:38:37
4872,000:02:43,2316,0:38:36
4900,000:02:43,2315,0:38:35
4930,000:02:44,2314,0:38:34
4960,000:02:45,2313,0:38:33
4990,000:02:46,2312,0:38:32
5021,000:02:48,2311,0:38:31
5051,000:02:49,2310,0:38:30
5081,000:02:50,2309,0:38:29
5111,000:02:51,2308,0:38:28
5141,000:02:52,2307,0:38:27
5169,000:02:52,2306,0:38:26
5260,000:02:56,2303,0:38:23
