frame,video_timestamp,timer_value,timer_timestamp
2610,000:01:27,325.0,0:05:25
2640,000:01:28,327.0,0:05:27
2670,000:01:29,326.0,0:05:26
2700,000:01:30,335.0,0:05:35
2730,000:01:31,334.0,0:05:34
2760,000:01:32,333.0,0:05:33
2790,000:01:33,332.0,0:05:32
2880,000:01:36,339.0,0:05:39
2910,000:01:37,338.0,0:05:38
2940,000:01:38,337.0,0:05:37
2970,000:01:39,336.0,0:05:36
3000,000:01:40,335.0,0:05:35
3030,000:01:41,334.0,0:05:34
3060,000:01:42,333.0,0:05:33
3090,000:01:43,332.0,0:05:32
3120,000:01:44,341.0,0:05:41
3150,000:01:45,340.0,0:05:40
3180,000:01:46,339.0,0:05:39
3210,000:01:47,338.0,0:05:38
3240,000:01:48,337.0,0:05:37
3270,000:01:49,336.0,0:05:36
3300,000:01:50,335.0,0:05:35
3330,000:01:51,334.0,0:05:34
3360,000:01:52,333.0,0:05:33
3390,000:01:53,382.0,0:06:22
3420,000:01:54,381.0,0:06:21
3450,000:01:55,389.0,0:06:29
3480,000:01:56,389.0,0:06:29
3510,000:01:57,388.0,0:06:28
3540,000:01:58,387.0,0:06:27
3570,000:01:59,386.0,0:06:26
3600,000:02:00,385.0,0:06:25
3630,000:02:01,393.0,0:06:33
3660,000:02:02,393.0,0:06:33
3690,000:02:03,392.0,0:06:32
3720,000:02:04,391.0,0:06:31
3750,000:02:05,390.0,0:06:30
3780,000:02:06,389.0,0:06:29
3810,000:02:07,394.0,0:06:34
3840,000:02:08,417.0,0:06:57
3870,000:02:09,416.0,0:06:56
3900,000:02:10,425.0,0:07:05
3930,000:02:11,424.0,0:07:04
3960,000:02:12,423.0,0:07:03
3990,000:02:13,422.0,0:07:02
4020,000:02:14,431.0,0:07:11
4050,000:02:15,430.0,0:07:10
4080,000:02:16,429.0,0:07:09
4110,000:02:17,428.0,0:07:08
4140,000:02:18,427.0,0:07:07
4170,000:02:19,436.0,0:07:16
4200,000:02:20,441.0,0:07:21
4230,000:02:21,444.0,0:07:24
4260,000:02:22,443.0,0:07:23
4290,000:02:23,442.0,0:07:22
4320,000:02:24,451.0,0:07:31
4350,000:02:25,460.0,0:07:40
4380,000:02:26,459.0,0:07:39
4410,000:02:27,468.0,0:07:48
4440,000:02:28,467.0,0:07:47
4470,000:02:29,466.0,0:07:46
4500,000:02:30,465.0,0:07:45
4530,000:02:31,464.0,0:07:44
4560,000:02:32,463.0,0:07:43
4590,000:02:33,462.0,0:07:42
4650,000:02:35,560.0,0:09:20
4680,000:02:36,559.0,0:09:19
4710,000:02:37,558.0,0:09:18
4740,000:02:38,557.0,0:09:17
4770,000:02:39,556.0,0:09:16
4800,000:02:40,555.0,0:09:15
4830,000:02:41,604.0,0:10:04
4860,000:02:42,603.0,0:10:03
4890,000:02:43,622.0,0:10:22
4920,000:02:44,621.0,0:10:21
4950,000:02:45,620.0,0:10:20
4980,000:02:46,619.0,0:10:19
5010,000:02:47,618.0,0:10:18
5040,000:02:48,617.0,0:10:17
5070,000:02:49,626.0,0:10:26
