frame,video_timestamp,timer_value,timer_timestamp
90,000:00:03,760,0:12:40
120,000:00:04,759,0:12:39
150,000:00:05,758,0:12:38
180,000:00:06,757,0:12:37
210,000:00:07,756,0:12:36
240,000:00:08,755,0:12:35
270,000:00:09,754,0:12:34
300,000:00:10,753,0:12:33
390,000:00:13,750,0:12:30
420,000:00:14,749,0:12:29
480,000:00:16,747,0:12:27
510,000:00:17,746,0:12:26
540,000:00:18,745,0:12:25
570,000:00:19,744,0:12:24
600,000:00:20,743,0:12:23
630,000:00:21,742,0:12:22
660,000:00:22,741,0:12:21
690,000:00:23,740,0:12:20
720,000:00:24,739,0:12:19
780,000:00:26,737,0:12:17
810,000:00:27,736,0:12:16
840,000:00:28,735,0:12:15
870,000:00:29,734,0:12:14
900,000:00:30,733,0:12:13
990,000:00:33,730,0:12:10
1020,000:00:34,729,0:12:09
1050,000:00:35,728,0:12:08
1080,000:00:36,727,0:12:07
1110,000:00:37,726,0:12:06
1140,000:00:38,725,0:12:05
1170,000:00:39,724,0:12:04
1200,000:00:40,723,0:12:03
1230,000:00:41,722,0:12:02
1260,000:00:42,721,0:12:01
1290,000:00:43,720,0:12:00
1350,000:00:45,718,0:11:58
1380,000:00:46,717,0:11:57
1410,000:00:47,716,0:11:56
1440,000:00:48,715,0:11:55
1470,000:00:49,714,0:11:54
1500,000:00:50,713,0:11:53
1530,000:00:51,712,0:11:52
1650,000:00:55,708,0:11:48
1680,000:00:56,707,0:11:47
1710,000:00:57,706,0:11:46
1800,000:01:00,703,0:11:43
1830,000:01:01,702,0:11:42
1860,000:01:02,701,0:11:41
1890,000:01:03,700,0:11:40
1980,000:01:06,697,0:11:37
2070,000:01:09,694,0:11:34
2100,000:01:10,693,0:11:33
2130,000:01:11,692,0:11:32
2160,000:01:12,691,0:11:31
2220,000:01:14,689,0:11:29
2280,000:01:16,687,0:11:27
2310,000:01:17,686,0:11:26
2340,000:01:18,685,0:11:25
2370,000:01:19,684,0:11:24
2400,000:01:20,683,0:11:23
2460,000:01:22,681,0:11:21
