frame,video_timestamp,timer_value,timer_timestamp
30,000:00:01,2408.0,0:40:08
60,000:00:02,2407.0,0:40:07
90,000:00:03,2406.0,0:40:06
120,000:00:04,2405.0,0:40:05
150,000:00:05,2404.0,0:40:04
180,000:00:06,2403.0,0:40:03
210,000:00:07,2402.0,0:40:02
240,000:00:08,2401.0,0:40:01
270,000:00:09,2400.0,0:40:00
300,000:00:10,2399.0,0:39:59
330,000:00:11,2398.0,0:39:58
360,000:00:12,2397.0,0:39:57
420,000:00:14,2395.0,0:39:55
450,000:00:15,2394.0,0:39:54
480,000:00:16,2393.0,0:39:53
510,000:00:17,2392.0,0:39:52
540,000:00:18,2391.0,0:39:51
570,000:00:19,2390.0,0:39:50
600,000:00:20,2389.0,0:39:49
630,000:00:21,2388.0,0:39:48
660,000:00:22,2387.0,0:39:47
690,000:00:23,2386.0,0:39:46
720,000:00:24,2385.0,0:39:45
750,000:00:25,2384.0,0:39:44
780,000:00:26,2383.0,0:39:43
810,000:00:27,2382.0,0:39:42
840,000:00:28,2381.0,0:39:41
870,000:00:29,2380.0,0:39:40
900,000:00:30,2379.0,0:39:39
930,000:00:31,2378.0,0:39:38
960,000:00:32,2377.0,0:39:37
990,000:00:33,2376.0,0:39:36
1020,000:00:34,2375.0,0:39:35
1050,000:00:35,2374.0,0:39:34
1080,000:00:36,2373.0,0:39:33
1110,000:00:37,2372.0,0:39:32
1140,000:00:38,2371.0,0:39:31
1170,000:00:39,2370.0,0:39:30
1200,000:00:40,2369.0,0:39:29
1230,000:00:41,2368.0,0:39:28
1260,000:00:42,2367.0,0:39:27
1290,000:00:43,2366.0,0:39:26
1320,000:00:44,2365.0,0:39:25
1350,000:00:45,2364.0,0:39:24
1380,000:00:46,2363.0,0:39:23
1410,000:00:47,2362.0,0:39:22
1440,000:00:48,2361.0,0:39:21
1470,000:00:49,2360.0,0:39:20
1500,000:00:50,2359.0,0:39:19
1530,000:00:51,2358.0,0:39:18
1560,000:00:52,2357.0,0:39:17
1590,000:00:53,2356.0,0:39:16
1620,000:00:54,2355.0,0:39:15
1650,000:00:55,2354.0,0:39:14
1680,000:00:56,2353.0,0:39:13
1710,000:00:57,2352.0,0:39:12
1740,000:00:58,2351.0,0:39:11
1770,000:00:59,2350.0,0:39:10
1800,000:01:00,2349.0,0:39:09
1830,000:01:01,2348.0,0:39:08
1860,000:01:02,2347.0,0:39:07
1890,000:01:03,2346.0,0:39:06
1920,000:01:04,2345.0,0:39:05
1950,000:01:05,2344.0,0:39:04
1980,000:01:06,2343.0,0:39:03
2010,000:01:07,2342.0,0:39:02
2040,000:01:08,2341.0,0:39:01
2070,000:01:09,2340.0,0:39:00
