frame,video_timestamp,timer_value,timer_timestamp
240,000:00:08,-1,
60,000:00:02,-1,
90,000:00:03,-1,
150,000:00:05,-1,
180,000:00:06,-1,
210,000:00:07,-1,
300,000:00:10,-1,
1110,000:00:37,-1,
1260,000:00:42,-1,
1140,000:00:38,-1,
720,000:00:24,-1,
690,000:00:23,-1,
480,000:00:16,-1,
1290,000:00:43,-1,
1380,000:00:46,-1,
1350,000:00:45,-1,
1410,000:00:47,-1,
30,000:00:01,25329,7:02:09
120,000:00:04,25326,7:02:06
360,000:00:12,-1,
270,000:00:09,25321,7:02:01
330,000:00:11,25329,7:02:09
390,000:00:13,25327,7:02:07
1200,000:00:40,25300,7:01:40
780,000:00:26,25314,7:01:54
1170,000:00:39,25301,7:01:41
648150,006:00:05,15756,4:22:36
930,000:00:31,25309,7:01:49
630,000:00:21,25319,7:01:59
450,000:00:15,25325,7:02:05
990,000:00:33,25307,7:01:47
510,000:00:17,25323,7:02:03
420,000:00:14,25326,7:02:06
647940,005:59:58,15763,4:22:43
647910,005:59:57,15764,4:22:44
1050,000:00:35,25305,7:01:45
900,000:00:30,25310,7:01:50
570,000:00:19,25321,7:02:01
648000,006:00:00,15761,4:22:41
1320,000:00:44,25296,7:01:36
870,000:00:29,25311,7:01:51
1440,000:00:48,25292,7:01:32
810,000:00:27,25313,7:01:53
1080,000:00:36,25304,7:01:44
648270,006:00:09,15802,4:23:22
750,000:00:25,25315,7:01:55
960,000:00:32,25308,7:01:48
660,000:00:22,25318,7:01:58
600,000:00:20,25320,7:02:00
647970,005:59:59,15762,4:22:42
648030,006:00:01,15760,4:22:40
540,000:00:18,25322,7:02:02
840,000:00:28,25312,7:01:52
648090,006:00:03,15758,4:22:38
648240,006:00:08,15803,4:23:23
648120,006:00:04,15757,4:22:37
648060,006:00:02,15759,4:22:39
647880,005:59:56,15765,4:22:45
648210,006:00:07,15804,4:23:24
1230,000:00:41,25299,7:01:39
1680,000:00:56,25284,7:01:24
648180,006:00:06,15800,4:23:20
1800,000:01:00,25280,7:01:20
1590,000:00:53,25287,7:01:27
1770,000:00:59,25281,7:01:21
1020,000:00:34,25306,7:01:46
1560,000:00:52,25288,7:01:28
1650,000:00:55,25285,7:01:25
648480,006:00:16,15795,4:23:15
648570,006:00:19,15802,4:23:22
2940,000:01:38,-1,
1620,000:00:54,25286,7:01:26
1530,000:00:51,25289,7:01:29
1470,000:00:49,25291,7:01:31
1500,000:00:50,25290,7:01:30
648450,006:00:15,15796,4:23:16
648330,006:00:11,15800,4:23:20
648630,006:00:21,15800,4:23:20
648600,006:00:20,15801,4:23:21
1860,000:01:02,25278,7:01:18
648360,006:00:12,15799,4:23:19
1920,000:01:04,25276,7:01:16
1890,000:01:03,25277,7:01:17
648510,006:00:17,15794,4:23:14
2190,000:01:13,25277,7:01:17
2310,000:01:17,25273,7:01:13
2130,000:01:11,25269,7:01:09
2280,000:01:16,25274,7:01:14
2160,000:01:12,25268,7:01:08
648660,006:00:22,15799,4:23:19
3180,000:01:46,-1,
1950,000:01:05,-1,
1830,000:01:01,25279,7:01:19
648540,006:00:18,15803,4:23:23
648390,006:00:13,15798,4:23:18
1710,000:00:57,25283,7:01:23
648420,006:00:14,15797,4:23:17
2010,000:01:07,25273,7:01:13
1980,000:01:06,25274,7:01:14
648300,006:00:10,15801,4:23:21
2100,000:01:10,25270,7:01:10
2070,000:01:09,25271,7:01:11
2220,000:01:14,25276,7:01:16
2340,000:01:18,25272,7:01:12
2370,000:01:19,-1,
2580,000:01:26,25274,7:01:14
648690,006:00:23,15798,4:23:18
2490,000:01:23,25267,7:01:07
648720,006:00:24,15797,4:23:17
3030,000:01:41,-1,
2460,000:01:22,25268,7:01:08
648930,006:00:31,15840,4:24:00
3060,000:01:42,-1,
2700,000:01:30,25270,7:01:10
648960,006:00:32,15855,4:24:15
2400,000:01:20,25270,7:01:10
3000,000:01:40,25260,7:01:00
2610,000:01:27,25273,7:01:13
648840,006:00:28,15813,4:23:33
649140,006:00:38,15910,4:25:10
3090,000:01:43,-1,
2970,000:01:39,25261,7:01:01
2250,000:01:15,25275,7:01:15
3240,000:01:48,-1,
1740,000:00:58,25282,7:01:22
3210,000:01:47,-1,
3150,000:01:45,-1,
2040,000:01:08,25272,7:01:12
3120,000:01:44,-1,
3330,000:01:51,-1,
3390,000:01:53,-1,
3480,000:01:56,-1,
2670,000:01:29,25271,7:01:11
